ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
NSLP,ACTEWAGL,01/01/2007,30/04/2007 09:15,48844.662,44535.005,41011.414,39180.394,38062.427,37032.067,35926.571,35503.662,35575.645,33935.307,35143.152,37987.098,39289.908,41129.579,44240.498,48212.693,52312.741,55517.767,60536.728,62682.483,67133.304,69917.846,68269.589,67456.937,68091.001,65493.008,63440.898,62296.368,60593.947,59950.501,59777.388,60499.733,62516.836,66431.598,69467.489,72487.236,71936.509,71677.352,71437.257,71913.338,68496.819,64768.549,61781.936,57251.462,62343.691,63905.639,58101.411,47939.433,51,Y,1829
NSLP,ACTEWAGL,02/01/2007,30/04/2007 09:15,42063.975,38649.659,36719.362,35703.579,35319.495,35137.224,34636.415,34983.582,35866.641,36202.905,40246.11,47894.477,54725.776,60072.67,62880.443,65861.076,68461.772,70722.31,73846.39,73986.588,77582.267,79773.805,77280.019,75161.109,75461.904,72285.791,70852.293,69319.363,68427.707,67486.385,67633.486,68495.243,69387.623,71844.234,72990.278,74206.365,72925.646,72069.308,72873.287,74627.476,71281.638,68363.038,64790.071,60518.446,65477.435,66021.455,59743.839,49870.78,52,Y,1829
NSLP,ACTEWAGL,03/01/2007,30/04/2007 09:15,43367.331,39641.943,37533.056,36698.885,35900.905,35709.488,35793.985,35817.296,36462.895,36336.989,41249.048,49331.402,57279.023,62455.225,65115.12,66705.555,69012.989,70066.535,73402.952,74031.188,77094.086,78984.548,76497.316,75035.389,75530.227,72813.645,70929.331,70018.784,69748.189,69780.807,69853.392,70228.813,71638.526,74104.036,74546.042,74881.445,72465.571,70430.388,70486.333,73377.991,72682.32,69860.372,66186.725,61715.23,65647.496,67137.884,60458.478,50230.263,53,Y,1829
NSLP,ACTEWAGL,04/01/2007,30/04/2007 09:15,43599.615,39904.671,37839.597,36609.138,35878.226,35492.747,35393.736,35761.906,36522.058,36155.734,41056.839,49732.907,57849.623,62355.199,65700.436,67436.668,69339.266,69940.37,74093.416,74248.692,78061.804,80049.091,77839.865,76868.849,78297.595,75431.241,74580.787,74372.58,75259.02,76151.13,77395.42,79124.509,81165.777,82438.788,82913.486,82552.718,79469.809,76483.082,75486.094,77595.905,75855.458,72708.947,68786.942,64418.121,68649.477,68744.731,61943.868,51000.575,54,Y,1829
NSLP,ACTEWAGL,05/01/2007,30/04/2007 09:15,44535.99,41132.264,38715.746,37987.753,37395.521,36811.889,36617.483,36948.495,37352.217,36379.827,40747.934,49105.131,57081.747,61821.433,65171.029,68221.431,70687.151,72035.648,76150.503,77710.08,81861.231,84852.574,83065.033,82681.31,85462.943,84400.211,84235.854,84662.356,86304.488,88014.86,90041.729,91495.394,93472.525,95204.885,95021.325,93734.528,89829.473,86329.502,83809.954,84573.409,81958.257,78040.157,74441.591,69921.674,74462.166,73148.34,65692.623,54922.788,55,Y,1829
NSLP,ACTEWAGL,06/01/2007,30/04/2007 09:15,48235.697,44393.263,41656.878,40589.786,39122.742,38685.16,38074.449,37839.217,38328.086,36276.63,37756.857,42012.609,45701.184,50146.719,55141.212,60923.88,67058.35,71069.411,77148.287,80104.376,85583.167,89369.332,89252.59,89516.669,91828.645,91127.114,90705.628,89001.55,86833.416,85207.173,83508.734,83970.625,84476.823,86487.226,87402.115,87491.57,85622.45,83287.901,81475.36,84253.573,82224.177,79597.731,76009.012,72150.047,77123.022,76794.888,69165.446,58170.262,56,Y,1829
NSLP,ACTEWAGL,07/01/2007,04/05/2007 22:01,51200.681,47181.165,44557.898,43222.989,41851.207,40975.294,40778.204,40223.727,40289.415,42115.761,43016.748,42877.307,46820.654,47347.176,51282.648,56622.433,62115.526,66482.175,72568.556,73651.185,77544.673,79380.096,77698.704,76237.39,75713.574,72385.473,70264.153,68539.29,67873.266,68600.668,68697.654,69238.494,72032.062,76553.312,79186.13,80070.471,78608.363,76656.351,75918.911,78788.634,77412.119,74329.489,70336.063,64769.377,68994.795,69519.179,62226.063,51350.684,50,Y,1834
NSLP,ACTEWAGL,08/01/2007,04/05/2007 22:01,45014.504,41001.419,39028.264,38212.695,37327.188,37208.726,36896.328,37218.699,38641.557,38639.351,43804.768,54218.418,64348.338,68065.508,69871.892,71010.278,72703.677,73629.009,76713.069,78058.931,82135.461,84651.813,82425.632,81659.415,82693.141,81011.41,80383.904,80782.327,81539.131,82792.549,84565.37,86232.066,88097.378,90464.046,90108.924,87885.182,83879.149,80349.888,78119.727,78584.033,76676.604,72578.213,67917.09,62564.442,66390.862,66946.51,59914.355,49129.316,51,Y,1834
NSLP,ACTEWAGL,09/01/2007,04/05/2007 22:01,42798.688,39895.305,37726.728,36818.671,36146.08,35780.426,36064.662,36589.994,37410.104,38707.908,43552.553,54942.695,64592.497,68843.244,69615.187,70162.181,70589.077,70856.41,74025.556,75270.076,78876.533,81509.693,79492.382,78393.814,80066.777,78367.418,77794.392,77924.484,79665.529,81311.477,83154.352,85647.949,88112.081,90686.71,91036.284,90661.821,87313.668,83073.432,79502.482,80070.16,78579.632,74770.687,70737.994,65159.201,68293.389,68210.375,60474.779,50203.855,52,Y,1834
NSLP,ACTEWAGL,10/01/2007,04/05/2007 22:01,43581.018,40343.129,38066.791,37649.702,36806.059,36447.879,36480.507,36787.913,37956.744,38748.757,43588.057,55026.526,65013.304,69027.346,70063.56,70554.898,71848.941,73271.507,76211.981,77013.357,81811.184,84833.169,83982.424,84294.033,86209.48,85618.332,86370.469,88023.284,90996.006,93544.216,95300.778,97923.1,101090.746,104450.87,105313.254,104850.88,101687.17,97191.831,93036.342,93445.995,91388.845,86119.081,79713.303,72356.407,73962.573,72273.281,64107.899,53529.35,53,Y,1834
