ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
NSLP,ACTEWAGL,01/01/2010,22/04/2010 22:01:54,48313.648,44764.478,41955.354,39858.606,38327.67,37334.7,36692.364,36260.967,36480.416,33698.052,34975.201,38374.007,40318.465,42905.687,46766.44,50260.186,54156.604,58010.204,63124.634,66322.714,72602.343,75671.585,76054.8,77400.991,79421.003,79076.776,79660.434,80161.447,81614.005,83216.304,84643.569,86508.044,89355.862,91735.78,92593.214,91893.554,88973.046,84735.287,81001.942,80571.845,77411.279,73148.343,69918.392,65566.912,69278.675,67255.058,59716.5,50919.996,41,Y,2585
NSLP,ACTEWAGL,02/01/2010,22/04/2010 22:01:54,45472.635,42528.009,40797.601,39543.088,38829.001,37862.371,37918.397,37404.734,37620.934,35798.879,37108.327,40862.64,43538.52,46921.289,51366.549,56059.377,61033.607,64966.265,69985.328,71130.444,73779.308,74220.283,72289.472,74269.549,76532.416,76026.598,76694.327,78410.332,80242.135,81923.353,83851.508,85820.883,87682.478,88192.324,89261.978,88601.519,86057.388,82055.137,79700.995,80024.462,78176.465,75347.32,71249.508,66400.12,69962.626,68614.402,60926.118,50851.991,42,Y,2585
NSLP,ACTEWAGL,03/01/2010,29/04/2010 22:04:05,45459.916,41910.101,39866.211,38503.826,37558.931,37156.919,36575.967,36580.628,36659.348,35104.464,35787.383,38964.519,41576.49,44505.584,48522.776,53093.89,56804.213,60908.664,66062,68130.298,72611.469,75020.303,74340.47,74402.611,76263.446,75582.257,75972.744,77619.164,79176.248,81400.881,83247.592,85039.825,84911.858,83866.472,80954.107,78970.773,75711.28,73241.539,72556.201,74061.522,70682.975,67183.964,63420.689,58658.902,63057.832,62245.832,55692.015,46411.258,36,Y,2592
NSLP,ACTEWAGL,04/01/2010,29/04/2010 22:04:05,40710.416,37913.677,36528.585,35474.693,34766.93,34578.117,34413.612,34707.96,35379.944,36007.488,40131.143,48172.656,55457.601,59395.586,61351.114,63096.383,64949.825,66047.604,69011.169,69476.023,73722.391,75414.885,74030.57,73441.195,74703.639,73946.738,73731.759,75448.734,76548.378,78290.934,80869.018,83813.086,86828.845,90392.396,91926.693,92670.97,89614.017,85249.406,82477.161,82105.362,80010.636,75785.893,70927.818,64918.688,67842.984,65971.034,58141.638,48842.391,37,Y,2592
NSLP,ACTEWAGL,05/01/2010,29/04/2010 22:04:05,43089.31,40145.648,38747.43,37627.844,37137.543,36575.651,36179.908,36536.242,36845.758,36470.828,40872.473,49337.611,56541.032,61399.769,64020.975,67289.515,69968.881,71867.338,76320.188,78387.33,83883.116,86909.339,86670.621,88067.441,90588.359,88928.069,86610.922,85218.485,84375.548,84381.191,85251.791,86127.617,87099.772,89201.538,91694.048,92555.888,89014.368,84327.78,82062.222,82191.607,80411.76,76717.204,71487.918,65805.376,68607.415,66361.709,58701.616,49164.01,38,Y,2592
NSLP,ACTEWAGL,06/01/2010,29/04/2010 22:04:05,43367.631,40613.261,38792.697,37885.036,37268.414,37281.946,36992.391,37076.141,37741.429,36904.254,41852.503,50546.53,57965.017,63123.261,66159.905,69213.41,71777.84,73401.194,77942.454,80210.5,86192.571,89733.751,90024.907,90804.401,93517.575,93334.837,94253.231,96485.52,98146.035,101431.746,103586.322,106427.06,109152.517,111036.155,111497.265,108852.2,101986.516,92660.419,85502.224,83962.594,80406.651,75025.769,69486.102,63361.094,66340.513,65309.126,57383.015,48133.067,39,Y,2592
NSLP,ACTEWAGL,07/01/2010,29/04/2010 22:04:05,42601.555,40082.186,38525.045,37625.737,37072.958,36773.845,36638.537,36652.517,36949.083,37967.161,41573.512,50201.083,57807.575,62660.643,64815.917,66128.298,67266.834,67762.325,70925.453,71812.321,76065.722,78460.54,77295.34,77684.459,79925.653,79315.203,80405.681,82378.13,84274.601,86810.058,89492.903,91733.684,93853.439,94298.566,92720.113,89503.589,83302.061,78435.937,75663.221,76361.141,74240.55,70526.73,66222.168,61583.638,65584.016,64027.047,57241.7,47611.713,40,Y,2592
NSLP,ACTEWAGL,08/01/2010,29/04/2010 22:04:05,42168.9,39142.482,37595.586,36852.03,36376.642,35771.258,35859.921,35904.556,36810.501,37608.85,41067.812,49403.195,57383.391,62668.104,64656.841,65958.044,67763.771,68776.536,72847.099,74276.558,79447.768,81802.987,81881.894,83390.132,86230.151,87701.318,89647.798,92429.125,95033.89,98328.755,101514.265,103963.169,106752.094,109006.406,109542.927,107999.413,103823.77,98296.406,94298.563,93003.568,88139.549,82251.488,77301.918,71945.642,74113.462,71903.07,63486.84,53432.284,41,Y,2592
NSLP,ACTEWAGL,09/01/2010,29/04/2010 22:04:05,47045.607,43726.653,41555.928,40495.56,39143.378,38574.883,38104.646,37709.239,37944.545,36444.914,37159.046,42278.001,45805.94,49675.923,55323.732,61295.215,68305.444,73050.391,80502.325,84518.219,91938.045,97174.14,98619.439,101261.898,104444.459,105578.899,107124.462,109213.637,111925.189,113821.374,116419.775,118887.353,121013.241,122581.655,123822.319,123073.974,119805.955,115743.439,110819.843,108291.479,105281.924,99737.163,92998.086,85514.879,86929.89,83139.863,73605.161,62757.042,42,Y,2592
NSLP,ACTEWAGL,10/01/2010,06/05/2010 22:04:50,55739.612,51597.143,48978.943,46861.524,45519.581,44267.164,43257.316,42505.256,42119.505,40223.986,39764.938,44327.653,47225.105,51570.668,57001.565,63994.806,71171.164,79149.291,88976.671,95123.28,104491.771,111650.027,115733.093,119677.234,123200.599,123718.806,125113.473,126734.742,128538.555,130183.033,131883.84,134458.873,138166.568,141476.986,139910.065,133707.133,124632.499,112833.46,103885.992,99892.346,94946.683,87841.337,80691.901,73225.823,73646.212,71022.155,62214.132,52212.287,36,Y,2596
