ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
CLOADNSWCE,COUNTRYENERGY,2011/01/01,2011/04/21 22:08:06,55.261,50.888,51.414,56.723,42.836,35.373,22.142,18.265,11.663,12.719,17.309,20.429,21.698,15.591,23.012,23.219,33.664,42.850,44.368,43.423,33.476,31.489,25.084,25.576,32.067,23.916,26.272,19.837,21.813,14.053,13.063,10.897,9.596,10.283,14.333,11.822,10.100,15.480,16.635,14.090,24.146,27.800,32.366,43.499,46.243,36.816,35.111,30.597,7,N,2880
CLOADNSWCE,COUNTRYENERGY,2011/01/02,2011/04/29 22:06:57,25.845,25.681,28.966,30.813,25.381,15.442,16.539,14.444,14.507,13.643,10.667,20.811,21.837,26.951,27.987,28.708,33.729,32.207,41.348,34.029,48.422,33.723,28.323,21.042,26.538,23.448,17.937,25.803,14.822,15.313,10.925,9.291,11.405,12.162,10.586,7.847,12.275,8.268,20.539,19.310,26.810,27.441,33.649,44.810,42.247,30.690,33.232,23.457,1,N,2885
CLOADNSWCE,COUNTRYENERGY,2011/01/03,2011/04/29 22:06:57,29.920,33.415,36.538,32.521,22.139,14.721,23.682,13.759,14.462,20.544,13.865,13.003,9.262,5.959,4.790,4.641,10.934,13.130,19.379,12.855,15.156,9.075,9.756,10.312,15.823,14.558,12.529,12.239,10.179,10.176,10.537,5.268,6.618,6.282,3.945,6.686,7.189,6.268,5.921,9.803,17.999,36.106,41.167,68.196,85.771,96.405,84.852,81.020,2,N,2885
CLOADNSWCE,COUNTRYENERGY,2011/01/04,2011/04/29 22:06:57,67.223,52.026,54.899,63.484,43.296,33.596,27.364,16.441,19.289,18.931,27.406,23.490,11.780,7.937,5.391,5.235,13.260,12.027,14.872,14.390,12.954,9.877,11.406,8.255,18.341,10.098,9.251,9.814,6.598,5.634,5.812,5.522,6.430,2.220,3.330,2.028,2.374,3.599,8.465,16.372,24.577,31.759,41.399,67.734,80.550,84.402,78.045,69.569,3,N,2885
CLOADNSWCE,COUNTRYENERGY,2011/01/05,2011/04/29 22:06:57,75.075,67.392,62.152,59.516,46.756,35.121,21.272,17.638,14.394,22.034,24.022,23.018,10.844,10.896,4.231,6.425,11.506,9.508,15.647,13.456,16.828,13.523,8.387,9.596,15.761,10.633,5.820,9.624,9.686,4.535,6.916,6.135,3.391,5.079,3.901,3.424,3.336,2.683,10.023,10.865,18.262,30.196,45.463,69.609,81.039,85.884,77.412,74.185,4,N,2885
CLOADNSWCE,COUNTRYENERGY,2011/01/06,2011/04/29 22:06:57,77.396,52.308,51.993,61.856,61.060,35.975,23.240,16.034,20.906,14.309,33.414,23.803,11.699,13.571,6.841,5.123,11.461,14.305,25.268,16.490,11.571,9.992,11.018,9.273,16.799,16.348,10.213,5.207,7.806,5.472,10.014,4.143,3.943,2.482,3.895,2.481,2.559,2.240,8.883,10.083,18.769,31.008,52.761,65.461,83.145,88.036,81.962,72.823,5,N,2885
CLOADNSWCE,COUNTRYENERGY,2011/01/07,2011/04/29 22:06:57,70.329,59.639,68.151,65.186,47.790,37.510,22.940,20.205,12.586,19.702,24.827,27.263,18.650,10.073,6.488,5.650,7.155,11.495,23.999,15.596,18.025,16.856,7.289,5.992,14.776,12.588,7.931,5.924,4.912,9.925,10.581,6.319,10.071,9.841,6.669,4.943,1.131,2.914,6.211,12.425,18.293,23.162,42.666,58.572,84.536,83.807,70.195,77.832,6,N,2885
CLOADNSWCE,COUNTRYENERGY,2011/01/08,2011/04/29 22:06:57,73.943,49.847,49.261,48.393,48.111,33.442,29.093,18.923,15.930,18.227,21.029,33.867,32.678,32.837,28.316,45.477,37.074,34.178,36.833,40.337,27.393,33.368,31.096,26.389,21.281,17.368,22.679,23.586,17.542,22.209,14.737,10.393,12.852,11.276,9.112,10.574,10.978,12.976,17.683,22.639,27.710,30.922,36.578,38.629,47.457,38.699,34.887,33.106,7,N,2885
CLOADNSWCE,COUNTRYENERGY,2011/01/09,2011/05/05 22:04:16,39.240,32.853,33.768,35.352,25.282,15.114,15.128,9.369,15.016,18.004,19.961,19.060,17.219,30.177,24.027,29.853,36.485,43.190,47.274,35.966,37.386,39.575,26.960,21.784,27.597,23.385,32.829,28.685,25.536,21.472,19.040,10.569,9.784,7.419,7.363,11.472,18.860,15.066,17.356,26.389,39.558,29.183,29.532,48.973,36.377,28.208,30.864,27.331,1,N,2889
CLOADNSWCE,COUNTRYENERGY,2011/01/10,2011/05/05 22:04:16,40.679,40.119,42.799,35.438,28.802,24.854,13.653,10.047,19.681,23.809,31.133,27.081,11.832,7.339,6.932,5.885,12.910,12.314,20.663,15.470,14.410,10.585,8.229,6.573,16.529,11.930,11.986,8.518,8.596,9.093,9.815,5.395,6.143,3.570,8.858,6.646,4.152,2.061,9.186,12.241,18.360,25.422,39.303,64.718,82.002,93.548,81.002,76.777,2,N,2889
CLOADNSWCE,COUNTRYENERGY,2011/01/11,2011/05/05 22:04:16,80.382,61.115,54.114,47.518,41.334,25.921,28.172,11.220,15.300,26.153,32.680,32.390,15.392,8.348,3.358,1.118,9.008,12.449,21.691,16.002,15.475,11.516,10.820,8.338,14.081,11.108,7.890,12.606,9.350,9.756,7.753,3.835,4.334,3.232,5.549,3.449,3.858,3.269,9.339,10.984,21.993,31.212,40.345,66.253,80.800,86.377,74.863,74.926,3,N,2889
CLOADNSWCE,COUNTRYENERGY,2011/01/12,2011/05/05 22:04:16,87.069,61.351,55.170,56.643,48.580,32.724,18.143,17.929,14.539,24.421,31.229,24.100,12.554,14.295,6.057,4.299,11.860,18.933,18.285,16.116,12.261,15.536,14.654,7.594,13.515,15.212,4.802,9.306,9.617,13.368,9.020,4.862,3.260,6.018,5.377,6.546,5.665,6.450,9.389,6.152,21.146,32.149,41.554,67.003,80.935,82.394,73.803,80.174,4,N,2889
