ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
NSLP,ACTEWAGL,2011/01/01,2011/04/21 22:04:07,48214.781,43934.720,41377.066,38709.938,37363.370,36091.134,35205.483,34325.878,34037.506,31358.672,32371.766,35594.276,37083.789,39927.699,43334.373,48282.543,53539.096,58791.558,66019.724,71838.258,79453.678,84871.759,86899.097,89068.153,92846.777,93102.179,94114.612,95372.625,96856.081,98895.245,100367.094,102862.252,105633.937,108280.387,109069.191,107208.131,103114.565,99661.549,95401.045,95006.596,91229.790,86002.286,79484.138,72960.246,74528.730,68910.246,60742.635,52589.089,42,Y,2880
NSLP,ACTEWAGL,2011/01/02,2011/04/29 22:04:31,45200.550,42412.627,38633.924,36755.096,36309.030,35439.805,35189.261,34881.593,34792.517,33558.921,34179.026,37219.641,39540.168,42823.822,46240.894,49703.456,54211.061,58993.867,64179.350,66008.580,70680.883,72055.704,69740.798,68778.841,69173.142,70060.032,70677.024,72209.779,75314.553,79303.310,82218.610,84889.128,87787.995,91112.317,93058.690,91458.197,85202.680,77423.229,72101.813,71258.602,68293.508,64165.028,61837.447,57750.683,61880.616,60995.885,54394.804,44996.938,36,Y,2885
NSLP,ACTEWAGL,2011/01/03,2011/04/29 22:04:31,38867.504,36023.727,34627.626,33358.881,32589.076,32061.985,31850.518,31602.207,31645.763,32061.134,33264.353,36086.483,38328.418,41665.842,45566.242,50673.030,54304.256,57996.230,63147.874,64816.262,69172.336,70030.775,67213.150,65533.248,64794.544,62070.553,60057.566,59598.089,58555.339,58296.656,57965.385,58809.223,62308.493,67150.700,70092.297,70653.728,68881.397,67582.000,68473.486,70933.617,67002.971,63828.701,60129.104,55179.432,59723.661,59244.637,52863.684,43686.777,37,Y,2885
NSLP,ACTEWAGL,2011/01/04,2011/04/29 22:04:31,37871.434,34868.824,33383.990,32192.058,31347.099,30901.214,31093.278,30899.875,31620.758,32269.506,36854.881,44980.700,51780.275,55685.413,56319.722,57968.586,59536.060,59919.321,62168.691,63188.419,67304.610,68267.310,65294.224,63301.872,63707.384,61543.056,59007.365,58083.118,57964.775,58392.354,59238.667,60591.215,63310.664,66784.878,70214.709,72051.511,70404.751,68900.222,69004.058,70441.730,68193.860,65161.935,61137.012,56513.829,59892.840,59830.657,53107.631,43543.601,38,Y,2885
NSLP,ACTEWAGL,2011/01/05,2011/04/29 22:04:31,38363.304,35205.525,33239.475,31959.947,31475.761,30950.322,30966.933,31034.918,32013.401,33114.358,37127.331,45278.084,52558.200,56151.477,57129.079,58076.233,58310.311,58879.163,61019.544,61404.531,65541.391,66870.876,64840.902,63637.861,65167.861,62798.917,63034.821,63481.421,65272.736,67240.790,68794.190,70846.699,73744.101,77502.847,78871.137,79099.729,77723.299,75628.969,75387.314,73509.121,68621.795,64903.716,60507.372,56369.320,60194.485,59450.341,53008.137,43633.568,39,Y,2885
NSLP,ACTEWAGL,2011/01/06,2011/04/29 22:04:31,38168.957,35006.807,33295.502,32437.819,32296.581,31344.214,31384.396,31440.665,32596.117,32433.946,37144.715,46011.471,53129.578,57036.768,58408.887,59521.783,60196.389,60195.174,62405.012,62349.692,66233.755,67610.914,64746.417,63390.472,64161.238,61814.960,61319.748,60436.084,59601.599,60582.393,61841.926,63640.745,67086.528,70144.308,72190.123,73989.431,72746.502,70786.403,70687.236,72416.099,69932.956,66421.960,62703.740,57330.291,61475.296,60292.853,53286.651,44259.257,40,Y,2885
NSLP,ACTEWAGL,2011/01/07,2011/04/29 22:04:31,39122.174,35807.009,34083.572,32816.492,32585.170,32014.134,31860.739,31757.950,32732.347,32584.717,37029.643,46053.344,52969.720,56706.930,58568.099,59572.079,60101.193,60128.771,61942.075,62387.782,66358.844,67646.557,65727.043,65575.790,66868.446,64976.941,64217.513,64254.411,64789.966,65356.874,66347.286,66789.560,68998.834,70874.957,72241.439,72305.380,70664.820,69793.091,69927.176,70678.975,68375.506,65194.496,62203.442,59231.504,63672.853,62685.505,55605.885,45740.723,41,Y,2885
NSLP,ACTEWAGL,2011/01/08,2011/04/29 22:04:31,40444.412,37381.195,35212.473,34447.459,33567.509,32849.446,32522.830,32403.712,32781.667,32863.180,33367.093,38472.416,41583.677,45504.209,50466.923,55713.628,60010.592,62783.591,65971.915,67380.921,71621.815,72307.160,69650.184,68088.553,68705.319,67154.212,66462.088,66503.265,67434.660,69353.736,71001.216,73538.524,75980.489,79649.147,82424.217,83149.892,81146.580,78202.073,75845.626,76160.390,73991.190,70516.197,67208.527,63083.915,67053.345,66183.515,58797.832,49504.989,42,Y,2885
NSLP,ACTEWAGL,2011/01/09,2011/05/05 22:01:27,43261.994,39444.175,37425.117,35842.632,34763.458,34066.155,33709.719,33321.625,33592.824,31762.062,31925.512,36834.211,39270.698,42764.631,47066.308,51795.427,56359.366,60058.916,65529.214,66547.520,70973.985,72747.491,71635.919,71001.005,71031.904,68075.070,66027.010,65677.405,66078.361,67121.631,67901.703,70223.553,74780.277,78371.393,81734.895,82797.073,80259.019,78136.165,77891.322,75929.019,71840.952,67123.801,62521.304,57401.392,61148.510,60386.918,53975.014,44239.716,36,Y,2889
NSLP,ACTEWAGL,2011/01/10,2011/05/05 22:01:27,38969.012,35866.556,34261.057,33556.994,32407.052,31943.906,31952.240,32129.784,33474.507,35389.994,40254.625,50835.569,59629.509,63430.530,64251.687,64306.515,64302.442,64191.995,66525.288,67140.897,71436.490,72952.581,70778.229,71061.559,70690.437,68917.673,67873.178,67840.825,68675.625,68681.752,68812.705,70497.074,72880.934,75856.861,79359.048,81420.948,80411.956,78582.603,76983.461,76884.866,72989.150,68727.691,63952.302,58550.143,61592.828,60962.361,53964.814,44131.531,37,Y,2889
NSLP,ACTEWAGL,2011/01/11,2011/05/05 22:01:27,38682.439,35842.270,33936.482,32965.286,32489.758,32047.016,32203.909,32044.043,33255.478,36077.142,40593.639,50941.687,59729.660,65287.754,65731.300,65103.851,64753.457,64535.569,67267.771,67244.736,71565.928,72228.157,69991.344,69041.127,69066.534,66783.153,65702.126,65243.823,64458.271,64275.544,65128.767,66540.567,71759.433,77500.943,81210.047,83057.444,81149.956,80325.469,79838.585,77381.503,72365.691,68217.472,63405.329,57570.495,61431.980,60290.811,53534.492,43910.358,38,Y,2889
NSLP,ACTEWAGL,2011/01/12,2011/05/05 22:01:27,38581.854,35183.302,33617.384,32912.275,32559.489,32174.704,32501.561,33034.392,33800.074,35793.249,41388.102,52278.613,61838.265,66623.647,67670.270,67438.096,66653.890,66511.171,68944.962,69589.422,73375.523,74609.153,72618.502,71475.526,72439.310,71962.878,70515.647,68092.103,68517.332,69748.958,70979.637,72286.074,76191.343,79793.676,83003.753,86184.879,85542.811,83874.121,83221.086,82478.026,78741.135,73499.576,68557.534,62841.526,65738.581,64193.706,56501.741,46568.564,39,Y,2889
NSLP,ACTEWAGL,2011/01/13,2011/05/05 22:01:27,40270.446,37515.279,36059.800,34610.582,34772.527,33972.495,33986.330,33963.240,34854.740,37761.567,42307.340,52667.911,61919.522,67929.022,69613.388,68736.262,67826.505,67613.943,70405.493,70392.780,74698.783,76096.770,73567.682,71857.082,71814.784,69025.817,67920.303,67660.923,66797.017,67091.009,68392.693,69976.456,72714.490,76515.368,79293.632,80814.664,78479.658,77408.022,77977.105,78406.757,74987.418,70629.262,66361.217,61329.037,64338.062,63030.618,55405.544,45295.859,40,Y,2889
NSLP,ACTEWAGL,2011/01/14,2011/05/05 22:01:27,39597.191,36727.502,34908.829,33731.026,33402.692,33109.936,32572.090,32993.852,34104.704,36414.777,40223.207,51462.761,60590.854,65926.466,66497.295,67140.650,66951.019,66554.975,68680.381,68752.177,72970.639,74698.723,72895.260,71658.283,71856.001,69912.178,68599.568,67720.794,67881.038,68064.623,69457.273,70413.465,72035.736,75188.383,76573.530,78329.846,76568.334,75343.472,75114.907,75161.838,72207.620,68717.821,65238.034,61965.945,66677.778,65514.544,58143.146,47899.996,41,Y,2889
NSLP,ACTEWAGL,2011/01/15,2011/05/05 22:01:27,42007.877,38790.683,36585.510,35390.734,34641.014,34358.472,33890.985,33941.851,33957.471,34324.126,34449.851,40254.455,44537.513,49082.921,54895.208,61598.554,67231.535,71063.711,75905.317,77978.408,83030.559,86342.762,85447.884,85505.466,87772.289,87780.307,87795.061,89165.202,91236.858,94180.346,96134.659,98808.286,101882.998,104692.885,106836.565,106000.939,102633.788,96214.623,90055.631,88061.200,85303.545,79922.614,74751.013,69821.252,72678.340,70407.355,62677.308,52396.339,42,Y,2889
NSLP,ACTEWAGL,2011/01/16,2011/05/25 22:01:11,46021.614,42511.780,39737.981,38096.977,36793.729,35952.072,35183.994,35136.182,34809.342,34225.560,32869.905,38471.109,41033.885,45496.763,50271.531,55189.956,59833.445,64982.926,71430.420,74348.760,80106.164,84045.505,84999.135,86893.690,89834.376,91223.322,93191.709,95995.488,98589.315,101881.746,103209.368,104612.668,106499.924,109586.808,111268.489,111253.269,108514.521,106213.732,104356.013,103784.703,99979.462,93328.717,86185.900,76796.870,76430.786,72528.707,63225.628,52827.753,36,Y,2904
