ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,DayType_Idx
NSLP,VICAGL,2006.1.1,27/04/2006 22:01,123855.391,118043.105,116293.035,109832.566,103135.958,98157.749,93832.442,89789.985,86623.419,83458.631,81640.909,79105.885,78877.53,80799.835,82954.202,87278.919,94118.566,102619.835,111977.846,119358.71,121061.054,120176.64,118065.768,113228.426,106735.696,98613.525,92338.679,85957.867,81227.577,79196.231,79049.795,79911.574,81925.372,84532.246,85118.005,86293.682,85450.782,85689.83,86738.073,88067.989,87732.876,86033.709,82601.919,79049.709,74917.846,71956.033,80655.523,76116.162,0
NSLP,VICAGL,2006.1.2,27/04/2006 22:01,69694.953,64445.649,65180.561,60811.655,56973.818,54534.872,53145.897,52129.11,51622.804,51206.364,52551.511,52854.972,54692.559,56044.742,56842.924,61062.654,64526.111,67813.412,70984.369,72963.113,74179.948,74876.844,75369.378,75039.656,74635.385,73939.6,73816.216,73354.487,73630.643,74726.812,76158.439,77809.87,80398.844,82191.291,83146.842,82548.355,80797.756,79356.355,78506.563,81111.543,87182.548,88912.523,85645.304,80831.431,74581.022,70691.764,78386.893,75320.964,1
NSLP,VICAGL,2006.1.3,27/04/2006 22:01,71054.351,63971.937,64283.968,60282.857,56710.751,54110.421,52695.492,52172.121,52300.248,53364.182,58695.287,60139.991,64891.495,68334.988,70150.004,73894.145,78328.112,81156.287,83435.554,84722.983,85577.864,86222.294,86747.422,86353.619,86010.148,85603.058,85430.512,85059.171,85256.763,85427.612,85962.242,86506.808,87495.157,86457.193,85285.45,83899.755,82314.213,80843.267,80216.122,83323.25,88944.663,89960.164,85973.289,79666.242,73581.288,69836.006,78742.882,75528.779,2
NSLP,VICAGL,2006.1.4,27/04/2006 22:01,69155.471,63302.825,64180.16,60562.599,56800.753,53977.439,52738.125,52158.45,52698.669,53591.194,57154.65,59707.593,64783.471,69161.828,69691.867,71739.104,76502.178,79735.086,81094.55,81833.141,82675.918,83225.583,83625.521,83454.976,82596.635,82200.023,82373.301,82300.602,82925.236,83657.168,84374.396,85395.808,86818.998,86804.527,85432.498,84911.124,82696.6,82715.972,84090.287,88258.771,91490.246,91148.708,87076.372,81461.919,75698.832,71264.649,79270.108,76337.45,3
NSLP,VICAGL,2006.1.5,27/04/2006 22:01,69935.437,63836.152,64899.634,60551.388,57014.617,54501.378,53234.015,52441.238,52656.711,53394.779,56886.298,60311.982,65381.909,69948.637,71038.821,74545.986,78769.572,80825.802,82190.728,83353.139,84354.748,85307.516,86100.953,85951.031,85919.414,85687.67,85883.047,85991.452,85799.098,86583.977,87323.541,88257.994,89327.439,90392.929,90042.927,88486.162,85424.278,84779.526,85605.713,87380.022,91897.109,92501.634,88578.782,82667.512,76064.628,71570.515,79900.939,76867.72,4
NSLP,VICAGL,2006.1.6,27/04/2006 22:01,70320.79,63877.571,64892.441,60865.479,57416.245,54707.316,53490.174,52699.307,53098.009,54325.254,57604.462,60753.814,65585.654,69889.32,71617.046,76141.535,80888.079,82975.576,84574.808,85851.508,87420.015,88878.936,90091.085,89927.548,89793.278,89736.587,90257.602,90385.771,90819.741,90755.038,90923.215,91096.903,91081.956,90839.072,89569.771,87511.808,84601.803,83265.304,82556.798,84226.34,88986.196,89840.841,87222.949,82904.882,77310.547,73584.577,81983.715,78525.691,5
NSLP,VICAGL,2006.1.7,27/04/2006 22:01,72184.917,65738.69,66300.598,61616.878,58550.051,55568.183,53914.332,53030.612,52779.236,52818.408,54913.314,55368.619,57938.806,60804.532,62825.374,67564.676,73425.96,76694.381,79476.134,80893.433,82270.87,83393.471,83742.84,83780.105,83637.168,83480.382,83751.312,84208.506,85509.048,87071.76,88851.125,90918.592,91638.075,92247.024,92411.159,90961.401,88514.207,85692.888,83259.984,83068.414,87785.666,89535.566,86493.824,82258.71,77481.809,74654.208,82840.533,78307.825,6
NSLP,VICAGL,2006.1.8,03/05/2006 22:01,72382.409,66665.909,67127.455,62697.901,58858.316,55744.14,53616.435,52442.085,51930.805,51099.192,51209.634,51619.276,53143.105,55425.43,56925.905,60362.948,65078.802,69359.146,73706.74,76438.002,78995.761,81126.623,83193.815,85006.013,86199.885,86971.71,88727.52,90683.325,93172.818,96569.05,100788.166,105333.118,109007.905,113040.185,115564.722,116036.121,113923.476,109521.626,106027.483,107912.196,111290.494,110432.442,104467.956,95262.14,86026.923,79769.259,85988.945,80302.698,0
NSLP,VICAGL,2006.1.9,03/05/2006 22:01,73136.075,67736.422,68251.426,64495.688,60703.333,58000.585,56835.715,56365.449,56908.976,58484.569,62701.232,66647.543,73622.761,79511.067,82994.284,88861.463,95512.474,98836.109,101079.332,102521.62,104736.351,107434.574,110862.814,112907.563,114373.81,116158.202,118466.852,121661.879,125671.031,129397.708,132170.572,133989.578,133040.766,129451.672,128254.529,126669.995,123964.743,121455.743,117873.728,115880.961,116655.071,114237.191,107618.074,97989.195,88086.734,82045.225,88453.735,83623.968,1
NSLP,VICAGL,2006.1.10,03/05/2006 22:01,76127.064,69188.313,69671.271,65333.999,61461.751,58843.589,57380.111,56880.952,57237.775,58923.615,62830.213,67052.51,72532.253,78027.825,82410.29,87955.39,94565.813,97333.118,99574.898,101570.243,104991.949,109739.399,114444.453,118211.682,122172.213,125677.718,128086.867,128923.794,127735.769,126960.734,124843.209,120103.489,116951.684,113147.247,107257.779,102570.034,99191.428,97928.211,98536.765,99994.079,98242.561,96473.426,91016.333,83830.897,77394.507,73175.535,81219.749,76109.801,2
NSLP,VICAGL,2006.1.11,03/05/2006 22:01,69904.781,65117.326,66035.994,62434.865,58521.019,55837.273,55199.573,54606.975,55250.429,57250.518,64290.916,70201.014,76569.901,82093.934,83567.001,87194.561,92967.981,95537.022,96072.827,96673.686,96399.275,96564.266,95998.551,94753.271,94045.592,93699.326,93366.909,93123.875,93261.981,93153.177,93171.11,93451.329,93912.682,93265.564,91442.212,88787.704,86475.581,85343.867,85217.945,87606.604,92096.242,93096.815,88649.933,82792.018,75855.349,71550.361,79027.053,73808.298,3
NSLP,VICAGL,2006.1.12,03/05/2006 22:01,69265.176,64513.639,65032.2,61160.735,57535.751,55065.019,53567.348,53291.483,53815.241,55518.6,60025.138,64961.326,70693.834,75055.374,76465.725,80382.192,84910.425,87635.802,89896.97,91178.244,92542.074,94215.681,95517.778,95781.837,96154.468,96904.09,97333.155,98478.503,99609.018,100491.396,101786.983,102475.073,102643.722,101862.289,99322.158,95653.151,92083.685,89639.076,88107.454,88850.253,93868.623,94113.439,89574.72,83108.238,76579.911,72119.99,79731.177,74441.408,4
NSLP,VICAGL,2006.1.13,03/05/2006 22:01,69243.933,64322.001,65164.522,60954.2,57813.581,55292.626,54052.872,53963.147,54414.404,56491.973,62161.203,66402.5,72051.789,77229.018,78567.69,81797.737,85986.948,87363.889,88219.24,88822.914,89851.637,90460.186,90842.332,90687.051,90638.366,90375.945,90553.926,90546.29,90541.787,90365.529,90207.104,90196.298,90111.128,89883.578,89117.518,86662.296,84624.244,83279.36,82517.98,84687.212,89407.469,89820.607,87114.115,82708.695,77373.045,73874.394,81420.226,75497.035,5
NSLP,VICAGL,2006.1.14,03/05/2006 22:01,70191.503,65029.743,65724.594,61408.172,57735.346,54707.042,53037.608,52126.508,51805.178,51973.015,52694.668,54485.407,57213.742,61399.218,64282.963,69059.798,75485.069,78147.632,80432.458,81711.385,82239.819,82409.188,82149.463,81718.299,80562.73,79781.725,79431.3,78857.497,78823.224,79078.176,79426.107,80437.389,80600.771,80879.529,81063.181,80274.972,79513.569,79754.257,80054.721,83330.555,86525.188,86401.436,83481.66,79381.689,75607.341,73240.699,81824.141,77509.94,6
NSLP,VICAGL,2006.1.15,10/05/2006 22:00,72075.28,66802.815,67093.289,63289.383,59348.282,56244.874,54331.622,53003.725,52355.422,52258.543,53102.45,53172.531,54397.584,56843.749,57904.227,61228.372,65491.175,69077.113,73194.025,74761.914,76039.363,76711.143,77229.107,77068.294,76326.57,75569.541,75313.579,74720.057,74980.69,75163.894,75739.158,76911.456,78297.591,79995.386,81966.993,82587.85,81222.528,80899.83,80950.585,84437.85,91025.177,91821.505,88243.414,82302.938,74980.083,69931.586,78122.262,74165.21,0
NSLP,VICAGL,2006.1.16,10/05/2006 22:00,68908.875,63844.394,64625.073,60773.798,57290.627,54757.193,53286.672,53038.672,53713.167,55588.647,60393.759,65398.519,72062.183,75339.747,77491.886,82000.484,87551.861,90399.976,92773.139,95034.138,97570.732,99824.159,101973.102,103266.594,104552.003,105203.96,105016.483,104841.976,103812.838,103347.582,103957.222,104304.025,105037.183,104199.644,102854.72,101285.17,97853.521,95458.975,94143.798,97070.82,99774.955,98512.294,93395.276,85757.494,78045.793,73117.667,80900.651,75039.373,1
NSLP,VICAGL,2006.1.17,10/05/2006 22:00,69610.224,64932.861,65779.402,62237.574,58759.275,56207.188,54957.001,54330.328,55272.791,57592.056,63680.786,69999.944,76273.166,81391.274,83541.571,87846.19,92325.393,93970.621,94849.35,95769.303,97606.477,98712.547,99446.056,99134.136,99525.684,99952.784,100930.818,101218.607,101460.309,100180.344,99000.845,98748.703,99666.61,97923.509,95813.78,92777.416,90476.356,88569.498,88340.413,90899.938,97200.243,97505.588,92256.773,84991.141,78087.4,72954.198,80139.343,73923.409,2
