Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),DayTyep_Idx,,,,interpolation rule: follow previous data
IDCJAC0016,66006,2006,1,1,34.1,0,,,,
IDCJAC0016,66006,2006,1,2,8.9,1,,,,
IDCJAC0016,66006,2006,1,3,34.5,2,,,,
IDCJAC0016,66006,2006,1,4,6,3,,,,
IDCJAC0016,66006,2006,1,5,7.7,4,,,,
IDCJAC0016,66006,2006,1,6,23.3,5,,,,
IDCJAC0016,66006,2006,1,7,31.3,6,,,,
IDCJAC0016,66006,2006,1,8,31.8,0,,,,
IDCJAC0016,66006,2006,1,9,29.9,1,,,,
IDCJAC0016,66006,2006,1,10,32.2,2,,,,
IDCJAC0016,66006,2006,1,11,29.8,3,,,,
IDCJAC0016,66006,2006,1,12,21.9,4,,,,
IDCJAC0016,66006,2006,1,13,9.1,5,,,,
IDCJAC0016,66006,2006,1,14,30.9,6,,,,
IDCJAC0016,66006,2006,1,15,12.8,0,,,,
IDCJAC0016,66006,2006,1,16,9.3,1,,,,
IDCJAC0016,66006,2006,1,17,9.5,2,,,,
IDCJAC0016,66006,2006,1,18,4.7,3,,,,
IDCJAC0016,66006,2006,1,19,9.9,4,,,,
IDCJAC0016,66006,2006,1,20,22.7,5,,,,
IDCJAC0016,66006,2006,1,21,31.8,6,,,,
IDCJAC0016,66006,2006,1,22,32.8,0,,,,
IDCJAC0016,66006,2006,1,23,31.3,1,,,,
IDCJAC0016,66006,2006,1,24,8.1,2,,,,
IDCJAC0016,66006,2006,1,25,9.1,3,,,,
IDCJAC0016,66006,2006,1,26,16.9,4,,,,
IDCJAC0016,66006,2006,1,27,29.4,5,,,,
IDCJAC0016,66006,2006,1,28,31,6,,,,
IDCJAC0016,66006,2006,1,29,31.1,0,,,,
IDCJAC0016,66006,2006,1,30,29.3,1,,,,
IDCJAC0016,66006,2006,1,31,11.8,2,,,,
IDCJAC0016,66006,2006,2,1,28.3,3,,,,
IDCJAC0016,66006,2006,2,2,22.8,4,,,,
IDCJAC0016,66006,2006,2,3,9.9,5,,,,
IDCJAC0016,66006,2006,2,4,4.7,6,,,,
IDCJAC0016,66006,2006,2,5,22.3,0,,,,
IDCJAC0016,66006,2006,2,6,30.5,1,,,,
IDCJAC0016,66006,2006,2,7,13.9,2,,,,
IDCJAC0016,66006,2006,2,8,28.5,3,,,,
IDCJAC0016,66006,2006,2,9,27.2,4,,,,
IDCJAC0016,66006,2006,2,10,25.5,5,,,,
IDCJAC0016,66006,2006,2,11,28.2,6,,,,
IDCJAC0016,66006,2006,2,12,27.2,0,,,,
IDCJAC0016,66006,2006,2,13,28.5,1,,,,
IDCJAC0016,66006,2006,2,14,7.3,2,,,,
IDCJAC0016,66006,2006,2,15,14.9,3,,,,
IDCJAC0016,66006,2006,2,16,11.2,4,,,,
IDCJAC0016,66006,2006,2,17,27.5,5,,,,
IDCJAC0016,66006,2006,2,18,21.8,6,,,,
IDCJAC0016,66006,2006,2,19,25.7,0,,,,
IDCJAC0016,66006,2006,2,20,6.5,1,,,,
IDCJAC0016,66006,2006,2,21,21.9,2,,,,
IDCJAC0016,66006,2006,2,22,17.3,3,,,,
IDCJAC0016,66006,2006,2,23,17,4,,,,
IDCJAC0016,66006,2006,2,24,25.3,5,,,,
IDCJAC0016,66006,2006,2,25,26.1,6,,,,
IDCJAC0016,66006,2006,2,26,12.4,0,,,,
IDCJAC0016,66006,2006,2,27,9.9,1,,,,
IDCJAC0016,66006,2006,2,28,24.2,2,,,,
IDCJAC0016,66006,2006,3,1,15,3,,,,
IDCJAC0016,66006,2006,3,2,18.7,4,,,,
IDCJAC0016,66006,2006,3,3,14.5,5,,,,
IDCJAC0016,66006,2006,3,4,16.8,6,,,,
IDCJAC0016,66006,2006,3,5,21.5,0,,,,
IDCJAC0016,66006,2006,3,6,25.9,1,,,,
IDCJAC0016,66006,2006,3,7,26.8,2,,,,
IDCJAC0016,66006,2006,3,8,21.8,3,,,,
IDCJAC0016,66006,2006,3,9,26.1,4,,,,
