ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,
CLOADNSWAI,AUSTINLANDEW,01/01/2006,27/04/2006 22:01,13.968,11.381,8.007,4.691,12.086,9.889,10.851,3.321,8.624,8.387,9.524,7.725,11.333,8.497,11.148,20.173,16.667,17.981,20.42,21.66,18.6,21.344,17.76,17.999,14.684,14.106,15.697,11.686,12.697,13.159,11.378,14.693,13.549,21.104,22.695,24.399,21.854,27.905,23.778,20.442,21.559,20.834,12.339,17.656,20.289,12.999,14.121,14.066,
CLOADNSWAI,AUSTINLANDEW,02/01/2006,27/04/2006 22:01,13.467,13.959,8.387,10.202,13.613,14.251,7.714,14.955,10.85,6.886,9.549,11.145,18.067,17.232,0.248,1.542,3.592,2.843,3.788,2.56,1.681,5.026,3.149,3.973,2.568,1.627,5.476,1.887,2.704,9.6,6.889,6.417,3.989,2.583,0.914,1.476,2.111,0.801,0.332,0,2.066,1.228,0.855,1.787,0.289,7.912,165.4,114.959,
CLOADNSWAI,AUSTINLANDEW,03/01/2006,27/04/2006 22:01,83.794,60.999,40.034,38.124,43.073,45.243,28.396,26.456,16.871,15.281,14.848,25.114,26.718,36.151,16.956,9.107,10.612,9.251,8.801,11.618,10.618,8.179,4.511,8.526,6.425,7.851,3.335,1.855,5.499,5.791,3.589,7.451,4.492,5.845,5.823,11.05,10.525,8.774,7.144,9.972,4.142,8.018,7.512,9.092,6.492,9.161,152.497,106.778,
CLOADNSWAI,AUSTINLANDEW,04/01/2006,27/04/2006 22:01,67.659,35.842,24.589,20.156,15.615,16.484,14.366,16.54,11.636,15.021,20.052,16.564,23.707,23.47,5.282,3.818,1.957,0.799,0.592,2.72,1.14,3.727,2.508,1.774,3,2.086,6.803,0.045,0.37,9.566,10.086,8.556,5.259,6.92,3.456,2.746,1.844,0.169,0,1.542,1.222,0.18,0,0,0.314,8.779,159.683,109.101,
CLOADNSWAI,AUSTINLANDEW,05/01/2006,27/04/2006 22:01,70.45,43.954,38.402,30.947,42.128,37.261,25.962,20.777,14.714,17.643,17.486,19.228,24.967,20.543,4.83,2.973,0.872,0.45,0.066,1.817,3.137,2.894,2.714,1.817,0.141,1.172,5.894,2.543,4.598,15.163,9.493,7.59,6.946,5.564,0.806,1.34,2.254,1.627,1.21,0.305,0.222,0.112,1.232,0.125,1.519,9.312,164.294,108.036,
CLOADNSWAI,AUSTINLANDEW,06/01/2006,27/04/2006 22:01,66.972,54.041,40.856,35.325,48.178,44.016,26.826,21.837,15.242,10.133,15.83,21.264,25.205,21.624,7.236,3.358,1.532,0.914,0.842,2.493,4.636,5.763,2.927,4.663,1.636,1.614,5.534,2.834,1.693,12.14,7.879,5.711,5.99,6.34,3.017,3.483,1.743,1.163,1.499,2.041,3.198,1.245,0.569,1.009,1.045,8.015,162.575,106.08,
CLOADNSWAI,AUSTINLANDEW,07/01/2006,27/04/2006 22:01,71.295,42.806,32.788,31.353,37.577,42.427,25.362,24.344,18.794,16.504,18.522,13.649,16.86,23.524,27.534,34.579,28.899,24.576,21.976,23.229,27.537,22.822,17.834,23.621,17.383,13.457,13.849,18.402,21.967,12.553,13.91,12.911,13.54,15.537,15.765,15.301,18.957,15.562,18.091,21.416,18.475,22.163,20.485,20.823,17.463,12.932,14.916,9.879,
CLOADNSWAI,AUSTINLANDEW,08/01/2006,03/05/2006 22:01,14.135,13.234,7.812,9.945,9.597,14.238,7.315,11.771,10.044,11.011,8.825,6.063,16.775,19.832,25.708,22.33,21.264,24.815,23.798,16.645,20.123,23.491,19.355,16.884,13.967,13.619,16.701,16.734,9.903,13.085,12.679,8.673,7.803,10.057,17.735,18.547,21.807,20.327,22.429,23.678,22.22,21.458,20.093,18.33,18.228,10.975,13.338,16.836,
CLOADNSWAI,AUSTINLANDEW,09/01/2006,03/05/2006 22:01,11.722,10.671,5.488,9.88,10.757,9.576,8.062,11.738,5.47,7.208,17.292,12.015,14.209,21.786,4.755,0.931,1.38,1.161,0.654,1.682,1.8,5.273,2.023,1.318,0,0.504,6.863,1.134,0.978,9.889,7.725,4.818,4.478,3.319,0.43,1.201,2.557,1.246,2.577,3.058,1.138,0.257,0,0,0.36,9.653,159.922,98.449,
CLOADNSWAI,AUSTINLANDEW,10/01/2006,03/05/2006 22:01,60.291,36.217,32.86,32.992,36.407,35.061,26.525,12.891,11,16.118,14.272,22.523,23.044,20.037,4.279,1.925,0,0.911,0.061,1.749,2.654,4.293,2.268,0.365,0,1.614,3.457,1.726,1.501,10.285,4.671,4.689,3.61,4.103,2.255,3.221,0,0.866,0.275,1.564,0.758,0.228,0,0,0.353,9.396,147.786,82.176,
CLOADNSWAI,AUSTINLANDEW,11/01/2006,03/05/2006 22:01,42.005,32.248,23.85,19.947,34.18,34.053,24.447,12.985,8.408,17.152,16.078,19.43,27.866,28.62,2.67,2.527,2.622,2.077,1.429,1.816,3.609,4.794,3.176,1.257,3.7,0.836,6.462,0.206,0.44,9.562,6.306,4.164,2.535,3.814,1.844,1.479,3.201,1.24,0,1.465,0.583,1.764,0,0,0.289,9.232,159.492,99.862,
CLOADNSWAI,AUSTINLANDEW,12/01/2006,03/05/2006 22:01,63.138,40.122,29.66,32.663,40.06,46.095,25.276,18.214,18.879,17.463,14.716,23.115,29.026,20.525,2.438,1.644,1.014,1.002,0.367,1.843,5.77,4.068,1.188,0.043,0,1.51,6.621,1.595,1.512,10.04,9.476,7.321,5.805,4.877,1.194,0.237,1.62,0.623,0.225,1.749,1.019,2.155,0.097,0,0.351,9.469,156.842,86.643,
CLOADNSWAI,AUSTINLANDEW,13/01/2006,03/05/2006 22:01,46.035,36.992,27.268,26.736,41.978,35.376,25.727,22.657,9.455,14.243,16.949,21.524,29.791,19.502,4.318,3.372,0.89,1.951,2.91,3.333,1.93,2.925,1.965,4.087,3.598,2.791,8.29,3.543,0.743,11.484,8.976,7.081,5.611,4.53,3.017,2.159,2.666,1.677,1.872,0.706,1.027,0,0.036,0.473,0.794,7.781,159.67,100.787,
CLOADNSWAI,AUSTINLANDEW,14/01/2006,03/05/2006 22:01,60.843,28.427,29.642,31.429,39.134,40.773,24.653,18.666,19.767,11.116,11.662,13.456,20.085,27.536,25.106,26.288,28.209,26.914,30.678,24.291,24.022,19.11,25.243,20.53,22.338,17.759,15.349,12.187,18.222,17.196,9.012,15.427,13.26,17.033,20.902,18.817,17.335,17.449,22.875,21.791,20.026,25.463,24.018,20.5,17.625,17.324,13.161,15.591,
