ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
CLOADNSWCE,COUNTRYENERGY,01/01/2009,24/04/2009 22:15,99.163,86.062,70.486,68.25,57.885,46.079,32.103,28.462,29.179,28.059,16.626,17.382,8.072,5.906,8.89,9.155,10.311,16.98,22.609,21.611,27.433,17.309,12.321,9.48,17.278,17.62,9.276,11.268,18.189,15.429,18.043,10.769,4.777,5.453,8.388,10.832,8.631,4.962,8.519,14.563,23.062,20.23,36.198,44.706,68.855,84.251,92.098,113.389,5,N,2329
CLOADNSWCE,COUNTRYENERGY,02/01/2009,24/04/2009 22:15,108.095,87.524,72.952,65.844,47.833,36.059,32.448,25.478,21.178,20.153,19.792,33.84,11.348,5.439,6.446,6.578,7.412,6.035,17.144,17.29,16.726,7.734,8.67,9.298,16.439,13.009,10.977,8.598,8.972,9.125,15.281,9.163,3.63,3.712,5.938,9.18,7.881,5.651,10.392,16.457,18.028,24.822,40.217,54.622,78.441,87.613,89.775,105.637,6,N,2329
CLOADNSWCE,COUNTRYENERGY,03/01/2009,24/04/2009 22:15,96.753,85.133,71.622,74.439,71.83,38.19,27.417,18.798,14.8,25.313,32.425,32.772,32.496,38.364,33.099,34.494,56.382,49.242,54.433,48.928,44.29,41.67,27.53,25.784,32.568,30.04,23.48,30.775,25.61,19.962,25.079,15.955,17.454,16.985,14.757,14.738,13.038,17.606,16.846,24.058,24.042,28.653,39.699,45.094,43.136,40.225,49.331,54.911,7,N,2329
CLOADNSWCE,COUNTRYENERGY,04/01/2009,05/05/2009 22:18,47.001,41.015,33.474,33.291,24.361,20.324,13.366,19.303,21.126,17.884,18.937,15.584,26.655,30.146,41.217,48.368,55.308,41.508,38.367,36.213,30.787,28.588,27.582,22.427,24.581,23.354,21.416,19.046,24.091,18.765,19.027,16.238,7.325,19.399,18.646,22.041,21.681,16.195,24.075,26.586,35.728,32.07,30.444,37.559,39.414,32.668,36.347,48.071,1,N,2339
CLOADNSWCE,COUNTRYENERGY,05/01/2009,05/05/2009 22:18,44.058,35.418,39.581,33.182,33.405,30.968,18.567,16.564,18.566,26.237,24.25,31.492,15.209,13.743,7.543,7.08,8.271,11.495,17.991,17.089,16.13,18.746,14.152,14.099,13.322,13.535,10.77,6.813,9.572,8.544,13.46,8.004,3.704,5.384,11.451,8.666,8.28,4.531,9.909,12.388,21.406,22.375,31.502,47.38,75.095,78.243,80.591,85.723,2,N,2339
CLOADNSWCE,COUNTRYENERGY,06/01/2009,05/05/2009 22:18,87.247,88.029,71.685,59.1,50.561,37.653,25.311,21.708,28.985,25.028,23.065,31.569,15.454,12.559,10.646,6.625,10.737,12.829,19.331,18.34,17.606,14.145,17.062,7.979,14.94,13.311,5.978,7.985,11.603,5.571,12.635,7.841,8.192,5.457,7.274,8.244,6.703,8.631,12.88,11.797,20.841,53.539,49.517,54.989,71.446,69.92,72.844,86.318,3,N,2339
CLOADNSWCE,COUNTRYENERGY,07/01/2009,05/05/2009 22:18,81.718,79.685,63.905,64.504,48.865,32.985,31.813,17.739,27.883,27.233,31.868,36.628,8.443,12.816,12.52,6.338,9.238,7.25,18.451,12.801,16.475,12.999,9.88,10.937,13.586,9.28,10.928,7.954,8.785,8.55,16.835,5.639,4.485,7.598,6.112,10.253,9.959,12.08,13.529,19.366,21.526,22.69,40.685,50.774,67.393,70.168,69.473,83.866,4,N,2339
CLOADNSWCE,COUNTRYENERGY,08/01/2009,05/05/2009 22:18,81.872,67.511,55.028,61.484,51.833,36.308,27.346,24.002,26.645,25.73,22.835,32.545,10.366,6.85,6.249,7.297,12.557,9.056,18.73,12.448,15.539,15.673,12.325,7.093,12.8,13.493,9.004,9.79,10.278,5.758,16.771,6.801,4.638,2.616,2.467,9.491,9.844,2.523,5.214,15.707,21.128,21.502,36.355,48.54,70.411,74.945,77.968,91.534,5,N,2339
CLOADNSWCE,COUNTRYENERGY,09/01/2009,05/05/2009 22:18,103.748,87.248,70.894,66.373,53.384,35.435,29.275,20.213,25.992,19.642,29.965,34.47,14.157,24.895,15.074,5.021,7.787,11.354,33.23,16.208,18.883,18.137,12.116,8.741,20.333,12.821,8.222,5.356,9.01,11.472,21.637,10.021,4.949,6.972,9.923,7.692,6.546,23.443,8.098,29.351,32.807,44.315,75.767,55.554,66.648,73.896,71.895,93.075,6,N,2339
CLOADNSWCE,COUNTRYENERGY,10/01/2009,05/05/2009 22:18,100.943,78.602,76.486,68.65,58.349,48.574,33.419,32.199,20.12,24.363,25.869,25.489,45.029,36.568,32.57,56.701,41.886,44.298,55.332,64.399,46.816,32.417,34.066,22.584,27.275,25.9,24.98,28.032,16.068,22.91,26.677,17.674,22.097,15.167,19.036,12.562,9.275,12.694,20.581,24.763,23.327,29.56,42.578,51.786,36.966,26.098,43.216,52.488,7,N,2339
