ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
CLOADNSWCE,COUNTRYENERGY,01/01/2013,01/05/2013 18:37,65.119,41.519,32.811,34.394,26.653,17.612,21.816,15.01,16.116,15.177,18.897,9.724,1.924,4.127,1.61,4.972,8.028,14.719,11.758,13.107,14.172,10.084,10.057,12.102,15.074,11.599,11.235,11.309,12.942,9.342,7.342,5.525,5.543,6.992,8.972,7.045,3.242,2.044,10.255,15.988,19.012,24.063,34.301,65.111,64.354,53.58,46.689,51.429,3,N,3494
CLOADNSWCE,COUNTRYENERGY,02/01/2013,01/05/2013 18:37,54.815,43.594,30.202,32.223,33.977,10.449,10.655,12.09,18.035,23.003,17.709,17.76,9.783,5.35,6.339,5.096,15.246,11.571,12.625,11.723,8.911,8.235,3.272,4.591,15.42,13.622,7.473,8.189,3.183,6.068,7.633,6.206,6.499,6.039,5.197,7.143,6.094,3.111,11.597,10.754,12.954,23.86,30.691,62.564,80.438,59.249,49.745,53.527,4,N,3494
CLOADNSWCE,COUNTRYENERGY,03/01/2013,01/05/2013 18:37,57.975,45.433,38.395,33.611,40.426,22.533,13.562,16.452,19.027,17.285,19.716,24.227,12.453,7.55,5.682,10.211,12.515,9.241,11.618,9.755,10.799,11.348,9.181,11.172,14.629,10.972,5.598,14.46,4.934,10.27,6.938,4.916,4.783,6.168,7.014,11.7,8.325,7.54,8.93,9.935,16.193,19.94,31.914,61.018,74.601,59.358,48.897,58.533,5,N,3494
CLOADNSWCE,COUNTRYENERGY,04/01/2013,01/05/2013 18:37,67.204,45.026,33.034,34.526,32.852,25.488,17.903,16.067,12.954,22.541,21.701,20.632,8.485,5.483,6.487,6.088,11.239,6.447,9.037,14.054,16.134,13.84,5.274,3.199,16.679,12.066,6.918,8.773,7.002,9.641,7.856,5.467,5.329,5.444,5.465,4.297,2.52,4.233,5.975,12.081,15.398,20.777,32.793,49.246,77.453,58.226,45.704,46.861,6,N,3494
CLOADNSWCE,COUNTRYENERGY,05/01/2013,01/05/2013 18:37,68.285,46.603,40.352,33.625,27.255,18.71,13.336,13.941,14.282,15.785,19.297,13.292,13.709,24.026,21.809,26.109,29.793,34.956,29.793,29.513,21.674,21.815,17.392,17.647,18.738,27.074,16.959,10.83,21.347,22.3,7.322,8.342,9.899,11.721,10.247,9.384,8.734,16.404,24.911,17.955,12.677,16.33,13.363,33.935,42.036,24.344,26.206,32.775,7,N,3494
CLOADNSWCE,COUNTRYENERGY,06/01/2013,08/05/2013 22:06,48.556,28.959,16.692,25.444,19.369,16.374,17.514,8.77,14.235,16.485,17.27,12.616,12.725,19.253,24.533,17.448,31.66,18.38,26.113,31.764,23.131,27.601,18.898,24.665,20.214,21.631,26.269,19.551,14.654,16.118,16.442,6.643,8.885,8.316,8.78,12.033,14.163,11.431,20.643,19.291,16.309,13.502,14.94,35.501,39.847,18.368,23.694,26.928,1,N,3504
CLOADNSWCE,COUNTRYENERGY,07/01/2013,08/05/2013 22:06,37.302,31.088,16.528,20.642,17.137,12.579,15.465,11.319,13.815,17.689,28.27,21.297,16.319,9.234,10.318,4.043,10.708,10.07,15.482,9.518,7.106,8.787,7.417,6.793,18.203,15.424,10.993,6.492,5.594,6.535,5.257,1.453,2.716,2.546,3.776,8.353,6.699,8.538,9.481,10.248,17.255,21.773,31.388,58.707,70.428,54.559,49.249,48.205,2,N,3504
CLOADNSWCE,COUNTRYENERGY,08/01/2013,08/05/2013 22:06,54.348,45.406,31.929,34.277,22.871,12.307,12.507,11.319,17.83,23.321,20.31,16.037,10.369,9.711,4.604,4.623,6.838,9.646,11.982,11.062,9.253,14.296,8.656,5.524,14.065,11.647,9.187,5.784,6.384,7.032,7.738,2.925,4.008,1.133,5.036,4.793,5.147,5.348,12.032,14.464,16.578,23.561,29.289,52.868,64.201,54.883,45.947,52.894,3,N,3504
CLOADNSWCE,COUNTRYENERGY,09/01/2013,08/05/2013 22:06,54.775,44.832,37.784,33.574,29.568,19.186,18.396,11.766,14.035,13.217,28.117,31.027,18.868,11.367,9.418,6.68,13.992,10.492,7.059,7.551,10.938,6.657,7.29,11.413,20.635,9.476,13.365,8.2,10.367,14.63,11.549,9.151,8.365,8.514,5.634,5.288,8.724,2.869,9.121,12.009,19.081,22.034,33.878,59.58,76.734,68.538,52.611,48.995,4,N,3504
CLOADNSWCE,COUNTRYENERGY,10/01/2013,08/05/2013 22:06,59.058,43.644,34.715,38.046,34.786,21.53,9.917,17.831,23.891,16.417,27.812,27.516,11.846,9.741,3.448,4.512,11.666,8.693,13.109,12.284,14.077,12.608,7.078,7.403,19.273,10.41,9.635,11.831,8.689,8.654,11.235,6.483,3.423,4.632,5.092,4.879,7.758,4.494,9.472,10.066,15.297,24.289,35.925,55.291,71.957,63.456,57.619,53.712,5,N,3504
CLOADNSWCE,COUNTRYENERGY,11/01/2013,08/05/2013 22:06,59.93,49.004,37.377,39.396,35.144,20.002,18.073,18.987,18.03,20.988,22.716,22.652,13.29,9.582,7.769,4.194,15.477,14.43,13.69,14.273,22.571,14.809,10.607,8.348,18.172,11.737,10.261,8.729,6.733,7.928,8.979,4.861,4.419,5.245,4.419,11.497,9.513,5.706,11.144,14.714,17.551,24.003,33.599,49.855,71.241,61.972,48.467,46.439,6,N,3504
CLOADNSWCE,COUNTRYENERGY,12/01/2013,08/05/2013 22:06,61.98,46.513,31.915,26.834,31.029,12.903,17.378,18.555,11.549,11.195,14.252,14.891,18.044,27.443,31.156,17.263,22.915,31.362,30.318,33.111,27.73,19.361,21.634,21.041,20.76,21.807,22.593,18.385,20.599,18.284,14.092,11.438,11.326,8.85,8.659,8.977,11.746,10.303,16.064,27.331,22.109,16.862,19.065,33.772,36.028,27.333,26.574,26.997,7,N,3504
CLOADNSWCE,COUNTRYENERGY,13/01/2013,21/05/2013 18:05,42.348,20.175,15.781,21.046,16.386,15.454,9.567,13.897,10.932,18.212,17.887,18.311,15.24,17.327,19.764,23.032,23.909,28.328,20.239,25.553,28.184,27.845,21.417,19.88,20.669,32.679,19.601,22.407,25.525,16.536,15.697,13.518,12.133,12.866,11.093,13.679,16.604,16.668,20.966,17.193,23.868,18.746,20.259,39.116,42.832,21.007,27.18,30.369,1,N,3525
CLOADNSWCE,COUNTRYENERGY,14/01/2013,21/05/2013 18:05,42.186,22.862,15.044,22.744,21.027,13.893,15.028,15.62,17.458,21.488,20.133,20.094,11.947,12.483,9.429,10.253,10.992,11.27,12.835,10.646,15.587,15.424,5.65,6.253,10.698,16.872,9.49,14.128,8.209,8.652,10.009,8.783,4.55,5.754,3.601,8.296,5.485,3.615,10.133,16.352,20.501,26.435,32.877,69.699,81.324,71.376,56.683,56.939,2,N,3525
