ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,Locked
NSLP,ACTEWAGL,01/01/2009,24/04/2009 22:01,47251.465,43172.815,40564.136,38186.375,37244.529,36015.941,35770.58,35217.634,35260.703,32207.684,34683.738,37522.135,38962.488,41277.819,44182.857,47970.369,51671.585,55151.944,59325.437,61217.431,65387.847,67460.699,65844.087,64991.668,65188.411,62591.351,61319.674,60682.896,60234.84,60516.788,61041.11,62161.698,63949.147,67009.852,68108.3,68402.352,66986.377,65597.088,64858.247,66732.751,66033.737,63001.528,60167.906,56752.866,61828.343,62634.508,56355.453,46866.965,Y
NSLP,ACTEWAGL,02/01/2009,24/04/2009 22:01,40936.103,37980.205,36091.21,34658.007,34503.404,34768.447,34404.52,34719.262,35370.414,32899.823,37036.244,42140.904,45766.26,49549.249,53289.627,57712.54,61828.85,63645.152,66607.169,67270.467,70202.429,71827.828,69285.562,68438.788,67981.907,65423.031,63681.728,62808.567,62585.899,62542.412,63600.23,64937.449,66583.376,69338.339,69963.866,70182.023,68828.749,67758.978,67785.61,69194.65,67361.66,64266.716,62210.928,59026.52,64103.854,65241.464,59017.539,49084.151,Y
NSLP,ACTEWAGL,03/01/2009,24/04/2009 22:01,43389.491,39723.811,37682.16,35835.832,35355.194,34591.248,34985.738,35046.929,35267.922,33086.688,35512.99,39518.989,42801.394,46075.018,50379.613,55392.372,60580.618,62597.33,66389.07,67489.788,70921.902,72345.519,69512.017,68448.544,68202.308,64966.895,62820.366,61811.463,61495.615,61815.735,62706.44,64004.331,65679.764,68145.957,70175.949,70974.296,69943.6,68583.779,67935.139,70397.722,68932.725,66312.208,63959.489,60577.929,65699.397,66116.437,59913.641,49890.998,Y
NSLP,ACTEWAGL,04/01/2009,05/05/2009 22:04,43802.917,40201.33,38018.311,36504.141,35766.609,35129.952,35161.657,34750.396,35042.295,32676.148,34353.498,37994.002,40878.351,43635.044,47843.868,52822.768,56512.323,60499.044,66192.359,67639.568,71503.722,74000.722,72453.802,72271.785,74150.606,73202.902,72733.581,74100.852,75561.982,78240.471,79868.293,81883.91,85252.626,89220.338,91069.737,91327.755,88229.86,85688.265,83901.497,84580.545,82139.467,77635.567,72453.88,66671.694,69437.215,68227.089,60705.065,50598.187,Y
NSLP,ACTEWAGL,05/01/2009,05/05/2009 22:04,44802.253,40903.629,38961.667,38323.708,37180.878,36825.369,36782.521,36735.896,37785.087,37025.719,42379.584,51299.504,59243.957,63808.573,66180.843,68511.775,71592.23,73151.714,77370.432,79733.852,84975.049,87785.49,87224.345,87900.186,90402.859,90458.166,91144.865,92259.526,93858.527,95891.504,98537.962,101236.4,103542.928,106679.651,108305.858,107822.561,103543.865,98467.129,93048.283,91453.991,88101.496,81903.382,74686.24,67364.64,70049.624,68277.554,60203.384,49720.815,Y
NSLP,ACTEWAGL,06/01/2009,05/05/2009 22:04,44098.293,40589.631,39163.734,37880.603,37527.052,36938.704,37074.485,36775.531,37628.27,37456.311,42411.716,51804.259,58983.239,63831.595,66386.252,68163.316,70637.044,71836.447,76661.239,79161.409,84672.343,88683.618,89431.757,91605.915,94063.939,94537.768,96080.65,98334.403,100763.14,104528.956,107604.48,110798.414,113590.544,117008.424,117748.389,117593.351,113055.519,108331.098,101723.589,98669.35,94555.648,87947.998,80328.783,71689.245,73060.929,70484.155,61797.277,51327.89,Y
NSLP,ACTEWAGL,07/01/2009,05/05/2009 22:04,46026.475,42615.711,40418.612,39543.764,38594.001,38183.082,38037.825,37828.365,38599.974,38411.66,42907.962,52290.594,60530.883,65164.948,67538.58,70005.093,72602.196,74523.526,79860.533,83645.839,90295.2,95326.987,97892.585,101260.815,106085.716,104867.735,104518.369,106588.408,109007.542,110160.489,110698.897,112008.963,109289.669,108245.45,108415.789,108159.062,103858.193,98751.585,94680.972,94765.192,91190.08,85951.808,79633.039,72657.808,74552.636,72088.989,63673.545,53568.221,Y
NSLP,ACTEWAGL,08/01/2009,05/05/2009 22:04,47377.373,44489.306,42516.085,41386.314,40512.921,39872.297,39589.132,39278.567,40201.513,40157.227,44160.499,54242.449,61719.134,67296.638,69502.888,70413.534,70859.037,71034.963,74809.951,75534.821,80313.278,82977.302,81196.385,81195.956,83505.313,82432.747,83482.725,84818.56,87008.385,89083.343,90220.772,89359.016,86915.561,85805.126,83076.954,81328.723,78061.748,76536.122,75881.309,76390.094,72669.994,70069.556,65256.645,60664.109,65037.845,65028.854,57902.115,47716.105,Y
NSLP,ACTEWAGL,09/01/2009,05/05/2009 22:04,41890.783,38827.512,37481.68,36667.359,36155.712,35846.616,35433.23,35710.796,36600.988,37964.41,42016.159,52302.284,60172.945,65591.204,67098.292,68322.261,68664.744,68725.29,71495.899,72039.439,75481.266,77093.486,74526.144,73493.54,74062.582,71565.239,70414.052,69742.32,69537.233,69584.543,69816.338,70122.479,71123.391,72417.677,73244.445,72922.506,72100.02,71033.179,71051.847,72524.918,69990.333,66692.301,64240.965,61022.901,65958.239,66220.428,59316.688,49173.798,Y
NSLP,ACTEWAGL,10/01/2009,05/05/2009 22:04,43606.113,40154.397,38272.383,36528.838,36142.294,35951.693,35728.781,35515.82,35806.397,35334.199,35787.311,41145.033,44885.689,49402.327,54276.95,59394.51,65033.418,67457.387,71394.166,71266.388,74909.21,76234.37,73418.074,72148.876,72334.254,69378.889,67661.858,66794.963,65114.436,63921.281,64069.786,64939.338,66533.398,68904.509,70573.593,71157.342,70013.004,68376.446,67339.329,69276.875,69136.602,66978.381,64481.043,61173.8,66266.068,66931.491,60315.197,50663.585,Y
