Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality,DayTyep_Idx
IDCJAC0009,66062,2006,1,1,0,,Y,0
IDCJAC0009,66062,2006,1,2,5.8,1,Y,1
IDCJAC0009,66062,2006,1,3,0.4,1,Y,2
IDCJAC0009,66062,2006,1,4,0,,Y,3
IDCJAC0009,66062,2006,1,5,4.2,1,Y,4
IDCJAC0009,66062,2006,1,6,10.2,1,Y,5
IDCJAC0009,66062,2006,1,7,5.2,1,Y,6
IDCJAC0009,66062,2006,1,8,0.6,1,Y,0
IDCJAC0009,66062,2006,1,9,1.6,1,Y,1
IDCJAC0009,66062,2006,1,10,0.2,1,Y,2
IDCJAC0009,66062,2006,1,11,0,,Y,3
IDCJAC0009,66062,2006,1,12,15.6,1,Y,4
IDCJAC0009,66062,2006,1,13,0,,Y,5
IDCJAC0009,66062,2006,1,14,0.6,1,Y,6
IDCJAC0009,66062,2006,1,15,0.6,1,Y,0
IDCJAC0009,66062,2006,1,16,39.8,1,Y,1
IDCJAC0009,66062,2006,1,17,10.8,1,Y,2
IDCJAC0009,66062,2006,1,18,6.6,1,Y,3
IDCJAC0009,66062,2006,1,19,5.4,1,Y,4
IDCJAC0009,66062,2006,1,20,0.6,1,Y,5
IDCJAC0009,66062,2006,1,21,0,,Y,6
IDCJAC0009,66062,2006,1,22,0,,Y,0
IDCJAC0009,66062,2006,1,23,0,,Y,1
IDCJAC0009,66062,2006,1,24,0,,Y,2
IDCJAC0009,66062,2006,1,25,2.4,1,Y,3
IDCJAC0009,66062,2006,1,26,5.2,1,Y,4
IDCJAC0009,66062,2006,1,27,0,,Y,5
IDCJAC0009,66062,2006,1,28,0,,Y,6
IDCJAC0009,66062,2006,1,29,0,,Y,0
IDCJAC0009,66062,2006,1,30,0,,Y,1
IDCJAC0009,66062,2006,1,31,5.6,1,Y,2
IDCJAC0009,66062,2006,2,1,0.4,1,Y,3
IDCJAC0009,66062,2006,2,2,0,,Y,4
IDCJAC0009,66062,2006,2,3,0,,Y,5
IDCJAC0009,66062,2006,2,4,0.6,1,Y,6
IDCJAC0009,66062,2006,2,5,0,,Y,0
