RMSE,MAPE
0.28307,3.8721
0.28161,3.8741
0.28189,3.8954
0.28048,3.7606
0.28094,3.9079
0.28204,3.9133
0.28359,3.8429
0.28206,3.8151
0.2829,3.9013
0.28206,3.9846
0.2812,3.9569
0.28309,3.9898
0.2827,3.9077
0.2823,3.9109
0.28209,3.9395
0.2816,4.0387
0.28081,3.847
0.281,3.8896
0.28428,4.0607
0.28157,3.8847
0.28245,4.0037
0.28311,3.9596
0.28268,3.7971
0.28337,3.8868
0.28242,3.9601
0.28284,3.8306
0.28317,3.9196
0.28531,3.9445
0.28327,4.0679
0.28212,3.9529
0.28194,3.7669
0.28451,4.1044
0.28326,4.0399
0.2818,3.875
0.28344,3.9921
0.28289,3.9964
0.28437,3.918
0.28207,3.9388
0.2839,3.9486
0.28281,3.9796
0.28216,3.8761
0.27984,3.8603
0.28411,3.9331
0.28358,3.8837
0.28146,3.8202
0.28379,3.9015
0.28158,3.9411
0.28278,3.9389
0.28158,3.8365
0.28441,3.91
0.28059,3.9094
0.28247,3.9489
0.28319,3.8598
0.28388,3.9031
0.28156,3.8764
0.28276,4.0635
0.28147,3.998
0.28213,3.8604
0.28164,3.9938
0.28172,3.834
0.28137,3.9298
0.28087,3.9394
0.28189,3.8799
0.27998,3.9227
0.28259,3.8717
0.28336,3.9241
0.28127,3.8354
0.28047,3.7515
0.28303,3.9275
0.28255,3.8418
0.2834,3.8975
0.28141,3.8924
0.28076,3.8566
0.28338,3.8802
0.28327,3.8608
0.28142,3.8377
0.2832,3.9342
0.28328,3.9731
0.28247,3.9517
0.28138,3.9446
0.28225,3.8995
0.2828,4.0602
0.28215,4.0546
0.28324,3.9958
0.2812,3.8584
0.28324,3.9731
0.28191,3.8869
0.2835,3.8751
0.28212,3.8663
0.28181,4.006
0.2839,3.9679
0.28262,3.8216
0.28159,3.7463
0.28415,3.9343
0.28068,3.951
0.28246,3.8416
0.28283,3.9937
0.28229,3.9625
0.28315,3.9274
0.28045,3.8244
0.28247,4.0243
0.28182,3.9691
0.28348,3.9457
0.28277,3.9259
0.28266,3.979
0.28191,3.8348
0.28332,3.9046
0.28263,3.7476
0.28244,3.9664
0.28235,3.9276
0.28313,3.9477
0.28212,3.918
0.28079,4.018
0.28376,3.9662
0.28123,3.9874
0.28219,3.8946
0.28215,3.8665
0.28127,3.8605
0.28368,3.984
0.28259,4.078
0.28235,3.9569
0.28209,4.0803
0.28356,3.9034
0.28186,4.0596
0.28287,3.846
0.28234,3.8709
0.28151,3.8992
0.28166,3.8625
0.28286,4.0077
0.28146,4.0284
0.28308,3.9665
0.28557,3.8472
0.28089,4.0545
0.28032,3.8338
0.28375,3.9009
0.28126,3.8249
0.28339,4.0878
0.28237,3.8161
0.2803,3.8791
0.28238,3.8504
0.28132,3.9659
0.28181,3.8201
0.28345,3.9077
0.28404,3.8932
0.28266,3.8396
0.28163,3.8939
0.28336,3.7254
0.28247,3.9177
0.28219,3.9866
0.28294,3.871
0.28376,3.9063
0.28164,3.8504
0.28577,3.9489
0.28222,3.922
0.28159,3.8617
0.28275,3.9476
0.28264,3.9773
0.28129,3.9535
0.28286,3.8949
0.28178,3.8862
0.282,3.9069
0.28369,3.9765
0.28251,3.8543
0.2816,3.7979
0.28221,3.9515
0.28308,3.8491
0.28045,3.8834
0.28115,3.8854
0.28328,3.9482
0.28415,4.0246
0.28254,3.751
0.28221,3.8934
0.28215,4.0549
0.28173,3.9029
0.28342,3.9611
0.28259,3.81
0.28265,3.8279
0.28059,4.0263
0.28206,3.8958
0.28252,3.8835
0.28268,3.8759
0.28219,3.8268
0.2826,3.9423
0.28436,3.9108
0.28182,3.8402
0.28359,3.9514
0.28391,3.9485
0.28349,3.9352
0.28413,3.9684
0.28388,3.8684
0.28194,3.9008
0.28349,3.907
0.28229,3.9643
0.28125,3.9368
0.28307,4.0139
0.28124,3.8467
0.2815,3.9469
0.28442,3.9162
0.28252,4.0481
0.28125,3.9047
0.28214,3.8292
0.28321,3.8298
0.2835,3.9347
0.28189,3.9059
0.28442,3.8124
0.28253,3.8556
