Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality,DayTyep_Idx
IDCJAC0010,66062,2006,1,1,44.2,1,Y,0
IDCJAC0010,66062,2006,1,2,22.2,1,Y,1
IDCJAC0010,66062,2006,1,3,31.1,1,Y,2
IDCJAC0010,66062,2006,1,4,21.4,1,Y,3
IDCJAC0010,66062,2006,1,5,22.6,1,Y,4
IDCJAC0010,66062,2006,1,6,26.3,1,Y,5
IDCJAC0010,66062,2006,1,7,26.1,1,Y,6
IDCJAC0010,66062,2006,1,8,26.9,1,Y,0
IDCJAC0010,66062,2006,1,9,28.2,1,Y,1
IDCJAC0010,66062,2006,1,10,29.1,1,Y,2
IDCJAC0010,66062,2006,1,11,33.5,1,Y,3
IDCJAC0010,66062,2006,1,12,26.8,1,Y,4
IDCJAC0010,66062,2006,1,13,24.8,1,Y,5
IDCJAC0010,66062,2006,1,14,29,1,Y,6
IDCJAC0010,66062,2006,1,15,24.4,1,Y,0
IDCJAC0010,66062,2006,1,16,25.7,1,Y,1
IDCJAC0010,66062,2006,1,17,28.6,1,Y,2
IDCJAC0010,66062,2006,1,18,22.7,1,Y,3
IDCJAC0010,66062,2006,1,19,23.6,1,Y,4
IDCJAC0010,66062,2006,1,20,26.8,1,Y,5
IDCJAC0010,66062,2006,1,21,28.3,1,Y,6
IDCJAC0010,66062,2006,1,22,28.5,1,Y,0
IDCJAC0010,66062,2006,1,23,27.9,1,Y,1
IDCJAC0010,66062,2006,1,24,23.5,1,Y,2
IDCJAC0010,66062,2006,1,25,22.6,1,Y,3
IDCJAC0010,66062,2006,1,26,26.6,1,Y,4
IDCJAC0010,66062,2006,1,27,27.7,1,Y,5
IDCJAC0010,66062,2006,1,28,28.3,1,Y,6
IDCJAC0010,66062,2006,1,29,28.7,1,Y,0
IDCJAC0010,66062,2006,1,30,28.3,1,Y,1
IDCJAC0010,66062,2006,1,31,23.8,1,Y,2
IDCJAC0010,66062,2006,2,1,29.6,1,Y,3
IDCJAC0010,66062,2006,2,2,32,1,Y,4
IDCJAC0010,66062,2006,2,3,24.2,1,Y,5
IDCJAC0010,66062,2006,2,4,22.8,1,Y,6
IDCJAC0010,66062,2006,2,5,27.3,1,Y,0
IDCJAC0010,66062,2006,2,6,30.9,1,Y,1
IDCJAC0010,66062,2006,2,7,23.4,1,Y,2
IDCJAC0010,66062,2006,2,8,25.5,1,Y,3
IDCJAC0010,66062,2006,2,9,29.8,1,Y,4
IDCJAC0010,66062,2006,2,10,24.6,1,Y,5
IDCJAC0010,66062,2006,2,11,27,1,Y,6
