ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48
NSLP,ACTEWAGL,01/01/2006,27/04/2006 22:01,57981.987,52509.119,48727.458,46108.716,43960.02,42813.24,41459.312,40842.44,40150.11,37095.812,38499.554,40943.27,43330.792,46152.285,50874.369,57076.471,64021.69,71694.308,80843.348,86943.981,94517.713,99433.994,100107.822,101520.267,104371.96,103333.636,99512.449,97437.673,98637.464,101119.475,102239.319,102821.482,104060.757,105765.653,105651.279,105964.975,104121.074,102630.367,100288.189,102326.473,100224.355,96573.587,91551.743,85433.952,87146.636,84207.241,74548.319,62047.586
NSLP,ACTEWAGL,02/01/2006,27/04/2006 22:01,55099.815,50914.115,48242.214,46270.528,45081.572,44483.842,43386.671,43115.153,42978.434,42435.239,44043.462,45574.041,47238.722,49351.021,53180.35,57716.529,64038.398,67896.113,74305.908,77603.026,82759.627,86685.943,85905.909,86763.631,88987.337,87748.065,87855.993,88471.399,89311.957,90644.084,90447.494,90522.887,92131.991,94864.681,94702.672,93980.712,89922.864,85530.704,81440.083,81969.402,80924.661,76820.394,72206.688,67404.697,70041.697,70042.692,62489.441,51896.91
NSLP,ACTEWAGL,03/01/2006,27/04/2006 22:01,45270.977,41613.66,39295.632,37943.005,37319.431,36928.828,36597.391,36802.035,37439.459,35877.233,40997.083,48563.016,55636.01,59783.564,63511.493,67368.386,71031.157,72901.709,77651.654,79998.279,84246.844,87729.618,86922.004,87228.254,89694.448,89164.446,89022.234,91235,92923.222,94779.954,96114.369,98258.179,99191.863,100924.519,99149.304,97145.625,94202.309,87919.38,83627.869,84082.433,82536.58,78618.846,72984.993,67882.343,70851.364,70525.908,63373.623,52077.775
NSLP,ACTEWAGL,04/01/2006,27/04/2006 22:01,45978.971,42202.943,40208.992,38994.972,37914.115,37066.008,37218.858,37041.087,37731.12,37987.518,42048.528,49572.051,56894.355,61995.503,65750.22,67567.921,69063.922,69965.812,72499.897,73658.473,77387.653,79476.286,77394.01,75921.55,77145.551,75193.558,74084.427,73989.751,74305.846,75617.61,77592.927,78698.973,79202.785,81381.824,81194.194,81339.536,78652.214,74516.421,73497.403,75112.197,72742.918,70362.918,66368.355,61823.76,66496.117,67637.849,60471.326,49817.84
NSLP,ACTEWAGL,05/01/2006,27/04/2006 22:01,43403.444,39717.141,37759.334,36571.027,36108.501,35272.052,35220.198,35565.864,36456.713,37216.952,41757.991,49383.044,56489.88,62397.928,65963.597,67944.196,69576.97,69323.736,72777.144,73291.833,77180.255,78784.764,76307.728,74446.926,74747.917,72174.468,70161.164,68798.559,68208.537,67991.104,68015.184,69487.611,71910.327,75501.334,77176.558,77609.229,76690.367,75020.6,73513.313,74339.461,70621.135,67378.767,64184.084,59937.173,64686.131,66108.233,60167.445,49652.499
NSLP,ACTEWAGL,06/01/2006,27/04/2006 22:01,43413.888,39616.861,37247.215,36212.425,35177.012,35057.221,35461.113,35230.568,36227.335,37074.939,40897.981,49181.684,56584.249,62711.92,65520.008,67531.842,69853.466,70412.055,73873.054,75148.702,79883.248,82666.35,80992.543,80846.539,81981.601,79478.835,77509.193,76281.753,76548.828,75123.902,73964.234,75195.641,76004.041,75012.682,75229.102,73331.097,71505.011,70304.071,69394.5,71426.079,69539.556,66316.141,64317.005,61820.882,67285.697,68390.396,61846.984,51459.738
NSLP,ACTEWAGL,07/01/2006,27/04/2006 22:01,44571.554,40828.01,38487.638,37409.296,36031.171,35150.469,34943.761,35124.398,35593.602,34670.815,36279.047,40539.603,44071.731,48140.907,53134.634,59013.948,64484.726,67550.326,71886.009,72774.407,76667.755,77904.695,75424.725,74044.847,73810.623,71060.221,69036.628,68451.034,68256.409,69249.003,70028.806,71517.682,72759.389,75013.18,76003.916,75428.866,73019.115,70608.13,69506.542,71069.742,69787.245,68174.179,65547.35,62700.167,68359.377,70553.769,64089.784,53220.39
NSLP,ACTEWAGL,08/01/2006,03/05/2006 22:01,46564.759,42540.763,39958.543,38090.435,37094.513,36617.026,36287.012,35795.937,35983.183,34363.155,34571.044,38912.329,41236.983,44138.536,48649.847,53920.278,58899.789,62502.471,68798.147,70868.662,75073.517,78011.106,77283.501,76625.349,77385.802,76338.95,75368.84,76512.674,77147.568,78798.857,80038.473,81614.889,84483.696,87789.381,89300.359,89346.987,86713.296,82636.56,80257.294,82803.495,80946.889,77433.545,72482.665,67377.137,70552.712,70437.315,63645.557,52484.56
NSLP,ACTEWAGL,09/01/2006,03/05/2006 22:01,45404.281,41719.151,39547.856,37709.735,37156.579,36532.258,36039.136,36098.106,37491.489,37777.759,42452.997,53411.384,62654.914,68622.607,70314.902,71955.379,74440.803,74965.381,79110.538,81286.008,86144.126,90340.446,88906.169,88928.054,91243.644,90963.194,91199.238,92496.155,95238.796,97619.835,99928.069,103016.741,105086.886,108481.201,108638.867,107969.179,104843.298,100381.179,95861.403,95921.066,94658.497,89752.681,83028.899,75518.856,76493.766,75344.267,66644.075,56012.013
NSLP,ACTEWAGL,10/01/2006,03/05/2006 22:01,48905.762,44915.975,42844.171,41539.93,40223.859,39416.663,39486.494,39494.663,40090.346,40378.437,44920.053,55797.245,65041.488,71060.674,74719.807,76566.331,80372.517,82537.049,87322.251,91174.073,96530.282,101372.983,101920.297,103117.528,106934.718,106962.178,108039.101,109655.779,111576.083,113855.527,116074.142,119777.567,121173.723,123907.441,124071.752,123799.765,120254.085,116931.956,113690.66,114372.878,112073.098,107734.073,100275.888,90040.086,90001.161,86690.793,76486.314,64758.021
