Training,Testing
0.065567,0.086928
0.06549,0.083271
0.065324,0.083829
0.06596,0.084816
0.065225,0.085613
0.065227,0.084841
0.06566,0.084451
0.065635,0.082497
0.065589,0.083333
0.065229,0.085608
0.065129,0.084088
0.065968,0.084901
0.066083,0.085503
0.065398,0.084454
0.065751,0.08568
0.065587,0.084662
0.065188,0.086208
0.065782,0.086252
0.06568,0.083798
0.065479,0.084374
0.065803,0.083565
0.065381,0.085141
0.065353,0.083292
0.065445,0.084315
0.065385,0.083562
0.065381,0.083556
0.065293,0.084304
0.066027,0.084765
0.065254,0.084976
0.065586,0.081703
0.065704,0.085611
0.065826,0.083956
0.065976,0.084587
0.065593,0.084131
0.065749,0.083726
0.065745,0.084535
0.065433,0.086115
0.065449,0.085093
0.066207,0.085614
0.065224,0.084225
0.065477,0.085308
0.065649,0.082322
0.065723,0.084606
0.065863,0.084725
0.065615,0.083975
0.065882,0.085096
0.065412,0.083901
0.065353,0.083835
0.06538,0.084043
0.065635,0.082574
0.065366,0.084868
0.065748,0.085392
0.065598,0.085433
0.065824,0.083989
0.065186,0.084092
0.065573,0.083203
0.065537,0.085102
0.065644,0.085777
0.065376,0.084723
0.06559,0.084047
0.065559,0.083503
0.065452,0.083381
0.065216,0.083483
0.065544,0.082088
0.065692,0.084237
0.065495,0.084708
0.065542,0.083931
0.065646,0.084044
0.066135,0.084562
0.065358,0.085014
0.065583,0.08421
0.06562,0.083668
0.065528,0.083588
0.065917,0.088393
0.06556,0.085757
0.065864,0.084307
0.065295,0.08492
0.065981,0.083701
0.065044,0.083808
0.065724,0.08515
0.065964,0.08469
0.065782,0.083155
0.065588,0.085324
0.065394,0.085334
0.065521,0.084018
0.065803,0.084441
0.065785,0.084042
0.065866,0.084007
0.065167,0.085534
0.065606,0.084736
0.065504,0.083325
0.066009,0.086129
0.065517,0.084147
0.065472,0.085749
0.065603,0.085022
0.065205,0.084992
0.065499,0.084921
0.065846,0.083248
0.065989,0.085128
0.065574,0.082882
0.065135,0.083285
0.065624,0.083127
0.065485,0.084885
