Training,Testing
0.062617,0.081943
0.06282,0.084111
0.06293,0.082846
0.063056,0.081707
0.062754,0.081573
0.062428,0.082175
0.062247,0.081414
0.062749,0.085339
0.062905,0.082148
0.06308,0.082139
0.062775,0.08211
0.062814,0.083683
0.063229,0.080513
0.062682,0.084297
0.062966,0.081005
0.062642,0.084101
0.062741,0.081475
0.063058,0.082449
0.062667,0.080924
0.062981,0.083057
0.062713,0.080291
0.06286,0.082566
0.062607,0.080579
0.062883,0.082449
0.062785,0.083123
0.062797,0.08069
0.062623,0.081545
0.062801,0.081854
0.062566,0.081482
0.062874,0.081525
0.062885,0.082026
0.062425,0.083495
0.062913,0.080734
0.062907,0.083784
0.062302,0.082224
0.062731,0.081597
0.062541,0.080079
0.063152,0.080949
0.063022,0.082609
0.062749,0.082278
0.063082,0.083928
0.063107,0.083941
0.062908,0.080151
0.0628,0.081982
0.063033,0.082563
0.06265,0.080451
0.063084,0.081167
0.06252,0.082672
0.063318,0.08251
0.062805,0.080495
0.062859,0.081347
0.062225,0.081878
0.062534,0.081698
0.062998,0.082238
0.063564,0.081571
0.062748,0.080325
0.062387,0.082797
0.062498,0.082764
0.062842,0.083947
0.063019,0.080647
0.063214,0.081905
0.062605,0.082769
0.06264,0.081522
0.062796,0.08219
0.062696,0.082178
0.062607,0.082401
0.062789,0.081618
0.062716,0.081552
0.063251,0.080802
0.062819,0.081446
0.063076,0.080597
0.063081,0.083709
0.062866,0.083074
0.062642,0.083087
0.062908,0.080751
0.062981,0.081713
0.063212,0.081989
0.062802,0.082268
0.062943,0.082245
0.06238,0.081063
0.062269,0.080956
0.063147,0.083063
0.062521,0.081915
0.062844,0.081189
0.06296,0.081292
0.062827,0.082795
0.063291,0.082234
0.062766,0.082295
0.063037,0.081374
0.062872,0.081793
0.062978,0.082574
0.06308,0.08176
0.062834,0.08218
0.062919,0.08202
0.062916,0.081267
0.063162,0.082554
0.062899,0.082765
0.062525,0.082874
0.063042,0.081653
0.062473,0.081349
0.063023,0.081283
0.063046,0.081799
0.063108,0.082973
0.062708,0.082224
0.063159,0.082008
0.06242,0.083653
0.062796,0.08222
0.062743,0.080765
0.062697,0.081266
0.062551,0.083164
0.06213,0.081315
0.062971,0.081726
0.062568,0.079764
0.062889,0.083746
0.062915,0.083374
0.062397,0.080496
0.062789,0.081986
0.062487,0.083223
0.062908,0.081476
0.063162,0.083241
0.06287,0.080756
0.062799,0.083183
0.06296,0.082612
0.062608,0.080815
0.062509,0.080062
0.063056,0.081789
0.063043,0.082065
0.06253,0.080306
0.06268,0.084001
0.062556,0.081311
0.062314,0.08122
0.062876,0.08156
0.062261,0.085222
0.062442,0.082314
0.063025,0.081107
0.062648,0.081432
0.062803,0.083169
0.062741,0.080371
0.063005,0.08177
0.062823,0.080741
0.062248,0.080587
0.062741,0.083709
0.062698,0.083551
0.062561,0.081635
0.062337,0.081627
0.063219,0.082571
0.062706,0.082994
0.06271,0.081903
0.063018,0.081032
0.062661,0.081757
0.062556,0.081334
0.063004,0.079879
0.062839,0.081845
0.062642,0.081988
0.062787,0.08103
0.062834,0.080932
0.063158,0.082096
0.06298,0.079909
0.062952,0.081941
0.062776,0.080351
0.062766,0.082978
0.063032,0.081861
0.063011,0.082794
0.062579,0.082403
0.062479,0.082263
0.062626,0.082477
0.063027,0.082468
0.062656,0.080164
0.062983,0.082305
0.062458,0.081647
0.063061,0.080977
0.062854,0.08183
0.062587,0.083583
0.062507,0.082015
0.063206,0.083615
0.062618,0.081736
0.06306,0.081868
0.062729,0.082188
0.062867,0.081162
0.062855,0.081687
0.062851,0.081839
0.062864,0.082209
0.062495,0.081564
0.062481,0.080154
0.062063,0.080466
0.062678,0.081454
0.062829,0.081598
0.062649,0.082129
0.062806,0.081734
0.063028,0.081296
0.062629,0.082201
0.062839,0.082955
0.06272,0.080953
0.062361,0.083136
0.063034,0.080717
0.062985,0.081712
0.062976,0.082275
0.062915,0.083448
0.062874,0.08275
0.063111,0.081417
0.062635,0.080994
0.062044,0.083386
0.06295,0.082508
0.062599,0.081023
0.063182,0.081943
0.062693,0.081624
0.062992,0.083615
0.062609,0.082961
0.062523,0.082073
0.062972,0.082768
0.062766,0.082882
0.063129,0.08261
0.063074,0.082018
0.062704,0.082011
0.062394,0.082882
0.062614,0.081848
0.063274,0.084042
0.062856,0.082191
0.06218,0.079629
0.062819,0.080825
0.062979,0.082595
0.062819,0.0821
0.063077,0.082421
0.062527,0.082148
0.06275,0.08333
0.062637,0.082297
0.06275,0.082208
0.062721,0.082412
0.062995,0.079732
0.062896,0.08188
0.062768,0.081728
0.062653,0.08254
0.06297,0.081583
0.062758,0.080813
0.062905,0.082778
0.063078,0.083283
0.062426,0.082513
0.062994,0.0823
0.062755,0.081747
0.062807,0.081523
0.062904,0.083157
0.062255,0.080975
0.06305,0.082501
0.063063,0.081135
0.062709,0.081446
0.06266,0.081527
0.062867,0.081475
0.062532,0.082301
0.06288,0.082642
0.062637,0.082228
0.062865,0.081909
0.062372,0.083078
0.062441,0.081377
0.062487,0.081407
0.063149,0.082456
0.063083,0.083435
0.062638,0.082606
0.062475,0.08398
0.063116,0.083387
0.062569,0.082582
0.062436,0.081212
0.063353,0.080946
0.063001,0.081192
0.062718,0.080575
0.06257,0.081488
0.062593,0.083841
0.06278,0.083058
0.062846,0.084663
0.063094,0.082466
0.063052,0.08065
0.063088,0.081276
0.063146,0.082485
0.062861,0.083481
0.063141,0.081438
0.062537,0.08436
0.062701,0.081516
0.062571,0.081057
0.062693,0.081053
0.062764,0.080358
0.063173,0.083305
0.062959,0.082008
0.062605,0.082727
0.062924,0.082507
0.062587,0.081343
0.062819,0.081255
0.062752,0.082805
0.062943,0.080396
0.06271,0.081693
0.06221,0.081918
0.06338,0.080483
0.062819,0.080575
0.062732,0.08085
0.06257,0.081587
0.062472,0.083505
0.063012,0.082361
0.06244,0.082387
0.062793,0.081033
0.062776,0.081249
0.063007,0.082668
0.062514,0.082008
0.06251,0.080898
0.062476,0.081641
0.06247,0.082821
0.062697,0.080529
0.062755,0.080917
0.06287,0.083063
0.063122,0.082382
0.062844,0.081695
0.062329,0.07951
0.062412,0.079703
0.062574,0.079933
0.063071,0.081915
0.062913,0.081993
0.06317,0.081617
0.062857,0.084358
0.062753,0.083125
0.062846,0.082911
0.062796,0.081742
0.062442,0.083228
0.063051,0.081394
0.06283,0.081556
0.063205,0.08442
0.062995,0.080173
0.062881,0.082124
0.062846,0.083279
0.062928,0.083677
0.062958,0.084314
0.062868,0.082304
0.062592,0.08431
0.062688,0.083601
0.062299,0.081118
0.063347,0.08099
0.063262,0.083129
0.062651,0.082265
0.062985,0.082487
0.061986,0.079724
0.062736,0.083435
0.06276,0.08173
0.062691,0.081727
0.062298,0.081285
0.062653,0.082445
0.062689,0.080909
0.062873,0.082832
0.062675,0.082118
0.062831,0.081724
0.063065,0.080997
0.062765,0.080818
0.062577,0.081575
0.062359,0.084376
0.062319,0.082017
0.06253,0.082184
0.06268,0.081222
0.062651,0.083586
0.062598,0.081267
0.062321,0.080048
0.062881,0.083073
0.062601,0.081798
0.062729,0.081721
0.062376,0.082673
0.062808,0.080683
0.063012,0.083613
0.063029,0.080693
0.063171,0.081383
0.062969,0.085577
0.062603,0.082269
0.062361,0.081776
0.062573,0.080899
0.062714,0.083079
0.062936,0.082355
0.062931,0.082949
0.06263,0.08182
0.062583,0.082425
0.062609,0.080944
0.06294,0.084209
0.062478,0.081412
0.063188,0.082689
0.063075,0.081302
0.062603,0.082901
0.06272,0.081632
0.062693,0.079597
0.062692,0.08091
0.062404,0.080742
0.062882,0.081675
0.063082,0.083344
0.062922,0.082309
0.062747,0.080917
0.062275,0.082112
0.062934,0.081326
0.062683,0.081766
0.062892,0.081319
0.063028,0.082342
0.063027,0.084291
0.063105,0.081212
0.062726,0.081319
0.063012,0.080375
0.062573,0.081993
0.063099,0.081405
0.063318,0.083113
0.063043,0.080651
0.062164,0.082008
0.062674,0.081141
0.062887,0.083011
0.063049,0.082389
0.062615,0.083337
0.06241,0.081213
0.063305,0.082658
0.062631,0.081242
0.062692,0.081558
0.062779,0.081171
0.062963,0.080723
0.063235,0.082572
0.06276,0.081488
0.062852,0.081256
0.063035,0.082514
0.062397,0.082692
0.062223,0.082462
0.062555,0.081483
0.062579,0.080987
0.062766,0.082197
0.062722,0.07935
0.061989,0.081444
0.062745,0.08101
0.062442,0.080409
0.062444,0.083512
0.062611,0.082455
0.062875,0.08244
0.062531,0.082
0.062818,0.08241
0.062819,0.081591
0.062893,0.080779
0.062992,0.082014
0.062584,0.081971
0.062709,0.081122
0.062801,0.079834
0.062484,0.082215
0.062541,0.081052
0.063606,0.083312
0.06305,0.082178
0.062738,0.081805
0.062298,0.081671
0.063149,0.081616
0.062768,0.082874
0.063181,0.082871
0.062878,0.083907
0.062617,0.081814
0.062972,0.082705
0.062793,0.082184
0.062871,0.082561
0.062761,0.084014
0.062857,0.083586
0.06287,0.0803
0.062512,0.081695
0.062607,0.080335
0.062359,0.082336
0.06225,0.082049
0.063108,0.082148
0.062554,0.081757
0.062995,0.08115
0.062583,0.082598
0.06242,0.081416
0.062972,0.080608
0.063066,0.080943
0.06323,0.082157
0.063106,0.082594
0.062708,0.082259
0.062642,0.083946
0.062426,0.082225
0.062642,0.081796
0.062761,0.082161
0.062827,0.081146
0.062307,0.082073
0.062213,0.081652
0.063092,0.081598
0.062812,0.082033
0.062426,0.081121
0.062499,0.080379
0.062892,0.082684
0.06289,0.082229
0.063162,0.082743
0.063009,0.081214
0.062999,0.082384
0.062924,0.082439
0.062789,0.07979
0.062289,0.080782
0.062984,0.08208
0.0632,0.082354
0.062669,0.083579
0.062288,0.081086
0.062851,0.082441
0.062546,0.079972
0.062387,0.08128
0.062483,0.084623
0.062557,0.08126
0.062146,0.080758
0.062365,0.082954
0.062399,0.082063
0.062969,0.082118
0.062929,0.079535
0.062656,0.079856
0.062623,0.082612
0.062472,0.080432
0.062835,0.082886
0.062738,0.080431
0.063005,0.080527
0.062507,0.081063
0.062773,0.081619
0.062739,0.080728
0.062697,0.081826
0.062812,0.081235
0.062578,0.081511
0.06263,0.080983
0.062743,0.081036
0.063009,0.082193
0.062659,0.083068
0.063157,0.080283
0.062748,0.082285
0.062703,0.082663
0.062877,0.080445
0.062329,0.080975
0.06267,0.082682
0.062887,0.082154
0.063248,0.081771
0.062859,0.082694
0.06267,0.083211
0.062526,0.081575
0.063109,0.083468
0.062395,0.081238
0.062628,0.081613
0.063529,0.083138
0.0624,0.081081
0.062938,0.08436
0.062806,0.081835
0.062667,0.081997
0.06274,0.082734
0.062603,0.080461
0.063009,0.081428
0.062675,0.081695
0.062885,0.084042
0.062807,0.081179
0.062551,0.084593
0.062781,0.082664
0.062759,0.081441
0.062561,0.082479
0.062756,0.082221
0.063001,0.082992
0.06285,0.081983
0.063019,0.080943
0.062456,0.080781
0.062715,0.080059
0.062516,0.08035
0.062815,0.08075
0.062829,0.081219
0.062753,0.081974
0.062714,0.082202
0.062822,0.081994
0.062676,0.081479
0.063326,0.08219
0.06271,0.083693
