Training,Testing
0.074637,0.092799
0.074246,0.090025
0.074197,0.090282
0.074085,0.091964
0.074017,0.090573
0.074327,0.092736
0.074282,0.091604
0.074326,0.09326
0.074381,0.093515
0.074388,0.091093
0.07452,0.092787
0.074531,0.092483
0.074454,0.092687
0.074008,0.091077
0.074281,0.091809
0.073859,0.089504
0.074307,0.092392
0.074347,0.092099
0.07433,0.092413
0.07443,0.09224
0.074208,0.091668
0.074327,0.091593
0.074832,0.093015
0.074514,0.09175
0.074492,0.091488
0.074014,0.091169
0.074397,0.091199
0.074611,0.095144
0.074134,0.090638
0.074436,0.091594
0.074824,0.092956
0.074476,0.092638
0.074488,0.091152
0.074833,0.091734
0.074306,0.093026
0.074489,0.091643
0.074187,0.090456
0.074596,0.090757
0.074706,0.092268
0.074313,0.091796
0.074344,0.091752
0.07428,0.094095
0.074499,0.091128
0.074236,0.091962
0.074427,0.091983
0.074425,0.091496
0.074487,0.091854
0.074745,0.091093
0.07423,0.09177
0.074086,0.090811
0.074126,0.092199
0.074295,0.091923
0.074255,0.092079
0.074486,0.092564
0.074217,0.091802
0.074669,0.09104
0.074805,0.091759
0.074433,0.091344
0.074456,0.091697
0.074178,0.091404
0.074245,0.093064
0.074514,0.090991
0.074353,0.091406
0.074438,0.091133
0.074105,0.091377
0.074221,0.093145
0.074318,0.092872
0.075148,0.092239
0.074275,0.090838
0.074844,0.09117
0.074401,0.092474
0.074298,0.092984
0.073998,0.092522
0.074446,0.09263
0.074351,0.092344
0.074102,0.089433
0.074328,0.091456
0.074217,0.092269
0.074582,0.093613
0.074304,0.090122
0.074315,0.091341
0.074098,0.09093
0.074572,0.091231
0.074103,0.092286
0.074558,0.090796
0.074294,0.091592
0.07415,0.093162
0.074407,0.092444
0.074706,0.091085
0.073996,0.090595
0.074067,0.092454
0.074173,0.090969
0.074276,0.091787
0.074169,0.091562
0.074413,0.092117
0.074118,0.09107
0.074605,0.09244
0.073925,0.090616
0.074195,0.091969
0.0745,0.09217
0.074362,0.091007
0.074237,0.091563
0.074034,0.093273
0.074334,0.091386
0.074514,0.091831
0.074414,0.090207
0.074309,0.091337
0.074288,0.094856
0.074838,0.092669
0.074261,0.093107
0.074595,0.090346
0.074301,0.092025
0.074339,0.090577
0.074352,0.092611
0.074102,0.090111
0.074388,0.090582
0.074413,0.091233
