Training,Testing
0.065599,0.084732
0.065819,0.084885
0.065561,0.084801
0.065772,0.08384
0.065912,0.085241
0.065991,0.084494
0.065643,0.084249
0.065675,0.085175
0.065861,0.085273
0.065496,0.083961
0.065631,0.084268
0.065476,0.084639
0.065778,0.084643
0.065813,0.084809
0.065926,0.085651
0.065794,0.084881
0.066067,0.08513
0.065582,0.082999
0.065659,0.084634
0.065701,0.083803
0.066219,0.084977
0.066215,0.085083
0.065334,0.084447
0.065808,0.083327
0.065695,0.086046
0.065789,0.084755
0.065999,0.084559
0.065689,0.083737
0.06574,0.083231
0.065775,0.085104
0.065631,0.084635
0.065796,0.084882
0.065564,0.083535
0.065569,0.084365
0.065794,0.08509
0.065586,0.08392
0.065671,0.084747
0.065839,0.084599
0.065452,0.083932
0.065958,0.08442
0.065673,0.08415
0.066104,0.085232
0.065786,0.085264
0.06581,0.084001
0.065668,0.085118
0.065655,0.085447
0.065815,0.085409
0.065859,0.084984
0.06581,0.084669
0.065978,0.084318
0.065748,0.083366
0.06583,0.083895
0.065756,0.084078
0.066011,0.085206
0.065641,0.083743
0.065899,0.084154
0.066104,0.084371
0.065762,0.084803
0.066045,0.085252
0.065948,0.084711
0.066119,0.084679
0.065968,0.08544
0.066198,0.086919
0.065551,0.084272
0.065883,0.085209
0.065598,0.085909
0.065707,0.084227
0.065746,0.083925
0.066,0.085009
0.065726,0.085305
0.066007,0.084713
0.065522,0.083712
0.066077,0.085595
0.06581,0.083538
0.065921,0.08395
0.06585,0.085268
0.066012,0.085367
0.065817,0.084375
0.065726,0.084144
0.065894,0.084655
0.066272,0.084143
0.066282,0.085522
0.065855,0.083537
0.065466,0.084282
0.065811,0.083125
0.065616,0.0844
0.065684,0.085571
0.065652,0.084437
0.065537,0.085081
0.066171,0.086562
0.06596,0.08447
0.065516,0.084111
0.065436,0.084024
0.065989,0.086406
0.065877,0.084515
0.065558,0.084499
0.065691,0.084696
0.065572,0.083814
0.066047,0.084843
0.065362,0.084139
0.066098,0.08464
0.065707,0.084515
0.065875,0.085497
0.065648,0.084914
0.065599,0.084364
0.065944,0.083655
0.06564,0.084044
0.065863,0.084773
0.065873,0.085003
0.065678,0.085419
0.065224,0.083697
0.065797,0.085332
0.065728,0.082887
0.065907,0.084766
0.065771,0.085013
0.065594,0.084182
0.065844,0.084226
0.065812,0.083325
0.066157,0.08649
0.066057,0.083997
0.066001,0.085751
0.065711,0.085912
0.06606,0.085333
0.065841,0.085597
0.065722,0.086262
0.066163,0.085603
0.065964,0.084616
0.065628,0.083395
0.066106,0.085278
0.065551,0.085455
0.066086,0.085648
0.065663,0.083942
0.06561,0.084499
0.065683,0.084568
0.06599,0.084313
0.065316,0.084033
0.065681,0.085518
0.065826,0.085511
0.065817,0.085252
0.065917,0.084475
0.065615,0.084196
0.065642,0.084859
0.065669,0.08556
0.065729,0.083736
0.065868,0.084673
0.066017,0.084612
0.066285,0.086326
0.065929,0.085296
0.066084,0.084845
0.066348,0.08627
0.066078,0.084315
0.065602,0.085164
0.065887,0.084552
0.066072,0.085832
0.06592,0.0852
0.065651,0.085121
0.066008,0.0848
0.065724,0.085137
0.065657,0.084359
0.065896,0.084573
0.065789,0.085089
0.066026,0.084392
0.065815,0.085005
0.066063,0.085377
0.066051,0.084617
0.06552,0.084048
0.06584,0.08393
0.065875,0.08435
0.065676,0.08565
0.065474,0.084126
0.066211,0.084478
0.066138,0.085465
0.065954,0.08507
0.066041,0.084524
0.065673,0.084812
0.065931,0.084863
0.065983,0.085739
0.06562,0.084947
0.065853,0.084997
0.066051,0.085231
0.065893,0.08558
0.065694,0.084844
0.065884,0.085154
0.065874,0.084315
0.065886,0.08459
0.065647,0.084873
0.065871,0.084436
0.066004,0.08457
0.065675,0.084026
0.065629,0.084155
0.06543,0.084958
0.066052,0.084926
0.065606,0.086178
0.065773,0.083078
0.065722,0.085754
0.065705,0.083919
0.065554,0.084049
0.065845,0.084858
0.065568,0.084488
0.066122,0.08416
0.065538,0.083774
0.065886,0.085964
0.065811,0.084433
0.065725,0.084955
0.065621,0.084705
0.065523,0.085085
0.065953,0.08601
0.065722,0.084972
0.066074,0.08497
0.065934,0.084513
0.065638,0.086692
0.065634,0.084258
0.065942,0.085314
0.065776,0.084817
0.065842,0.085423
0.065913,0.085245
0.065758,0.083647
0.065816,0.085218
0.065908,0.084747
0.066079,0.084464
0.065761,0.084783
0.066059,0.085204
0.065596,0.085548
0.065525,0.084683
0.065821,0.086462
0.065852,0.084007
0.065544,0.08471
0.065941,0.085035
0.065808,0.0852
0.066107,0.084863
0.065509,0.08477
0.065897,0.085377
0.065799,0.084783
0.065494,0.084588
0.065367,0.08573
0.065844,0.085065
0.065769,0.084171
0.06583,0.085323
0.065759,0.085498
0.065277,0.084283
0.065595,0.084608
0.065986,0.084979
0.0658,0.085421
0.065892,0.085474
0.065982,0.085559
0.065884,0.085552
0.065714,0.085131
0.065626,0.085041
0.065664,0.085189
0.066046,0.084907
0.065746,0.084785
0.066054,0.085284
0.065235,0.084895
0.065799,0.084369
0.066137,0.084706
0.065819,0.082515
0.065409,0.083946
0.065675,0.083873
0.065872,0.085344
0.065943,0.084403
0.065592,0.084081
0.065867,0.083849
0.066278,0.085875
0.066029,0.084613
0.066112,0.084555
0.065916,0.084093
0.065345,0.083928
0.065684,0.086012
0.066244,0.084357
0.06585,0.084307
0.065962,0.086248
0.065765,0.084783
0.06531,0.085066
0.065912,0.083309
0.065876,0.084683
0.066366,0.085507
0.065872,0.085052
0.066052,0.084515
0.066182,0.086088
0.065834,0.08297
0.066134,0.085321
0.065998,0.083989
0.065828,0.084239
0.065837,0.085364
0.066137,0.084706
0.066021,0.085112
0.065601,0.084298
0.06605,0.085535
0.066168,0.08488
0.065881,0.08339
0.065889,0.084138
0.065861,0.085655
0.066044,0.085108
0.066048,0.085445
0.065633,0.085129
0.065609,0.084939
0.06614,0.084771
0.065582,0.084314
0.066018,0.084609
0.065556,0.083793
0.065885,0.084473
0.065681,0.085122
0.065838,0.084966
0.065638,0.085281
0.065601,0.084122
0.065799,0.084478
0.066281,0.083563
0.065966,0.084807
0.066139,0.085451
0.065975,0.086132
0.065888,0.084061
0.065717,0.083862
0.065776,0.084728
0.065633,0.084603
0.065921,0.085067
0.06593,0.084134
0.065513,0.083946
0.065666,0.083758
0.065387,0.084619
0.065683,0.085264
0.065504,0.085599
0.065929,0.084149
0.065884,0.084509
0.066055,0.085278
0.065494,0.084964
0.066039,0.084025
0.065751,0.083529
0.066186,0.084714
0.065866,0.084439
0.065618,0.084531
0.066059,0.084048
0.065403,0.083608
0.065782,0.083983
0.065987,0.085465
0.066113,0.084795
0.065741,0.085124
0.065727,0.084543
0.065295,0.085073
0.06583,0.085035
0.065962,0.0861
0.065679,0.084119
0.066062,0.087301
0.065851,0.083969
0.06579,0.085133
0.065903,0.084848
0.065929,0.08375
0.066007,0.085256
0.06612,0.085711
0.065797,0.085153
0.065675,0.084256
0.065805,0.08479
0.066067,0.084156
0.065984,0.084006
0.065772,0.084721
0.06577,0.084451
0.065957,0.083856
0.06579,0.084723
0.065703,0.084522
0.065559,0.085014
0.065728,0.084994
0.065571,0.083952
0.066081,0.08397
0.065813,0.084432
0.065492,0.084889
0.065842,0.084556
0.065663,0.084555
0.06597,0.085226
0.065736,0.084692
0.065783,0.083591
0.065551,0.084158
0.065999,0.084893
0.065948,0.08478
0.066059,0.084289
0.065726,0.08478
0.065947,0.085601
0.065939,0.085248
0.065592,0.083713
0.065831,0.084323
0.066073,0.085889
0.066333,0.08489
0.065933,0.084203
0.065809,0.084201
0.065675,0.083883
0.065428,0.084854
0.066035,0.08452
0.065766,0.08569
0.066122,0.084376
0.065863,0.086341
0.065714,0.084241
0.065971,0.084382
0.065606,0.084884
0.065787,0.08458
0.065666,0.08561
0.066027,0.085209
0.06596,0.085179
0.065788,0.084252
0.065612,0.085347
0.065385,0.083822
0.065722,0.083595
0.065768,0.084507
0.065874,0.084851
0.065723,0.084021
0.06581,0.084263
0.065625,0.084527
0.065585,0.085709
0.065321,0.084851
0.066059,0.085239
0.065832,0.084233
0.065862,0.084308
0.065866,0.086248
0.065967,0.085342
0.066215,0.084023
0.065901,0.084411
0.065856,0.085545
0.065637,0.083238
0.065784,0.083484
0.065953,0.08441
0.065823,0.084424
0.066099,0.085317
0.065975,0.084342
0.066111,0.086164
0.065961,0.084941
0.065821,0.086217
0.066124,0.084579
0.066226,0.086154
0.066088,0.085824
0.065729,0.084482
0.065785,0.084532
0.065989,0.084797
0.06615,0.085692
0.065954,0.08522
0.065848,0.084802
0.065927,0.085354
0.066169,0.085521
0.066088,0.084649
0.065551,0.08529
0.065763,0.085139
0.065801,0.086221
0.065841,0.08471
0.065846,0.086011
0.065788,0.085728
0.065807,0.084387
0.065777,0.085135
0.065799,0.083601
0.065836,0.08438
0.066073,0.083437
0.065845,0.08424
0.065849,0.085354
0.065891,0.083805
