Training,Testing
0.14304,0.16051
0.14319,0.16025
0.14286,0.16054
0.14284,0.16063
0.14303,0.16046
0.14335,0.16074
0.14298,0.1608
0.14287,0.16068
0.14304,0.16057
0.1429,0.16037
0.14295,0.16058
0.14314,0.1606
0.14291,0.16023
0.1431,0.16044
0.14309,0.16013
0.14309,0.1606
0.14316,0.16053
0.14314,0.16028
0.14299,0.16045
0.14293,0.16022
0.14305,0.16052
0.14332,0.16041
0.14311,0.16011
0.14305,0.16035
0.14315,0.16066
0.14317,0.16056
0.14309,0.1606
0.14281,0.16029
0.143,0.16045
0.14321,0.16069
0.14315,0.16026
0.14313,0.16036
0.14311,0.16069
0.14313,0.16054
0.14325,0.1605
0.14292,0.16025
0.14323,0.16025
0.14308,0.16027
0.14299,0.16029
0.1429,0.1606
0.14314,0.16041
0.14336,0.1607
0.14305,0.16014
0.14303,0.16057
0.14311,0.16055
0.14303,0.1605
0.14305,0.16059
0.14299,0.16072
0.14299,0.16068
0.14319,0.16024
0.14308,0.16048
0.14293,0.16054
0.14308,0.16044
0.14282,0.16056
0.14308,0.16059
0.14316,0.16063
0.14322,0.16052
0.14287,0.16034
0.14307,0.16041
0.14307,0.16036
0.14322,0.16041
0.14333,0.1606
0.14296,0.16043
0.14289,0.16045
0.14321,0.16046
0.14298,0.16032
0.14272,0.1605
0.14291,0.16069
0.14298,0.1604
0.14331,0.16067
0.14306,0.16035
0.14283,0.16057
0.14295,0.16036
0.14314,0.16066
0.14274,0.16035
0.14322,0.16124
0.14301,0.16065
0.14313,0.16035
0.14312,0.1607
0.14275,0.16068
0.14302,0.16092
0.14295,0.16088
0.14277,0.16049
0.1436,0.16064
0.14285,0.16002
0.14308,0.1605
0.14311,0.16068
0.14287,0.16092
0.14307,0.16044
0.14331,0.16057
0.14307,0.16047
0.14311,0.16042
0.14287,0.1608
0.14291,0.16036
0.14302,0.16008
0.1433,0.16081
0.14287,0.16012
0.14296,0.16057
0.14307,0.16035
0.14324,0.16021
0.14296,0.16045
0.14304,0.16071
0.14333,0.16047
0.14317,0.16047
0.14302,0.16033
0.14319,0.16065
0.14288,0.16024
0.14331,0.16008
0.14298,0.16056
0.1432,0.16025
0.14294,0.16043
0.14284,0.16045
0.14308,0.16107
0.14301,0.16038
0.14313,0.16069
0.14315,0.16056
0.14299,0.16029
0.1429,0.16038
0.14295,0.16046
0.14303,0.16003
0.14264,0.16084
0.14308,0.16054
0.14301,0.16028
0.14307,0.16019
0.14287,0.16043
0.14316,0.16037
0.14291,0.16017
0.14304,0.16042
0.14297,0.16069
0.14318,0.1606
0.14308,0.16009
0.14326,0.16042
0.14284,0.16073
0.14301,0.16038
0.14298,0.16031
0.14301,0.16056
0.14304,0.16049
0.14299,0.16048
0.14286,0.16066
0.14291,0.16037
0.14358,0.16071
0.14315,0.16076
0.14302,0.1604
0.14331,0.16039
0.14321,0.16075
0.14315,0.16041
0.14316,0.16034
0.14316,0.16021
0.14292,0.16057
0.14328,0.16043
0.14315,0.16011
0.14311,0.16025
0.14315,0.16017
0.14287,0.16051
0.14317,0.16045
0.14306,0.16031
0.143,0.16059
0.14289,0.16039
0.14311,0.16066
0.14316,0.16043
0.14309,0.16064
0.14332,0.16038
0.14292,0.16062
0.1431,0.16051
0.14299,0.16012
0.14296,0.16052
