Training,Testing
0.068432,0.085462
0.068289,0.084422
0.068621,0.084336
0.069089,0.085498
0.068255,0.084791
0.068472,0.084791
0.068451,0.08382
0.068519,0.084482
0.068537,0.084046
0.068543,0.083974
0.068415,0.085057
0.069096,0.085803
0.067951,0.084085
0.069021,0.085405
0.068326,0.084611
0.069126,0.086148
0.068693,0.085765
0.068759,0.086053
0.06861,0.085573
0.069021,0.085456
0.068388,0.084037
0.069376,0.086251
0.06853,0.083782
0.068432,0.084511
0.067825,0.083119
0.069003,0.084375
0.069416,0.08552
0.06917,0.085114
0.068391,0.083493
0.068927,0.085125
0.068508,0.083416
0.069043,0.084669
0.068126,0.085174
0.068761,0.084409
0.068933,0.08498
0.068524,0.084679
0.067731,0.084754
0.06823,0.083623
0.068399,0.084899
0.068389,0.083657
0.068157,0.084748
0.068989,0.085572
0.068489,0.084658
0.068168,0.083256
0.068325,0.084462
0.068293,0.085275
0.06885,0.085178
0.069242,0.085081
0.06894,0.08522
0.068625,0.085428
0.068396,0.085553
0.069479,0.086245
0.069134,0.085611
0.069146,0.08465
0.068136,0.084359
0.068978,0.085469
0.068489,0.084317
0.068677,0.08524
0.068771,0.08419
0.069366,0.086123
0.068712,0.085435
0.068744,0.085454
0.06885,0.084938
0.068593,0.085172
0.068792,0.085856
0.069329,0.085753
0.068945,0.08538
0.068194,0.08363
0.068341,0.084226
0.069194,0.085411
0.069106,0.085433
0.069632,0.085393
0.068878,0.085261
0.069375,0.085512
0.068712,0.085413
0.069274,0.084456
0.068343,0.084463
0.069064,0.084945
0.067591,0.084635
0.068536,0.085273
0.068341,0.083341
0.068904,0.084036
0.068975,0.085019
0.068232,0.083471
0.067731,0.083494
0.068503,0.084321
0.068944,0.08477
0.068858,0.084484
0.068602,0.084893
0.067838,0.083239
0.068271,0.084864
0.068526,0.08429
0.069191,0.084715
0.06863,0.084884
0.068202,0.08464
0.068185,0.084162
0.069071,0.086421
0.068593,0.084237
0.069221,0.085082
0.068434,0.083408
0.069477,0.085419
0.069172,0.084968
0.068651,0.084193
0.068405,0.085489
0.068835,0.084962
0.068729,0.084652
0.069568,0.085858
0.069017,0.084867
0.069074,0.084672
0.068103,0.083623
0.068767,0.083897
0.068906,0.084505
0.068515,0.083635
0.068603,0.085149
0.069015,0.08575
0.068146,0.083982
0.068279,0.084411
0.067992,0.084101
0.067772,0.08428
0.068843,0.083527
0.068537,0.084042
0.068302,0.083464
0.068704,0.084994
0.069135,0.085162
0.068501,0.084604
0.068781,0.083265
0.069003,0.085774
0.068745,0.085652
0.068624,0.08468
0.068865,0.08488
0.068394,0.085007
0.068299,0.083774
0.068062,0.084079
0.068695,0.084555
0.069389,0.086647
0.06941,0.084733
0.068571,0.085149
0.068807,0.085142
0.068634,0.084931
0.067817,0.083737
0.068987,0.085333
0.068238,0.083558
0.068717,0.085289
0.068322,0.084174
0.06896,0.084793
0.067882,0.083255
0.069058,0.085514
0.06767,0.084029
0.068541,0.083429
0.068193,0.084244
0.068518,0.084844
0.068572,0.084512
0.068858,0.085334
0.068684,0.085185
0.068567,0.085078
0.068805,0.08509
0.068533,0.083996
0.068893,0.084835
0.068172,0.084981
0.06874,0.08617
0.068789,0.084885
0.068445,0.084316
0.06862,0.084527
0.068617,0.085777
0.068571,0.084997
0.068666,0.083895
0.068408,0.083616
0.068817,0.084181
0.068997,0.085584
0.06825,0.084528
0.068652,0.084324
0.068097,0.084866
0.069321,0.085565
0.068003,0.083357
0.069007,0.084208
0.068588,0.084669
0.069186,0.08575
0.068625,0.084436
0.068916,0.085539
0.068432,0.084156
0.067984,0.083056
0.068409,0.084533
0.069233,0.085858
0.06876,0.08545
0.068552,0.08386
0.069093,0.085535
0.068777,0.084677
0.068196,0.085077
0.068441,0.084167
0.068523,0.085164
0.068973,0.085983
0.068679,0.085654
0.068743,0.085465
0.067593,0.083198
0.068349,0.084406
0.068001,0.084045
0.068698,0.085865
0.06829,0.084022
0.068371,0.083691
0.068847,0.085418
0.06929,0.085942
0.069167,0.085789
0.068594,0.084378
0.068759,0.084134
0.068555,0.085047
0.068702,0.084438
0.068118,0.084244
0.068578,0.08413
0.068764,0.085861
0.069277,0.085491
0.068537,0.084299
0.06852,0.083442
0.068873,0.084907
0.068708,0.086187
0.068951,0.084805
0.067828,0.083348
0.068131,0.084786
0.068134,0.086668
0.068607,0.085936
0.069252,0.083987
0.068684,0.085426
0.068517,0.084693
0.068264,0.084994
0.069067,0.085228
0.068763,0.084894
0.068844,0.085831
0.068464,0.085237
0.068658,0.085022
0.069048,0.085674
0.068576,0.085654
0.06932,0.085933
0.069068,0.086713
0.069117,0.086032
0.068622,0.084004
0.068705,0.084691
0.068624,0.084954
0.068327,0.084609
0.068935,0.084575
0.069049,0.084401
0.068956,0.085315
0.068793,0.085913
0.068701,0.084405
0.068755,0.08573
0.069168,0.084966
0.068321,0.084185
0.068937,0.085064
0.068395,0.084273
0.068873,0.084131
0.06909,0.085787
0.068789,0.085799
0.068803,0.085029
0.068947,0.084461
0.068443,0.086067
0.068984,0.085745
0.068872,0.085395
0.069093,0.084724
0.068803,0.08444
0.068607,0.083287
0.068636,0.083486
0.069534,0.086353
0.069302,0.084151
0.069257,0.086373
0.068609,0.084608
0.068289,0.085071
0.068796,0.084945
0.068894,0.084645
0.068618,0.085541
0.067952,0.085107
0.068412,0.083756
0.069104,0.086077
0.068581,0.085825
0.068432,0.083683
0.068468,0.083995
0.06906,0.084845
0.06839,0.084186
0.06867,0.085278
0.068631,0.085108
0.069039,0.086016
0.067925,0.083774
0.068915,0.085754
0.068315,0.083898
0.069166,0.085493
0.068402,0.084403
0.068777,0.085385
0.068356,0.083887
0.068435,0.084775
0.068381,0.084417
0.067899,0.083731
0.06859,0.083569
0.068028,0.083122
0.068273,0.084164
0.068795,0.084989
0.068234,0.08561
0.068441,0.08353
0.068312,0.084691
0.069251,0.086412
0.06898,0.083738
0.068858,0.085248
0.068493,0.083713
0.068612,0.085077
0.068648,0.084387
0.06813,0.084285
0.068833,0.085104
0.068542,0.084848
0.068953,0.085058
0.069253,0.085997
0.068416,0.084518
0.068695,0.084213
0.068905,0.084076
0.068885,0.084484
0.068355,0.084129
0.068572,0.084894
0.068678,0.085398
0.068804,0.085379
0.067895,0.082939
0.068662,0.084652
0.069098,0.08543
0.068494,0.084883
0.069092,0.084235
0.069418,0.08592
0.068583,0.08626
0.06869,0.085369
0.068837,0.085689
0.068756,0.085348
0.068325,0.08353
0.069524,0.08572
0.069083,0.084947
0.068512,0.084202
0.068443,0.085233
0.068291,0.084547
0.068327,0.085293
0.068165,0.084145
0.068211,0.083908
0.068554,0.084131
0.068402,0.084145
0.068777,0.084439
0.068388,0.085147
0.068683,0.084733
0.068526,0.084159
0.068864,0.084165
0.068759,0.085325
0.068662,0.084139
0.068282,0.08322
0.068245,0.083897
0.06892,0.084114
0.069266,0.08758
0.068585,0.084426
0.068838,0.085325
0.068542,0.084311
0.068465,0.086059
0.068966,0.084857
0.068249,0.083994
0.068718,0.085031
0.068314,0.083619
0.068942,0.085067
0.069567,0.085388
0.069333,0.085052
0.068498,0.08479
0.069232,0.084244
0.068927,0.084541
0.068544,0.084529
0.06827,0.083564
0.068316,0.084055
0.068703,0.084145
0.068365,0.084231
0.067676,0.084014
0.068177,0.084854
0.068171,0.084617
0.068531,0.085756
0.068676,0.085488
0.068382,0.08456
0.06893,0.085206
0.068852,0.084105
0.068707,0.084046
0.068273,0.084681
0.068528,0.085535
0.068538,0.0848
0.06835,0.083486
0.069065,0.085742
0.068895,0.08423
0.068693,0.08609
0.0693,0.086033
0.068213,0.083132
0.068443,0.084418
0.06882,0.084684
0.069125,0.085146
0.068572,0.0848
0.068449,0.085269
0.068933,0.084992
0.068839,0.085
0.067636,0.082914
0.068956,0.084868
0.069175,0.085934
0.068295,0.083806
0.068134,0.083678
0.068807,0.085005
0.069136,0.085647
0.069782,0.086822
0.068751,0.085265
0.068847,0.085567
0.069202,0.086276
0.068502,0.085459
0.06937,0.085013
0.068622,0.084935
0.068763,0.084631
0.069497,0.086128
0.068893,0.086458
0.06924,0.084555
0.069245,0.085964
0.068965,0.085145
0.069025,0.08378
0.069212,0.086598
0.0679,0.084088
0.068905,0.084223
0.068534,0.084966
0.06892,0.08542
0.068117,0.084853
0.068631,0.085
0.069269,0.085695
0.069035,0.084626
0.068743,0.084852
0.069053,0.085926
0.06889,0.084066
0.068774,0.084753
0.068781,0.086612
0.068784,0.084811
0.067705,0.083989
0.068432,0.083738
0.069628,0.085159
0.0685,0.08449
0.069047,0.086751
0.068129,0.083887
0.068733,0.085392
0.068542,0.083917
0.068962,0.084255
0.068927,0.084774
0.06902,0.084255
0.069537,0.085481
0.06925,0.085222
0.068363,0.082974
0.068697,0.084653
0.068665,0.083966
0.069194,0.086294
