Training,Testing
0.079217,0.098677
0.078457,0.096161
0.078991,0.098481
0.078044,0.097445
0.079448,0.099036
0.078175,0.097476
0.078988,0.099459
0.078685,0.09859
0.078625,0.097872
0.07862,0.097691
0.079346,0.099028
0.079182,0.098183
0.078943,0.09935
0.07861,0.098221
0.078357,0.097409
0.078826,0.097891
0.079568,0.098145
0.079816,0.099954
0.078631,0.097648
0.07889,0.097365
0.078277,0.096886
0.078804,0.098017
0.078538,0.097253
0.0792,0.098147
0.078502,0.097037
0.078292,0.096492
0.078826,0.097755
0.079729,0.098046
0.079376,0.099322
0.078705,0.097637
0.079021,0.097594
0.078943,0.097071
0.078649,0.097092
0.078251,0.097233
0.07937,0.099162
0.07863,0.097779
0.079271,0.09866
0.07872,0.096717
0.07836,0.096507
0.079148,0.098311
0.07888,0.098317
0.078609,0.097763
0.078386,0.098282
0.078481,0.097027
0.079392,0.09869
0.078721,0.096745
0.07884,0.098446
0.078232,0.096815
0.079323,0.09839
0.078571,0.098323
0.07957,0.098802
0.078486,0.096574
0.078831,0.097925
0.079131,0.09779
0.078794,0.098025
0.078386,0.098481
0.07953,0.098511
0.07861,0.096474
0.079413,0.098161
0.078314,0.096794
0.078281,0.096541
0.078519,0.096957
0.078556,0.096933
0.078976,0.099035
0.078445,0.098445
0.078893,0.099656
0.079297,0.098198
0.078774,0.097399
0.078827,0.098643
0.078894,0.098752
0.078201,0.096652
0.078604,0.099219
0.079521,0.098161
0.078798,0.098755
0.078843,0.096641
0.07896,0.099194
0.079268,0.09973
0.078999,0.097855
0.078703,0.099007
0.079081,0.099284
0.078758,0.098498
0.078788,0.096933
0.078848,0.098341
0.078798,0.097901
0.078855,0.099069
0.078507,0.097461
0.07872,0.097217
0.078811,0.097651
0.078986,0.097453
0.078658,0.097399
0.078761,0.097324
0.079065,0.099569
0.078801,0.09782
0.078828,0.098476
0.079885,0.098656
0.078682,0.097964
0.078919,0.097538
0.078589,0.096735
0.078197,0.096238
0.078823,0.099547
0.078804,0.096836
0.078661,0.097032
0.078769,0.097424
0.078514,0.097077
0.078245,0.096791
0.079587,0.099763
0.0791,0.097195
0.078409,0.098659
0.078942,0.097534
0.078942,0.098324
0.078667,0.098084
0.078794,0.097886
0.078555,0.097839
0.079104,0.098526
0.078728,0.097232
0.079111,0.097342
0.078796,0.097639
0.078731,0.098348
0.078574,0.097578
0.078211,0.096826
0.07862,0.0986
0.078354,0.097917
0.078496,0.097878
0.078518,0.097591
0.078934,0.097925
0.078662,0.097268
0.078327,0.097021
0.078746,0.098532
0.078442,0.097484
0.079198,0.099062
0.078849,0.09706
0.077592,0.097174
0.079224,0.098948
0.078924,0.097512
0.078723,0.099366
0.078498,0.098429
0.078911,0.096545
0.079349,0.098129
0.078309,0.097816
0.078551,0.097873
0.078393,0.097065
0.080025,0.098176
0.078696,0.09819
0.078865,0.098756
0.079168,0.097676
0.078674,0.09737
0.078587,0.097447
0.078912,0.097239
0.078527,0.098459
0.078796,0.097791
0.079389,0.099071
0.078711,0.097121
0.079036,0.097641
0.078592,0.097156
0.07869,0.098644
0.078479,0.097242
0.078504,0.09808
0.078352,0.097074
0.078872,0.097302
0.078779,0.098024
0.07892,0.098451
0.079031,0.098671
0.078646,0.097914
0.079751,0.099043
0.078355,0.097607
0.07837,0.097587
0.078267,0.096559
0.078997,0.097657
0.07828,0.096746
0.078784,0.097188
0.07878,0.097917
0.07858,0.0975
0.078862,0.097782
0.078468,0.097592
0.078547,0.096986
0.078385,0.09815
