ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
NSLP,ACTEWAGL,2008/01/01,2008/04/30 09:48:01,52996.666,48367.551,45039.131,42949.547,40898.634,40115.676,38952.570,38596.273,38532.797,34807.446,36155.725,38813.803,40742.727,43106.782,46560.596,50182.918,54332.300,58611.777,64328.002,68102.510,74188.177,78800.932,79834.434,81292.906,84221.893,85350.888,87143.581,88858.409,90820.258,93737.080,96225.985,98718.440,101068.602,104749.085,106368.130,105799.856,102046.331,97892.976,93449.046,91687.233,89440.801,84139.517,77994.984,70767.740,72265.859,70898.271,62450.893,52383.001,38,Y,2081
NSLP,ACTEWAGL,2008/01/02,2008/04/30 09:48:01,46809.264,43328.983,41209.094,40278.439,38976.041,38518.779,38057.892,38124.709,38293.948,36869.231,41449.819,47793.935,53608.820,58220.079,61928.846,66591.023,70743.432,73687.662,79404.775,82405.555,88341.108,92469.574,93517.643,94650.743,98498.913,99590.020,101061.918,103649.199,106703.586,109319.878,111564.577,112941.802,112679.972,110792.887,107420.776,104518.955,98515.152,93468.703,90369.643,89707.818,85104.726,79642.208,73461.352,68090.911,70603.743,69512.844,61393.622,51328.853,39,Y,2081
NSLP,ACTEWAGL,2008/01/03,2008/04/30 09:48:01,45529.136,42144.119,40334.353,39408.523,38617.248,38171.915,38144.564,37833.268,38901.807,37564.670,41634.410,48902.966,55418.218,59703.933,62794.233,65443.338,67571.923,68271.122,71515.512,72746.699,77022.797,79421.378,77439.962,76849.922,77000.634,75330.025,74324.696,73644.321,74005.457,73177.370,73903.223,73709.666,74049.342,75323.100,75751.457,75356.743,72624.558,71037.562,70528.346,72078.742,69402.220,67122.355,63374.115,59605.276,64351.958,64586.094,57428.398,47559.755,40,Y,2081
NSLP,ACTEWAGL,2008/01/04,2008/04/30 09:48:01,42548.236,39287.972,37444.009,36606.118,36062.875,35957.050,35666.604,35833.054,36449.128,36338.991,39785.262,47326.451,54659.547,58922.062,62097.473,65457.031,68096.270,69230.110,73047.822,73794.516,77668.566,79706.942,77238.481,76731.515,77398.583,75320.100,74514.952,74749.221,74377.934,74882.108,75430.431,76972.510,76969.683,77100.910,76563.441,76205.556,73332.332,71142.983,69611.879,71466.887,69591.511,66487.429,63865.452,61188.207,67325.433,67731.209,59428.556,49824.309,41,Y,2081
NSLP,ACTEWAGL,2008/01/05,2008/04/30 09:48:01,44032.082,40461.342,38197.257,37317.710,36269.212,35765.605,35587.139,35323.821,35931.244,34172.768,36069.877,40180.385,43366.326,47345.933,51969.131,57229.587,61979.874,65190.057,68862.321,70937.894,74685.983,77162.884,75186.679,74184.735,75371.757,74215.041,73115.014,73035.025,73727.164,75285.417,76181.306,77529.682,78854.466,80720.225,81037.149,81407.470,78702.019,75051.747,72856.394,73957.200,72224.073,69678.210,67033.005,63672.925,68957.513,69357.626,62118.834,51763.878,42,Y,2081
NSLP,ACTEWAGL,2008/01/06,2008/05/01 22:01:41,45756.493,42088.064,39826.674,38875.130,37608.533,36886.784,36693.196,36365.815,36583.295,34563.568,35402.890,39058.089,41456.358,44664.680,48637.270,54383.090,59455.827,63548.163,70414.565,73489.546,79427.268,84199.671,84895.651,87237.783,91516.550,91892.243,93611.361,96575.811,98780.976,101257.332,102051.025,103756.761,107076.667,111007.358,112706.384,112434.141,111436.938,107609.698,102693.499,101632.005,98094.782,91761.695,84117.970,75758.070,77031.104,75104.026,66343.992,55447.253,36,Y,2083
NSLP,ACTEWAGL,2008/01/07,2008/05/01 22:01:41,48934.269,44849.970,42790.440,41820.101,40979.283,40237.818,40004.592,39411.925,40101.534,39480.598,45376.820,55396.280,63658.010,68102.736,70577.699,72869.877,75778.503,77437.689,81899.040,83877.050,89139.464,92719.778,92917.944,94375.894,97827.144,98337.399,100580.352,103604.632,106770.334,110434.393,114036.626,117024.896,119917.224,123253.065,125200.743,125714.645,118438.292,108939.583,100378.051,96251.399,92345.446,85725.066,78547.096,70920.190,72963.126,70706.686,62194.636,51229.948,37,Y,2083
NSLP,ACTEWAGL,2008/01/08,2008/05/01 22:01:41,45129.642,42239.445,40521.320,39789.246,39121.846,38876.295,38396.267,38605.074,39474.465,40757.795,45917.576,54979.314,63690.951,68351.900,70140.775,70526.305,71560.444,71698.327,74914.307,75042.432,79103.434,80561.023,78693.578,79453.472,81770.189,81258.427,82572.086,84325.294,87274.393,91153.328,94942.415,98830.514,102962.559,106997.590,107099.731,104756.775,97285.310,89762.844,83949.493,82481.908,80535.119,76334.821,70445.583,64567.362,67488.774,66556.184,59832.936,49247.246,38,Y,2083
NSLP,ACTEWAGL,2008/01/09,2008/05/01 22:01:41,43326.543,40403.349,38971.561,38037.196,37296.341,37204.196,37153.713,37597.848,38484.745,39860.323,45219.910,55048.010,63333.423,68915.399,70037.459,70421.637,71835.393,72031.574,74903.961,75287.136,79765.651,82174.709,81335.241,82292.031,84684.194,84274.243,85431.380,87613.445,90858.063,94331.388,97539.410,101567.670,104962.088,107347.983,108048.690,106948.729,101339.207,94709.414,89018.364,87229.217,84697.349,79774.040,74267.018,68141.714,70711.208,69431.137,61058.097,50554.986,39,Y,2083
NSLP,ACTEWAGL,2008/01/10,2008/05/01 22:01:41,44655.549,41837.918,39998.916,38971.947,38534.515,37861.347,37797.070,37975.130,39195.509,39219.714,44387.093,54760.033,63814.250,68900.024,71225.063,73605.037,76517.599,76683.766,81396.713,83250.509,90165.929,94174.241,94411.694,96595.015,100252.752,100722.260,103060.370,105061.233,107692.185,111237.520,114456.297,117495.415,120209.891,122602.596,122942.742,122543.843,117391.621,113182.663,109349.194,109330.074,106095.741,100467.731,92374.792,83100.029,82376.184,78877.175,69365.108,57851.284,40,Y,2083
