RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.063243,0.085442,7.7664,11.925,8287.5,10974
0.06344,0.086918,7.7968,12.248,8309.3,11182
0.06375,0.084189,7.8406,11.732,8348.4,10878
0.063393,0.08464,7.8038,12.114,8326.2,11045
0.063027,0.082973,7.7556,11.701,8243.9,10758
0.063243,0.08615,7.775,11.872,8299.2,11053
0.063585,0.086003,7.8278,11.928,8334.2,11077
0.063283,0.083713,7.8222,11.752,8316,10869
0.063706,0.084856,7.8379,11.745,8344,10924
0.063309,0.083794,7.8045,11.698,8306.4,10863
0.063446,0.084293,7.8177,11.827,8321.7,10905
0.063077,0.085401,7.7658,11.908,8273.9,11001
0.063219,0.083452,7.7806,11.741,8288.7,10832
0.063325,0.085758,7.7906,11.825,8319.3,10964
0.063082,0.085338,7.7821,11.914,8273.9,11051
0.063708,0.08358,7.8392,11.822,8354,10894
0.06332,0.084944,7.7703,11.926,8291.9,10915
0.063664,0.086263,7.8304,11.891,8342.4,11061
0.063222,0.084293,7.7911,11.75,8297.4,10834
0.062848,0.084722,7.7499,11.896,8245.9,10951
0.063356,0.084838,7.8238,12.013,8317.5,11008
0.063555,0.083914,7.8211,11.683,8326.8,10871
0.063436,0.084818,7.8077,11.899,8309.6,11018
0.063384,0.085325,7.8004,12.033,8318,11048
0.063253,0.083873,7.7813,11.666,8284.7,10813
0.063664,0.084325,7.8387,11.843,8352.3,10909
0.063602,0.084589,7.838,12.011,8340.7,10951
0.063392,0.084241,7.7957,11.985,8318.1,10938
0.063391,0.084713,7.7996,11.915,8309.2,10922
0.063701,0.084876,7.8557,11.795,8365.4,10919
0.063804,0.0879,7.8826,12.471,8382.3,11280
0.063368,0.085749,7.8082,11.894,8303.3,11028
0.063511,0.083847,7.8242,11.896,8334.2,10897
0.063138,0.08433,7.7736,11.827,8290.9,10904
0.063536,0.084934,7.816,11.873,8328.3,10982
0.063719,0.082601,7.8491,11.555,8350.5,10688
0.063283,0.083275,7.8145,11.746,8326.7,10822
0.062899,0.085323,7.7292,11.947,8238.1,11033
0.063181,0.084496,7.8058,11.622,8313.6,10858
0.063443,0.082642,7.7968,11.596,8307.5,10762
0.063247,0.082484,7.7926,11.682,8290.5,10760
0.06331,0.084734,7.8026,11.838,8325.5,10962
0.062863,0.085937,7.7254,11.938,8250.1,11068
0.063553,0.085421,7.8078,12.016,8327.6,11035
0.063473,0.083244,7.8369,11.716,8344.7,10813
0.063157,0.083316,7.7885,11.57,8289.9,10748
0.063441,0.084615,7.7943,11.927,8310.3,10973
0.063737,0.086642,7.868,12.176,8394,11234
0.063366,0.083815,7.7937,11.611,8297.1,10839
0.063399,0.083253,7.7759,11.664,8307.4,10779
0.063334,0.083302,7.8251,11.757,8322.1,10864
0.063196,0.083114,7.8022,11.6,8307.8,10757
0.063184,0.083369,7.7894,11.648,8273.3,10829
0.063322,0.086319,7.8106,12.028,8315,11078
0.063527,0.085053,7.8083,11.812,8313.4,10936
0.063808,0.084122,7.8554,11.836,8379,10908
0.062893,0.083726,7.7398,11.826,8261,10890
0.063179,0.084275,7.7268,11.796,8251.3,10878
0.063755,0.085982,7.8324,11.901,8359.1,11106
0.063467,0.086371,7.8172,12.06,8317.4,11084
0.063295,0.084235,7.7758,11.894,8289.9,10974
0.063328,0.084284,7.8072,11.7,8324.3,10940
0.063502,0.087716,7.8097,12.302,8323.3,11256
0.063702,0.084169,7.8635,11.721,8361.4,10843
0.063218,0.084557,7.794,11.839,8295.9,10940
0.063405,0.084148,7.7896,11.774,8311.7,10856
0.063418,0.083893,7.8285,11.779,8322.8,10809
0.063325,0.085861,7.7849,12.136,8300.4,11186
0.06314,0.084325,7.7621,11.667,8276.4,10872
0.062951,0.084043,7.7468,11.913,8257.4,10867
0.063441,0.084939,7.8024,11.862,8333.4,10993
0.063238,0.085859,7.8043,12.027,8306.9,11040
0.063045,0.084152,7.7686,11.713,8289.1,10866
0.063573,0.08473,7.8272,11.765,8336.7,10937
0.06371,0.083933,7.8287,11.831,8343.1,10926
0.063605,0.083407,7.8254,11.823,8334.6,10814
0.06361,0.084057,7.8467,11.851,8346.6,10944
0.063354,0.083999,7.7901,11.705,8309.1,10892
0.06338,0.082642,7.8082,11.69,8312.6,10734
0.063186,0.084831,7.7607,11.951,8278.2,10930
0.063157,0.084547,7.7857,11.697,8296.1,10866
0.06314,0.084086,7.7614,11.733,8286.8,10836
0.063526,0.085314,7.8459,11.805,8348.5,10946
0.063542,0.085713,7.8061,11.9,8323.4,11041
0.06316,0.083845,7.7827,12.014,8281.6,10894
0.063471,0.084663,7.8074,11.621,8325.4,10844
0.063447,0.083469,7.7866,11.72,8315.4,10876
0.063438,0.083431,7.8157,11.783,8327.4,10863
0.063203,0.083267,7.7864,11.641,8309.4,10780
0.063578,0.085733,7.8345,11.894,8323.6,11048
0.063604,0.083268,7.8041,11.71,8339,10768
0.063313,0.08337,7.819,11.768,8320.9,10863
0.063415,0.084233,7.8006,11.824,8306.4,10861
0.06312,0.084622,7.7497,11.741,8278.9,10947
0.063311,0.085004,7.7734,11.831,8293.7,10917
0.063198,0.085544,7.7937,11.836,8304.9,11007
0.063694,0.083956,7.869,11.75,8362.4,10893
0.063774,0.082555,7.8587,11.577,8367.7,10704
0.063441,0.082914,7.8099,11.731,8319.8,10777
0.062983,0.084228,7.7648,11.695,8275.5,10815
0.063416,0.085544,7.804,11.852,8326.4,10964
0.063357,0.082554,7.7632,11.632,8285.7,10730
0.063341,0.083678,7.7896,11.775,8308.6,10836
0.063613,0.083869,7.8501,11.755,8371.9,10885
0.063269,0.083489,7.7902,11.741,8292.8,10826
0.063543,0.084262,7.8226,11.89,8331.2,10961
0.063337,0.084675,7.7769,11.778,8302.8,10983
0.063271,0.084374,7.8029,11.853,8310.8,10934
0.063131,0.086368,7.7837,11.922,8303.1,11056
0.063591,0.085443,7.8207,11.676,8336.8,10898
0.063071,0.085115,7.7657,11.587,8297,10857
0.063245,0.084922,7.7715,11.759,8283.6,10932
0.063527,0.083746,7.8183,11.766,8336.2,10883
0.063106,0.083487,7.7592,11.536,8270.4,10768
0.063272,0.085042,7.7986,12.031,8302.1,10973
0.063092,0.084979,7.748,11.934,8249.4,10954
0.063379,0.084881,7.788,11.719,8305.1,10931
0.06323,0.084172,7.8199,11.76,8317.7,10893
0.063519,0.085234,7.8334,11.87,8345.2,11019
0.063309,0.083988,7.8007,11.852,8300.5,10913
0.063249,0.085106,7.7869,11.747,8297.1,10924
0.063083,0.084741,7.765,11.84,8279.2,10943
0.063381,0.083566,7.7994,11.974,8313.2,10913
0.063352,0.087178,7.8065,11.863,8297.4,11090
0.063541,0.084408,7.8258,11.872,8338.9,10931
0.063398,0.086889,7.8162,12.278,8307.6,11215
0.063453,0.084996,7.8475,12.136,8329.8,10993
0.063257,0.084047,7.775,11.712,8303.5,10849
0.063688,0.086773,7.8342,12.013,8357.4,11069
0.063535,0.083244,7.8143,11.704,8333,10810
0.063574,0.086313,7.8223,12.117,8339.3,11111
0.063462,0.084299,7.7966,11.622,8335.4,10861
0.063016,0.083465,7.7659,11.683,8274.3,10797
0.063553,0.085239,7.8444,11.851,8350.1,10933
0.063957,0.083547,7.8824,11.58,8405.9,10787
0.06335,0.085609,7.8086,11.987,8308.9,11095
0.063193,0.084583,7.7571,11.786,8267.9,10942
0.063249,0.084265,7.7887,11.679,8300.4,10867
0.063505,0.084166,7.8224,11.751,8330.1,10919
0.06313,0.084116,7.7613,11.772,8277.2,10799
0.063377,0.083593,7.7974,11.706,8314.4,10851
0.063199,0.082629,7.7881,11.588,8294.8,10707
0.063237,0.083907,7.7724,11.719,8287.9,10859
0.063678,0.084464,7.8313,11.831,8351.5,10975
0.063373,0.084254,7.8087,11.718,8313.1,10789
0.063379,0.085019,7.7985,11.779,8298.3,10911
0.06352,0.084628,7.8316,11.877,8335.5,10941
0.063509,0.084313,7.8215,11.767,8338.6,10906
0.063394,0.086098,7.8088,11.971,8316.4,11099
