RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.062887,0.081312,7.7323,11.537,8194.3,10534
0.062692,0.082971,7.7232,11.713,8180.6,10748
0.06302,0.081328,7.7542,11.491,8202.9,10540
0.062843,0.082872,7.7336,11.684,8201.3,10727
0.062757,0.081921,7.6816,11.794,8154.5,10707
0.062661,0.08209,7.7132,11.552,8167.1,10625
0.062633,0.081746,7.7219,11.747,8170.1,10654
0.062874,0.083098,7.7417,11.802,8212.4,10792
0.063168,0.08104,7.7678,11.768,8223,10670
0.062893,0.083173,7.7628,11.724,8206.2,10865
0.063303,0.081778,7.7848,11.726,8244.9,10692
0.062546,0.080406,7.7045,11.334,8155.1,10450
0.062693,0.082197,7.7417,11.743,8200.6,10693
0.062853,0.083064,7.7623,11.753,8203.1,10781
0.06303,0.082587,7.7701,11.661,8211,10740
0.062653,0.081586,7.7033,11.46,8163.3,10623
0.063138,0.08274,7.7907,11.609,8215.2,10728
0.062688,0.080677,7.7375,11.499,8175.2,10501
0.062942,0.082366,7.7701,11.682,8216.1,10704
0.063249,0.080791,7.7802,11.395,8238.4,10524
0.063312,0.082136,7.7702,11.585,8237.1,10671
0.06258,0.083756,7.7171,11.597,8156.7,10737
0.062686,0.08316,7.731,11.696,8192.9,10792
0.062975,0.081276,7.7427,11.506,8200,10602
0.062997,0.083117,7.7575,11.782,8231.3,10826
0.062788,0.081946,7.7187,11.372,8180.4,10633
0.063123,0.080024,7.7737,11.465,8231.4,10500
0.062825,0.081201,7.7318,11.699,8185.3,10584
0.062973,0.081675,7.7611,11.761,8225.4,10680
0.063447,0.0832,7.814,11.867,8275.7,10802
0.062883,0.081907,7.7468,11.511,8197.8,10641
0.063073,0.081397,7.7857,11.516,8230.7,10599
0.062958,0.082436,7.7562,11.484,8212.9,10668
0.06278,0.08255,7.7274,11.611,8166.6,10637
0.062956,0.082004,7.7371,11.632,8206,10605
0.062543,0.081627,7.7136,11.662,8166.1,10649
0.063173,0.082536,7.7473,11.733,8204.7,10692
0.063242,0.081463,7.8084,11.595,8262.2,10583
0.062736,0.080803,7.7052,11.426,8172.5,10490
0.06279,0.082402,7.7451,11.669,8201.6,10744
0.062838,0.081338,7.7346,11.535,8203.7,10542
0.062981,0.081439,7.7622,11.384,8218.4,10532
0.063035,0.083121,7.7709,11.776,8214.1,10765
0.062583,0.082445,7.7165,11.798,8172,10759
0.062631,0.082488,7.7343,11.64,8173.1,10678
0.062698,0.080749,7.7307,11.46,8184,10556
0.063179,0.08205,7.7724,11.695,8217.8,10672
0.062858,0.080969,7.7656,11.571,8211.2,10581
0.06276,0.081308,7.7372,11.376,8205.2,10523
0.062558,0.083816,7.6846,11.627,8145.7,10756
0.063128,0.082867,7.7583,11.727,8220.6,10807
0.062996,0.082087,7.7597,11.763,8209.4,10667
0.062934,0.08092,7.7416,11.494,8188.3,10525
0.0633,0.081281,7.7758,11.394,8245,10477
0.063459,0.08103,7.8263,11.478,8281.7,10565
0.062774,0.080368,7.7434,11.678,8209.3,10560
0.062802,0.081595,7.7584,11.905,8202.7,10726
0.062882,0.080614,7.7352,11.275,8190.4,10461
0.062772,0.081611,7.7164,11.518,8170.4,10561
0.062683,0.082288,7.6962,11.579,8170.7,10642
0.063091,0.081948,7.7707,11.588,8220.2,10716
0.062881,0.080894,7.7253,11.565,8187,10582
0.063168,0.082226,7.7708,11.592,8230.9,10686
0.063087,0.08004,7.7823,11.562,8223.7,10440
0.063383,0.081908,7.7756,11.729,8247.4,10670
0.063022,0.081906,7.7481,11.532,8226.5,10685
0.062958,0.083838,7.7481,11.727,8211.1,10752
0.062969,0.083215,7.7867,11.754,8228.4,10795
0.062637,0.081201,7.7458,11.62,8178.5,10589
0.06266,0.08077,7.7249,11.433,8184.2,10538
0.062768,0.081402,7.7156,11.29,8196,10509
0.062522,0.080111,7.6909,11.432,8146.7,10479
0.063059,0.080745,7.7865,11.505,8232.2,10476
0.063043,0.08195,7.7724,11.781,8219.2,10686
0.062988,0.08314,7.7472,11.829,8229.1,10810
0.062914,0.081122,7.7512,11.493,8208.9,10597
0.062625,0.082418,7.7112,11.58,8177.4,10628
0.062841,0.082331,7.774,11.502,8212.2,10690
0.062902,0.080093,7.7001,11.255,8185.3,10396
0.062828,0.081946,7.7466,11.737,8188.3,10745
0.062307,0.081979,7.6553,11.457,8113.4,10613
0.062503,0.081214,7.6871,11.407,8158.5,10542
0.062904,0.08197,7.7525,11.734,8211,10663
0.062638,0.08062,7.7004,11.455,8173.6,10504
0.063215,0.082627,7.8015,11.657,8245.9,10697
0.063368,0.084083,7.7961,11.782,8243.9,10881
0.062673,0.082272,7.7186,11.642,8183.5,10644
0.06303,0.080176,7.7573,11.273,8208.1,10398
0.062756,0.081598,7.7502,11.759,8182.1,10618
0.063478,0.082571,7.8081,11.934,8269.8,10827
0.062703,0.081428,7.7037,11.638,8168.4,10602
0.063017,0.081674,7.8087,11.66,8235,10680
0.062696,0.082032,7.7165,11.607,8167.4,10676
0.062646,0.082512,7.7088,11.684,8174.2,10685
0.0629,0.083596,7.7581,11.813,8205.9,10798
0.062524,0.081324,7.6974,11.396,8149.5,10556
0.062978,0.081384,7.7904,11.555,8234,10600
0.063125,0.083151,7.7749,11.72,8236.1,10742
0.062634,0.083036,7.7128,11.786,8153.1,10774
0.062827,0.084002,7.7463,11.829,8202.4,10886
0.063243,0.082082,7.7956,11.594,8253.5,10589
0.062706,0.0829,7.7381,11.507,8194.7,10735
0.063093,0.082477,7.7714,11.609,8224.8,10745
0.063368,0.082017,7.8163,11.583,8267,10679
0.06286,0.082688,7.7659,11.756,8203.4,10752
0.062728,0.082962,7.7352,11.884,8183.2,10830
0.062958,0.083395,7.7385,11.836,8204.4,10809
0.062576,0.081558,7.6796,11.69,8156.3,10628
0.062947,0.082892,7.7746,11.694,8236.7,10746
0.06285,0.081755,7.7501,11.538,8189.7,10576
0.062743,0.081178,7.7523,11.473,8192.6,10527
0.062919,0.081607,7.7231,11.626,8186,10627
0.063143,0.080334,7.7873,11.321,8237,10447
0.062943,0.082277,7.7386,11.795,8186.8,10699
0.063088,0.082606,7.745,11.781,8225.2,10802
0.063009,0.081666,7.7667,11.541,8232,10643
0.063018,0.080736,7.7414,11.556,8200.8,10516
0.062119,0.081161,7.6532,11.367,8105.4,10546
0.062764,0.082389,7.7206,11.502,8178.6,10631
0.063257,0.08134,7.7995,11.423,8246.2,10546
0.062456,0.080804,7.6719,11.519,8130.6,10496
0.062808,0.082459,7.7684,11.544,8220.6,10686
0.062696,0.081811,7.7155,11.553,8184.4,10613
0.062731,0.082614,7.728,11.757,8190.4,10790
0.062412,0.082804,7.6891,11.691,8151.7,10743
0.062932,0.082063,7.7414,11.559,8188.2,10635
0.063151,0.083278,7.7978,11.853,8230,10779
0.063243,0.083441,7.8195,11.952,8237.8,10810
0.062928,0.080577,7.7726,11.433,8220.6,10499
0.0628,0.083804,7.7288,11.931,8183,10813
0.062966,0.081997,7.7275,11.518,8174.2,10637
0.062732,0.080904,7.7248,11.532,8184.6,10580
0.063258,0.083836,7.809,11.796,8267.2,10841
