RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.035069,0.04457,5.3343,8.1316,4554.6,5877.6
0.035168,0.045492,5.3759,8.45,4583,6001.2
0.03546,0.045191,5.3981,8.239,4606.3,5961.2
0.03507,0.044606,5.3359,8.2342,4556.7,5948
0.035159,0.044567,5.4027,8.0721,4602.5,5866.3
0.034927,0.045364,5.3,8.2534,4534.8,5995.2
0.035505,0.046585,5.4843,8.7095,4655.8,6196.8
0.0354,0.044929,5.4293,8.323,4622.5,5971.6
0.034683,0.043582,5.3002,8.0423,4517.9,5799.6
0.034784,0.044628,5.3418,8.3977,4546.2,5992.5
0.034652,0.04248,5.2308,7.6543,4469.1,5560
0.034898,0.045098,5.3303,8.3453,4537.7,5971.8
0.034453,0.045978,5.282,8.493,4491,6037.4
0.034858,0.04424,5.3227,8.0424,4532.9,5803.7
0.03505,0.044408,5.3545,8.1909,4563.6,5893.3
0.034787,0.043463,5.3446,8.1452,4544.8,5810.2
0.035075,0.044922,5.388,8.2953,4579.5,5946.4
0.034995,0.044882,5.3443,8.2766,4552,5940.4
0.034756,0.043879,5.3308,8.1355,4539,5821.9
0.035012,0.045621,5.3301,8.416,4542.3,6006.2
0.035339,0.045766,5.3794,8.5069,4585.6,6084.5
0.03452,0.04381,5.2638,8.0005,4489.4,5791.3
0.035346,0.04518,5.4067,8.3621,4607.3,5975.8
0.035305,0.046019,5.4148,8.7925,4608.7,6185.4
0.034912,0.043399,5.2925,7.9153,4521.3,5716.6
0.034995,0.045279,5.3683,8.5881,4556.6,6058.8
0.034859,0.045948,5.2934,8.627,4526.3,6106.9
0.034871,0.045304,5.281,8.4592,4515.4,6027.1
0.034934,0.043944,5.3073,8.1979,4535.7,5844.2
0.034655,0.046967,5.2963,8.3554,4521.3,5978.8
0.034509,0.04622,5.2518,8.5104,4483.1,6061.8
0.035276,0.045154,5.3535,8.4531,4579.5,6040.1
0.03456,0.043517,5.2406,7.8734,4489,5672.3
0.035445,0.045906,5.3854,8.3862,4602.7,6012.9
0.03464,0.044478,5.2651,8.1867,4500.7,5871.3
0.034984,0.045077,5.3136,8.2874,4539,5927.5
0.035572,0.047075,5.4643,8.8895,4655.2,6299.9
0.035421,0.047119,5.4541,8.8711,4634.6,6298.7
0.035647,0.046627,5.4567,8.6155,4659.1,6088.8
0.034826,0.046494,5.319,8.6094,4543.8,6104.2
0.035283,0.04475,5.4138,8.4165,4606.8,6018.8
0.034885,0.044345,5.2854,8.1034,4523.2,5868.5
0.035227,0.044716,5.385,8.2033,4594.1,5919.1
0.035245,0.044262,5.3622,8.4218,4586,5985.7
0.035404,0.045003,5.4237,8.2991,4627.4,5972.8
0.035131,0.046766,5.3186,8.6953,4559.2,6155.4
0.034764,0.045437,5.3104,8.4005,4524.7,5980.8
0.034936,0.045731,5.3028,8.5951,4531.8,6145.4
0.034899,0.045845,5.3034,8.6421,4526.8,6120.9
0.034825,0.044758,5.2998,8.2496,4526,5926.2
0.034396,0.044469,5.2659,8.0948,4486.1,5845.3
0.035103,0.046236,5.3272,8.4692,4553.2,6082.2
0.034498,0.04423,5.2611,8.0375,4489.3,5819.7
0.034746,0.046477,5.2678,8.4306,4503.8,6051.4
0.0348,0.045186,5.2876,8.1909,4515.4,5902.3
0.03528,0.04713,5.3519,8.5433,4576.6,6118.7
0.035144,0.045872,5.3428,8.3613,4565.5,6005.6
0.035013,0.044755,5.3266,8.2148,4555.3,5921.9
0.035217,0.045374,5.3661,8.3885,4582.5,6012.4
0.035065,0.044649,5.3492,8.5084,4572.4,6027.1
0.034874,0.046774,5.3305,8.7371,4542.1,6216.2
0.035723,0.04639,5.4073,8.5917,4623.6,6151.6
0.034623,0.045601,5.299,8.485,4519.5,6067.9
0.035402,0.04715,5.4432,8.7538,4626.5,6234.2
0.034863,0.046122,5.3374,8.257,4552.5,5927
0.035017,0.045783,5.3429,8.5008,4552.8,6077.2
0.035139,0.044452,5.3814,8.2199,4590.3,5918.8
0.035084,0.044344,5.3333,8.0201,4556.3,5792.2
0.034818,0.046108,5.3171,8.6376,4533.1,6128.8
0.034601,0.047442,5.265,8.8503,4489.4,6244.7
0.03505,0.044808,5.3481,8.2483,4565.2,5935.4
0.034757,0.044262,5.3004,8.2045,4515.9,5815.8
0.035233,0.045335,5.37,8.3189,4585.6,5983.4
0.035276,0.044783,5.3764,8.2608,4597.7,5904.8
0.035081,0.045607,5.3652,8.346,4576.3,6007.9
0.034949,0.045938,5.3514,8.5238,4564.5,6092.6
0.035117,0.043904,5.3342,8.0143,4559.5,5785
0.03471,0.045137,5.2608,8.4718,4500,6000.6
0.034839,0.044801,5.2915,8.2194,4515.6,5896.7
0.034863,0.044849,5.2465,8.2944,4499.6,5929.5
0.034863,0.047764,5.3025,8.8609,4528.3,6226.8
0.035362,0.046935,5.4281,8.6243,4621.3,6149.6
0.034585,0.044832,5.2519,8.4154,4485.7,5993.8
0.035071,0.046252,5.4068,8.788,4588.6,6219.5
0.034502,0.045415,5.265,8.4683,4485.3,6059.1
0.035009,0.046533,5.3607,8.6937,4565,6135.5
0.034712,0.044473,5.2852,8.1348,4523.2,5821.9
0.035565,0.045081,5.4232,8.4215,4629.5,6020
0.034766,0.043901,5.2878,7.9042,4511.9,5740.8
0.035137,0.04497,5.3589,8.2005,4573.8,5930.1
0.034885,0.046832,5.3221,8.6621,4539.5,6198.7
0.035107,0.044953,5.3737,8.3589,4566.3,5961.4
0.035084,0.047072,5.3338,8.7082,4562.2,6218.5
0.034663,0.046459,5.2564,8.5216,4486.8,6104.1
0.034806,0.044523,5.3076,8.1725,4517,5893.4
0.034728,0.043869,5.2913,8.0685,4516.2,5825.4
0.034852,0.044564,5.2907,8.2211,4519.4,5885.6
0.035207,0.044544,5.3756,8.1591,4597.6,5898.4
0.035104,0.046999,5.3696,8.4008,4557,6030.4
0.035215,0.045035,5.4037,8.2159,4602.3,5922.6
0.034709,0.044842,5.2381,8.1446,4493.3,5878.4
0.035143,0.045187,5.3621,8.3284,4583,5965.9
0.034939,0.045655,5.3508,8.4449,4561.2,6065.2
0.035063,0.045606,5.3246,8.4186,4539.4,6050.7
0.035446,0.04524,5.3984,8.4688,4617.2,6040.5
0.034952,0.04467,5.3219,8.3088,4541.9,5930.8
0.034738,0.045196,5.2949,8.4024,4509.9,5961.6
0.034781,0.045731,5.3003,8.7425,4515.3,6151.3
0.03539,0.047373,5.4278,8.6384,4619.4,6211
0.03464,0.044806,5.2883,8.3713,4515,5977.2
0.035345,0.045472,5.3654,8.339,4589.5,6036.5
0.034928,0.045845,5.3436,8.37,4551.9,6029.2
0.034855,0.044434,5.2873,8.1054,4519.8,5872.9
0.035227,0.046668,5.426,8.7987,4611.2,6225.1
0.034628,0.045497,5.2572,8.4134,4494.4,6031.3
0.034901,0.044673,5.3006,8.3698,4533.9,5952.2
0.035213,0.046448,5.3864,8.5427,4602.1,6117.6
0.034582,0.044212,5.2774,8.0746,4491.3,5830.9
0.034827,0.043003,5.2787,7.8562,4514.9,5686.3
0.034978,0.044804,5.3056,8.2423,4534.2,5948.1
0.034598,0.044508,5.2598,8.3437,4486.7,5935.1
0.034923,0.044589,5.3019,8.284,4537.4,5931.3
0.034827,0.043508,5.2944,8.0704,4509.8,5797.2
0.035366,0.043671,5.3686,8.0053,4587.6,5772.5
0.035069,0.045133,5.3467,8.4924,4568,6077.7
0.034757,0.044621,5.319,8.1023,4527.2,5841.9
0.034813,0.044764,5.2943,7.9253,4526.3,5816.3
0.034735,0.044628,5.2762,8.3349,4495.6,5921.3
0.03535,0.045567,5.452,8.6685,4630.6,6127.7
0.034741,0.045002,5.3218,8.2831,4525.1,5985
0.035136,0.045727,5.3877,8.3421,4572.8,5971.1
0.035786,0.047392,5.478,8.8164,4663.1,6261.3
0.035155,0.046314,5.406,8.4954,4601.8,6098.7
0.034933,0.045897,5.3045,8.4334,4530.7,6075.8
0.035003,0.045895,5.3121,8.336,4533.7,6014.2
0.034724,0.045762,5.2839,8.1576,4512.5,5870.3
0.034761,0.045648,5.3096,8.5079,4528.2,6036.3
0.03513,0.045504,5.3636,8.3905,4568.6,6003.3
0.035115,0.045336,5.3483,8.5331,4560.6,6085
0.03491,0.044195,5.3454,8.1988,4548.3,5889.5
0.034616,0.044198,5.2607,8.0003,4482.1,5787.2
0.035077,0.045045,5.3598,8.4138,4576.9,6014.4
0.035577,0.046034,5.4734,8.5782,4649.7,6141.4
0.034998,0.045165,5.3515,8.3533,4560.8,6015.6
0.035079,0.045718,5.3173,8.4411,4540.9,6008.4
0.034846,0.04658,5.2785,8.659,4515.4,6151.2
0.03566,0.044851,5.4253,8.3366,4637.4,5973.6
0.034638,0.045172,5.3044,8.2584,4519.9,5966.4
0.035628,0.047023,5.4445,8.952,4639.8,6304.3
0.034854,0.04817,5.3198,8.9967,4538.4,6349.3
0.035063,0.043943,5.3206,8.0073,4548.9,5770.7
0.034982,0.046026,5.3506,8.3798,4549.7,6028.5
0.034653,0.044597,5.2342,8.0751,4490.8,5858
0.035425,0.04572,5.3833,8.4882,4618.1,6068.3
0.035164,0.04587,5.3408,8.2882,4564.3,5952.1
0.035162,0.045412,5.3789,8.4381,4599,6041.5
0.035431,0.048013,5.4468,8.9285,4636.9,6362.8
0.034469,0.044192,5.2483,8.1018,4475,5878.4
0.03513,0.048203,5.3804,8.9921,4585.1,6367.7
0.034592,0.044051,5.2585,8.0844,4485.9,5797.3
0.035089,0.047637,5.3413,8.8371,4563.7,6315.4
0.034659,0.044335,5.2776,8.2001,4513.6,5884.8
0.034566,0.043319,5.2546,7.9526,4489.3,5746.6
0.035015,0.045314,5.346,8.4066,4553.8,6003.5
0.03498,0.044197,5.336,8.1191,4557.4,5828.4
0.035428,0.045448,5.5102,8.5006,4665,6058.1
0.034968,0.046666,5.3597,8.6004,4558.6,6136.3
0.035398,0.044619,5.4348,8.3131,4629.5,5960.5
0.034886,0.046544,5.3169,8.4114,4541.6,6064.5
0.034725,0.045031,5.3018,8.0898,4510,5858
0.035225,0.045134,5.3731,8.2143,4582.2,5906
0.034663,0.043744,5.2174,7.9367,4458.5,5754.6
0.035339,0.044903,5.3897,8.3464,4593.2,5987.1
0.035071,0.044865,5.3164,8.4053,4560.6,6013.7
0.034862,0.046364,5.302,8.6562,4526.1,6115
0.035283,0.045918,5.3798,8.588,4579.9,6105.1
0.034628,0.04479,5.2348,8.0099,4481.2,5768.9
0.035152,0.046226,5.3802,8.6324,4583.7,6120.5
0.034513,0.042542,5.1977,7.5766,4455.8,5537.6
0.035219,0.046663,5.3581,8.5743,4568.8,6126
0.035063,0.046162,5.3238,8.6691,4546.8,6184
0.034867,0.045102,5.2702,8.2287,4514.3,5943.7
0.03471,0.045728,5.3019,8.4036,4517.8,6036.7
0.034692,0.046944,5.297,8.7373,4518.9,6222.6
0.034988,0.044544,5.3348,8.203,4561.4,5876.2
0.035191,0.046188,5.3845,8.5032,4596.5,6098.3
0.035242,0.04306,5.3618,7.9029,4579.2,5692.9
0.035632,0.045421,5.4038,8.39,4623.4,5991
0.034976,0.048805,5.315,9.0262,4540,6350.5
0.035248,0.044772,5.3584,8.2713,4574.7,5941.5
0.034821,0.04414,5.3039,8.1624,4524.3,5860
0.034711,0.044344,5.2553,8.1092,4491.9,5831.7
0.035217,0.046083,5.3758,8.4585,4593.6,6041.7
0.03486,0.045618,5.3267,8.2803,4534.3,5956.8
0.035417,0.044406,5.4471,8.3823,4644.2,5951.5
0.034874,0.045746,5.325,8.4546,4545.3,6039.1
0.034887,0.044138,5.3289,8.133,4549.7,5859.3
0.034472,0.045525,5.2626,8.0985,4484.2,5835
0.034809,0.044447,5.3199,8.3823,4529.1,5976.7
0.034845,0.044772,5.313,8.2615,4539.1,5962.6
0.035097,0.045848,5.3623,8.3878,4568,6006.5
0.034736,0.043989,5.3098,8.0032,4527.6,5799.6
0.035183,0.047718,5.3644,8.818,4582.6,6317
0.034796,0.043652,5.2842,8.1722,4507.2,5825
0.034747,0.053776,5.3154,9.4279,4531.6,6579.7
0.03469,0.043063,5.246,8.0855,4482.9,5734.4
0.034989,0.045434,5.3128,8.3965,4540.1,6026
0.034721,0.044026,5.2783,8.2097,4498.6,5881.4
0.035218,0.045428,5.4049,8.4831,4597.2,6033.3
0.03482,0.04535,5.3263,8.4045,4544.3,6020
0.034729,0.045151,5.2949,8.3828,4523.5,6021.4
0.034968,0.044726,5.302,8.2817,4538.6,5982.4
0.035197,0.044851,5.3582,8.3346,4580.5,5986.8
0.034959,0.044705,5.3405,8.1397,4564.7,5880.2
0.035187,0.045504,5.3696,8.4154,4582.9,6038.9
0.03457,0.043517,5.2223,7.8782,4469,5733.1
0.035218,0.047568,5.4453,9.1144,4619.6,6431.8
0.034696,0.045069,5.2956,8.3289,4525.4,5981.4
0.035096,0.047034,5.3763,8.5692,4573.8,6099.2
0.034758,0.044195,5.2291,8.1847,4494.2,5863.9
0.034775,0.044928,5.2681,8.2004,4514.9,5881.9
0.035044,0.045245,5.3106,8.3863,4542.8,6014.6
0.034949,0.050592,5.3422,8.8691,4552.7,6280.2
0.034493,0.045215,5.2333,8.3866,4469.1,5984.7
0.035203,0.046581,5.3941,8.4256,4597.8,6060.2
0.035168,0.044445,5.3351,8.0144,4556.1,5819.4
0.034928,0.044695,5.3113,8.0833,4537.8,5861.3
0.034387,0.044973,5.2149,8.2795,4464.5,5950.8
0.035222,0.044216,5.4129,8.1405,4609.1,5869.1
0.035062,0.045848,5.3744,8.5527,4580.7,6072.7
0.034865,0.043795,5.2807,7.9582,4515.7,5771.5
0.034644,0.046729,5.2503,8.5903,4490.1,6148.3
0.035135,0.044474,5.3459,8.3283,4564.1,5957.7
0.035244,0.044307,5.3723,8.1579,4585.7,5853.9
0.034726,0.0447,5.3341,8.3131,4544.2,5966
0.035382,0.044267,5.4032,8.2571,4605.3,5916
0.03479,0.045589,5.2848,8.4656,4504.7,5991.2
0.034818,0.045224,5.3341,8.4024,4535,6002.2
0.035058,0.044477,5.3663,8.1914,4571.1,5876.4
0.034928,0.046726,5.3284,8.3286,4542,5992.9
0.035349,0.045191,5.3532,8.3393,4571.6,5976
0.034777,0.046149,5.3016,8.646,4521,6075.2
0.035378,0.044913,5.4182,8.3548,4629.4,6012.6
0.03528,0.044916,5.3745,8.3563,4590.2,5983.9
0.035108,0.044377,5.3533,8.2148,4571.9,5904.3
0.035212,0.045425,5.3802,8.3777,4589.5,6024.2
0.034564,0.044734,5.2537,8.2164,4486,5901.3
0.03544,0.04441,5.3873,8.2482,4597.5,5888.2
0.035282,0.04437,5.3942,8.1836,4586.6,5877.2
0.035346,0.046465,5.4328,8.6069,4624.5,6102.3
0.034755,0.044891,5.294,8.2503,4518.1,5936.5
0.034621,0.043844,5.2927,8.1832,4506.2,5848.6
0.035238,0.046007,5.3746,8.5322,4593.7,6075.3
0.03519,0.044579,5.3076,8.2531,4549.3,5926.9
0.035512,0.046585,5.3745,8.309,4597.5,5967.1
0.034897,0.045761,5.3419,8.412,4542.2,5990.8
0.034603,0.044296,5.2618,8.1319,4500.2,5847.8
0.034763,0.044387,5.3181,8.024,4528.2,5809.1
0.035054,0.045162,5.381,8.3684,4568.8,6001.2
0.034887,0.044973,5.348,8.2713,4552.4,5921.6
0.034837,0.047438,5.3344,8.5536,4543.3,6102.1
0.034788,0.044301,5.2998,8.0729,4522.4,5835
0.034916,0.045455,5.2884,8.2312,4522.3,5907.1
0.035075,0.045227,5.3782,8.2884,4568.5,5990
0.034898,0.045019,5.3041,8.3745,4534.6,5980.8
0.035388,0.045861,5.4051,8.6186,4609,6122.2
0.034775,0.043299,5.3217,7.859,4533.9,5692.3
0.034825,0.045231,5.2947,8.2664,4523.2,5920.9
0.034863,0.043554,5.3071,7.8606,4544.3,5694.8
0.035155,0.047249,5.3884,8.7368,4591.4,6194.7
0.034956,0.044109,5.3091,8.2371,4541.7,5908.7
0.035312,0.045846,5.4239,8.6776,4608.9,6153
0.035053,0.044983,5.3566,8.3374,4583.1,5997.3
0.035092,0.046535,5.3499,8.6452,4564.2,6096.2
0.035424,0.046691,5.3725,8.5901,4591.3,6118.2
0.035392,0.044814,5.3282,8.372,4569.4,5989.4
0.035038,0.048866,5.3536,8.8127,4555.3,6246.7
0.03473,0.044914,5.2988,8.2582,4519.8,5943.6
0.034837,0.044962,5.3351,8.3201,4539.8,5985.1
0.035004,0.045189,5.3859,8.308,4576.1,6020.8
0.035246,0.046355,5.388,8.7746,4591,6193.3
0.035088,0.04579,5.314,8.6437,4554.4,6139
0.035033,0.045912,5.3269,8.5487,4549.4,6121.6
0.035072,0.046839,5.3568,8.6557,4577.6,6127.9
0.034601,0.043708,5.2642,8.1359,4496.3,5845.8
0.035517,0.046617,5.4234,8.5224,4633.6,6110
0.034408,0.045406,5.2935,8.4041,4504.9,6019.5
0.034855,0.045246,5.254,8.1994,4505.2,5897
0.03537,0.048648,5.4151,8.8653,4616.7,6307.4
0.035242,0.048298,5.4097,9.0251,4605.2,6356.3
0.035116,0.046035,5.34,8.4764,4555.8,6054.2
0.034653,0.047152,5.3287,8.7268,4532.4,6221.9
0.035524,0.044597,5.3959,8.3805,4608.2,5958.8
0.035108,0.046139,5.401,8.6578,4602.9,6141.7
0.035125,0.0446,5.3438,8.1497,4563.4,5891.5
0.034999,0.044275,5.3098,8.0725,4524.6,5857.4
0.035398,0.049642,5.4161,8.7862,4625.6,6249.7
0.03525,0.045873,5.3967,8.4335,4601.7,6022
0.034729,0.043989,5.3065,8.1562,4528.6,5870.3
0.035246,0.046618,5.3888,8.5957,4598.1,6185.9
0.034813,0.04508,5.3398,8.4217,4545.5,6015
0.035131,0.046892,5.3514,8.8314,4569.7,6240.3
0.035136,0.045084,5.359,8.3513,4569.4,5961.7
0.035162,0.04573,5.382,8.5926,4595.7,6111
0.035368,0.045656,5.4245,8.5099,4625.5,6065.3
0.035103,0.045342,5.369,8.1844,4573.9,5968.7
0.034861,0.044894,5.3422,8.1476,4544.6,5857.1
0.035266,0.046408,5.3692,8.6359,4580.8,6169.7
0.0347,0.044254,5.2779,8.1767,4512.5,5879
0.03469,0.045214,5.2653,8.4357,4502.5,6036.2
0.034455,0.043501,5.2771,7.9758,4492,5746.9
0.034962,0.045254,5.3317,8.3817,4542.7,6015.2
0.034827,0.04443,5.3292,8.22,4533.3,5899.4
0.034909,0.045673,5.3301,8.2467,4545,5938.2
0.035068,0.045292,5.3404,8.3596,4558.2,5988.4
0.034752,0.044616,5.3226,8.1507,4535.9,5851.9
0.034967,0.043499,5.3308,7.8947,4557.8,5757
0.034699,0.044656,5.3103,8.2395,4525.1,5905.4
0.035003,0.045197,5.3596,8.4225,4560.8,6018.8
0.035322,0.044574,5.3706,8.2682,4581.3,5938.5
0.034831,0.044962,5.3023,8.1616,4538.8,5915.7
0.034808,0.045233,5.3144,8.423,4536.7,6021.5
0.034877,0.04525,5.324,8.5065,4540.4,6032.5
0.035469,0.04593,5.4717,8.7,4658.5,6182.5
0.035412,0.046587,5.3929,8.4888,4602.4,6106.2
0.035154,0.04455,5.3583,8.3906,4575.8,5955.8
0.035061,0.044414,5.3491,8.1473,4573.3,5860.1
0.034859,0.044808,5.2921,8.3874,4520.3,5952.7
0.034873,0.045373,5.3012,8.3846,4529.5,5965.2
0.035048,0.043164,5.3208,8.0207,4545,5764.1
0.034707,0.043702,5.2676,7.9525,4491.3,5749.6
0.034547,0.044219,5.2601,8.0967,4490.7,5805.6
0.034891,0.045237,5.3612,8.5109,4561.7,6054.2
0.034911,0.043773,5.3052,8.1506,4522.5,5823.4
0.03473,0.044053,5.2728,8.1275,4507.6,5866.1
0.035196,0.045318,5.3489,8.4421,4577.3,6050.9
0.034463,0.044659,5.2241,8.2294,4464.6,5924.1
0.034654,0.04509,5.2757,8.2282,4502.3,5933.8
0.034779,0.044003,5.2986,8.093,4520.8,5845.1
