RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.073498,0.091147,8.9876,12.809,9459,11780
0.073395,0.092669,8.9735,13.035,9441.4,11926
0.073594,0.093264,9.0014,12.979,9460.8,11955
0.073646,0.092528,9.0019,12.843,9457.7,11848
0.07382,0.091349,9.0308,12.6,9499.5,11671
0.073602,0.091085,9.0318,12.802,9491.4,11780
0.073818,0.090826,8.9956,12.684,9484.7,11702
0.073585,0.091645,8.9979,12.803,9453.2,11776
0.073629,0.09114,9.0033,12.946,9472.1,11781
0.073441,0.092721,8.9622,12.89,9441.4,11872
0.073562,0.093232,8.9936,13.093,9455.8,11960
0.073618,0.091028,8.9999,12.842,9469.2,11760
0.073942,0.09259,9.032,13.037,9494.3,11897
0.073517,0.092323,8.9803,12.806,9466.4,11863
0.073599,0.091324,9.0015,12.741,9477.6,11767
0.073892,0.090863,9.0555,12.704,9511.6,11697
0.074146,0.090924,9.0782,12.657,9536.4,11756
0.073704,0.092346,8.9946,13.092,9480.7,11939
0.073689,0.090788,9.0215,12.827,9494.9,11718
0.073603,0.092681,9.0146,12.925,9485,11924
0.073434,0.090758,8.9751,12.738,9447,11758
0.073296,0.092772,8.9945,12.983,9443.1,11953
0.073642,0.092491,9.0232,12.831,9478.8,11806
0.073465,0.091516,8.9836,12.813,9445.4,11774
0.073497,0.091739,8.9902,12.875,9469,11839
0.073351,0.090382,8.9749,12.562,9440.8,11636
0.073878,0.09135,9.04,12.893,9497.5,11814
0.073841,0.09251,9.0265,12.954,9481.9,11912
0.073806,0.090918,9.0296,12.929,9503.9,11777
0.073744,0.093696,9.019,12.916,9486,11926
0.073981,0.092056,9.0435,12.904,9495.8,11900
0.073297,0.091545,8.9544,12.693,9426.3,11805
0.073334,0.089176,8.96,12.589,9435.1,11560
0.07348,0.089718,8.9876,12.715,9467.1,11643
0.07395,0.090833,9.0247,12.928,9496.8,11776
0.073533,0.091667,9.0021,12.966,9464,11790
0.073639,0.091963,9.0224,12.868,9490.6,11874
0.073706,0.09066,9.0107,12.687,9501.5,11671
0.073532,0.091756,8.9956,12.646,9462.6,11789
0.073907,0.091442,9.0535,12.737,9512,11766
0.073933,0.092785,9.0465,13.09,9519,11991
0.073854,0.091659,9.0109,12.794,9470.4,11815
0.073883,0.092734,9.0366,13.048,9500.2,11909
0.073598,0.094379,8.9921,12.941,9461.8,12039
0.073714,0.091134,9.0255,12.809,9480.1,11841
0.073644,0.09136,9.0437,12.692,9496.3,11713
0.073437,0.091835,8.9709,12.874,9434.9,11886
0.073381,0.091748,8.9778,12.839,9433.6,11785
0.073691,0.091881,8.9971,12.819,9474.3,11814
0.07332,0.091035,8.9572,12.775,9426.2,11706
0.073642,0.091446,9.0351,12.918,9492.5,11822
0.073793,0.090186,9.0427,12.669,9496.1,11640
0.073709,0.092575,9.0202,12.958,9486.7,11896
0.073544,0.090156,9.001,12.725,9457.1,11653
0.073702,0.09389,9.0182,13.108,9487.4,12066
0.073389,0.091616,8.9953,12.753,9450.6,11749
0.073635,0.090699,9.0257,12.743,9485.1,11754
0.07402,0.092681,9.0513,13.015,9533.9,12017
0.073701,0.092251,9.0133,12.888,9478.4,11861
0.073706,0.09285,9.0247,12.857,9475.7,11903
0.073768,0.092135,9.0149,12.845,9480.3,11821
0.073845,0.091131,9.0394,12.731,9509.8,11758
0.073512,0.09149,8.9931,12.643,9455.4,11781
0.073656,0.093648,9.0298,12.959,9481.7,12034
0.073307,0.089892,8.975,12.459,9444.3,11535
0.073753,0.091941,9.0112,12.814,9488.6,11881
0.073795,0.091357,9.0294,12.719,9488.8,11749
0.073574,0.091398,8.9906,12.889,9458.9,11791
0.073649,0.091807,8.9947,12.859,9466.1,11808
0.073803,0.091766,9.029,12.93,9491.1,11900
0.073613,0.091153,9.0128,12.695,9480.1,11721
0.073635,0.092649,9.0078,13.019,9482.6,11960
0.073873,0.091461,9.0541,12.928,9518.5,11820
0.073505,0.092458,8.9753,12.833,9442.2,11917
0.073762,0.092825,9.0068,12.954,9480.4,11952
0.073121,0.090503,8.9401,12.528,9413.3,11629
0.073504,0.091548,8.9836,12.685,9452.4,11745
0.073587,0.090089,9.0123,12.718,9466.9,11603
0.073633,0.091504,8.9931,12.881,9455.6,11803
0.073709,0.092091,9.0003,12.872,9473.5,11837
0.0738,0.090891,9.0162,12.738,9483.6,11705
0.073824,0.091656,9.0348,12.798,9502,11832
0.07356,0.09091,8.9913,12.716,9444.4,11724
0.073809,0.090609,9.0425,12.772,9494.7,11647
0.07347,0.091802,8.9957,12.844,9457.5,11852
0.073638,0.090389,9.036,12.837,9484.4,11746
0.073556,0.093229,8.9963,12.949,9462.8,11979
0.073421,0.091595,8.9603,12.942,9440.5,11857
0.073453,0.092504,8.9677,12.841,9453,11897
0.073432,0.091928,9.0085,12.927,9464.7,11815
0.073716,0.092538,9.0174,12.873,9482.1,11864
0.073711,0.091703,9.0147,12.715,9483.4,11761
0.073832,0.092481,9.0054,12.832,9490.2,11893
0.073621,0.091168,8.9987,12.68,9457.8,11706
0.073826,0.09086,9.0503,12.776,9514.7,11722
0.073486,0.089154,8.9933,12.421,9449.8,11538
0.073614,0.091782,9.0006,12.82,9460.8,11836
0.073758,0.092795,9.0229,12.892,9484.9,11911
0.073675,0.092434,9.0295,12.891,9487.2,11904
0.073274,0.09311,8.9493,13.022,9423.8,12012
0.073521,0.093068,9.0146,13.025,9466.6,11916
0.074062,0.091677,9.0472,12.946,9513.6,11821
0.073511,0.091593,8.9995,12.658,9455.1,11774
0.073891,0.09196,9.0183,12.842,9506.6,11829
0.07354,0.092381,8.9931,12.923,9456,11885
0.073547,0.096396,8.9941,13.432,9463.4,12259
0.073502,0.090994,9.0106,12.868,9458.7,11817
0.073729,0.090645,8.9895,12.679,9462.5,11687
0.073561,0.09195,8.9741,12.897,9447.7,11828
0.073785,0.090581,9.0305,12.706,9485.4,11671
0.073615,0.090246,9.0008,12.822,9468.6,11646
0.073932,0.092749,9.0382,13.103,9508.7,11937
0.073511,0.090959,8.9892,12.6,9460.9,11699
0.073677,0.092012,9.0248,12.911,9494.9,11917
0.073485,0.090765,8.9937,12.643,9468.4,11703
0.0738,0.090975,9.0077,12.66,9486.8,11735
0.073893,0.093132,9.022,12.894,9481.1,11950
0.073551,0.091257,9.0224,12.872,9466.1,11768
0.073501,0.090871,9.0275,12.799,9474.8,11730
0.073836,0.090303,9.0274,12.821,9497.6,11694
0.073587,0.092364,9.0023,12.989,9464.6,11896
0.073834,0.093142,9.0314,12.994,9484.5,12007
0.073783,0.0918,8.9936,12.71,9461.9,11765
0.073822,0.093392,9.015,13.07,9486.8,12026
0.073676,0.091509,8.9966,12.784,9474.4,11772
0.07332,0.090558,8.9406,12.704,9422.3,11633
0.073557,0.091367,9.0171,12.919,9480.4,11786
0.073406,0.090753,9.0125,12.777,9446.1,11697
0.073519,0.08973,8.9728,12.469,9424.7,11532
0.073593,0.092446,9.0367,12.744,9497.7,11862
0.073859,0.09141,9.0433,12.815,9503.4,11732
0.073949,0.091487,9.0394,12.717,9506.5,11759
0.07358,0.092316,9.0233,12.929,9467,11834
0.073504,0.091979,8.9942,12.829,9464.8,11839
0.073935,0.091201,9.0385,12.672,9495.7,11703
0.073766,0.093603,9.0375,13.162,9487.8,12063
0.073615,0.091208,9.04,12.795,9491.2,11761
0.073327,0.092696,8.977,13.082,9434.9,11946
0.0735,0.090482,9.0073,12.712,9468.3,11687
0.073616,0.090794,8.9982,12.722,9455.5,11756
0.073708,0.091633,9.0085,12.892,9484.8,11873
0.073789,0.091622,9.0378,12.868,9488,11846
0.073274,0.092391,8.9729,12.749,9436.1,11851
0.073476,0.091282,8.9822,12.958,9454.2,11859
0.073696,0.090921,9.0153,12.956,9474.9,11748
0.074,0.091851,9.0597,12.946,9518.4,11887
0.07391,0.093317,9.0479,13.216,9520.3,12071
0.073714,0.090271,9.0412,12.596,9500.6,11642
0.073368,0.092316,8.9648,12.892,9440.7,11908
0.073654,0.092843,9.0271,13.074,9490.3,11995
0.073822,0.091334,9.0437,12.829,9490.3,11721
0.073466,0.091774,8.976,12.707,9446,11796
0.073572,0.090555,9.0046,12.697,9471.8,11740
0.073255,0.091645,8.972,12.928,9438,11832
0.073632,0.092303,8.9763,12.891,9451.7,11873
0.07347,0.090849,8.9776,12.851,9452.2,11753
0.073518,0.091028,9.0143,12.553,9469.6,11650
0.073753,0.092524,9.0133,13.067,9486.8,11912
0.073749,0.091291,9.008,12.805,9478.6,11786
0.073427,0.092854,8.9709,12.833,9430.7,11960
0.07406,0.093105,9.0513,13.09,9529.4,11995
0.073649,0.090027,8.9885,12.606,9451.3,11567
0.073658,0.091285,9.0158,12.854,9493.2,11824
0.073667,0.091462,8.9905,12.832,9462.9,11783
0.073685,0.092373,9.0172,12.866,9489.7,11850
0.073988,0.092658,9.0388,12.935,9508.9,11929
0.073439,0.090348,8.9752,12.496,9454.2,11618
0.073704,0.090961,8.9897,12.598,9457.2,11675
0.073599,0.090896,9.0186,12.678,9478.7,11681
0.0739,0.092198,9.0519,12.89,9517.5,11873
0.073475,0.09159,9.0062,12.76,9480.6,11803
0.073317,0.092317,8.9725,12.59,9431.5,11771
0.073544,0.092022,9.0079,12.832,9465.6,11900
0.07355,0.090326,8.9909,12.644,9442.9,11698
0.073301,0.089821,8.9623,12.544,9411.6,11627
0.073801,0.092526,9.0132,12.966,9491.8,11899
0.073574,0.091812,9.0314,13.009,9491.2,11902
0.073811,0.092421,9.0103,12.862,9487.1,11848
0.073439,0.091482,8.9831,12.812,9447.5,11780
0.0741,0.09214,9.0903,13.16,9560.4,11969
0.073668,0.09236,9.0054,12.896,9466.5,11903
0.07389,0.091119,9.0594,12.746,9523.5,11732
0.073469,0.092381,8.9856,12.943,9447.5,11841
0.073551,0.091113,9.0248,12.713,9471.6,11766
0.073401,0.092109,8.9798,12.968,9440.2,11945
0.073683,0.092048,9.0135,12.959,9489.8,11894
0.073642,0.091244,8.9962,12.807,9462.2,11802
0.07335,0.091978,8.9986,12.854,9458.4,11845
0.073833,0.093272,9.0337,12.907,9508.8,11927
0.073562,0.090612,9.0016,12.694,9458.6,11651
0.073794,0.091475,9.016,12.833,9501.8,11853
0.073697,0.090285,9.0217,12.631,9484.1,11601
0.073557,0.092577,8.9845,13.043,9460.2,12020
0.074074,0.090441,9.0472,12.693,9520.6,11672
0.073851,0.092359,9.0107,13.045,9495,11921
0.074047,0.093142,9.0441,12.937,9518.7,11992
0.073471,0.091748,9.0018,12.931,9468.6,11848
0.073328,0.091842,8.9819,12.87,9421.3,11867
0.073523,0.092166,8.9817,13.001,9464,11907
0.073636,0.092767,9.0048,12.89,9470.6,11857
0.07373,0.091927,9.0148,12.843,9493.3,11872
0.073735,0.093616,9.0337,13.059,9507.4,12010
0.073428,0.092461,8.9787,12.888,9447.2,11920
0.073953,0.092293,9.0573,12.906,9517.4,11877
0.073271,0.091311,8.9743,12.891,9429.1,11765
0.073255,0.091804,8.9753,12.762,9448.2,11789
0.073595,0.093088,8.9719,12.97,9439.8,11934
0.073436,0.090262,9.0024,12.749,9474,11669
0.073308,0.092707,8.9667,12.852,9418.9,11927
0.073922,0.090504,9.0544,12.672,9514.3,11697
0.073486,0.091125,8.9851,12.899,9449.2,11802
0.073655,0.090363,9.0134,12.727,9494.8,11649
0.073662,0.095034,9.0422,13.062,9496.1,12115
0.073849,0.092053,9.0103,12.888,9479.9,11850
0.07312,0.09235,8.9384,12.89,9398.6,11920
0.073536,0.092684,9.0064,12.961,9452.7,11902
0.074094,0.092,9.0705,13.08,9546,11943
0.07341,0.091444,8.9758,12.661,9427.3,11761
0.073673,0.092157,9.0365,12.873,9494.3,11907
0.073722,0.091799,9.0452,13.047,9510,11868
0.07361,0.091333,9.0264,12.909,9497,11898
