RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.11317,0.14252,14.866,22.973,14905,19042
0.11312,0.14227,14.859,22.946,14892,19026
0.11324,0.14316,14.873,23.025,14906,19115
0.11309,0.14283,14.862,23,14890,19087
0.11305,0.14239,14.847,22.942,14887,19033
0.11322,0.14219,14.88,22.937,14914,19022
0.11307,0.14249,14.858,22.982,14886,19054
0.11304,0.14224,14.858,22.936,14885,19005
0.11311,0.14263,14.856,23.002,14892,19073
0.11302,0.14286,14.853,22.989,14878,19088
0.11317,0.14261,14.868,23.004,14899,19082
0.11322,0.14245,14.875,22.982,14908,19061
0.11316,0.14245,14.872,22.99,14906,19061
0.11315,0.1422,14.868,22.941,14903,19010
0.11306,0.14283,14.845,23.009,14881,19087
0.11322,0.14269,14.868,22.988,14904,19074
0.11307,0.14276,14.866,23.032,14900,19079
0.11305,0.14217,14.853,22.925,14888,19017
0.11301,0.14245,14.844,22.937,14874,19039
0.11317,0.14257,14.877,22.988,14905,19073
0.11315,0.14266,14.867,23.013,14897,19083
0.11304,0.14226,14.833,22.915,14871,19005
0.11318,0.14274,14.868,23.024,14905,19078
0.11322,0.14285,14.881,23.02,14910,19097
0.11312,0.14257,14.862,22.979,14891,19068
0.11318,0.14247,14.874,22.98,14909,19064
0.11317,0.14266,14.872,23.003,14904,19084
0.11313,0.14267,14.867,22.991,14898,19074
0.11315,0.14292,14.865,23.04,14896,19098
0.11308,0.14267,14.859,23.022,14886,19081
0.11313,0.14265,14.869,23.008,14896,19087
0.11307,0.14232,14.852,22.941,14886,19035
0.11301,0.14241,14.853,22.95,14884,19041
0.11311,0.14234,14.848,22.95,14880,19042
0.11302,0.14263,14.842,22.99,14877,19062
0.11318,0.14248,14.867,22.982,14897,19063
0.11309,0.14269,14.869,22.999,14892,19075
0.11315,0.14263,14.867,22.992,14899,19069
0.11314,0.14256,14.868,22.998,14897,19075
0.11319,0.14234,14.876,22.991,14908,19065
0.11304,0.1424,14.851,22.934,14885,19036
0.11306,0.14255,14.862,22.974,14894,19058
0.11321,0.14252,14.884,22.96,14911,19067
0.11331,0.14277,14.89,23.04,14927,19095
0.11312,0.14243,14.86,22.962,14894,19053
0.11328,0.14252,14.897,23.012,14926,19083
0.11317,0.1423,14.874,22.946,14910,19029
0.11308,0.14296,14.858,23.008,14887,19091
0.1132,0.14276,14.89,23.029,14913,19092
0.11317,0.14237,14.871,22.961,14896,19045
0.11315,0.14237,14.868,22.962,14900,19049
0.11316,0.14251,14.858,22.984,14896,19045
0.11308,0.14213,14.841,22.93,14870,19014
0.11316,0.14252,14.873,22.99,14903,19061
0.11315,0.14227,14.876,22.932,14896,19044
0.1131,0.14247,14.856,22.951,14893,19048
0.11292,0.14252,14.827,22.96,14861,19049
0.11318,0.14229,14.877,22.94,14906,19041
0.113,0.14238,14.848,22.949,14875,19029
0.1132,0.14251,14.881,22.972,14907,19062
0.11315,0.14253,14.866,22.97,14901,19047
0.11303,0.14226,14.851,22.936,14879,19029
0.11316,0.14266,14.874,23,14908,19088
0.11308,0.14335,14.854,23.078,14884,19144
0.11316,0.14236,14.872,22.943,14906,19040
0.1132,0.14282,14.876,23.022,14906,19091
0.11305,0.14241,14.853,22.961,14884,19044
0.11327,0.14283,14.889,23.035,14923,19100
0.11296,0.14272,14.841,22.987,14871,19067
0.11319,0.14294,14.875,23.054,14905,19115
0.11314,0.14221,14.872,22.94,14899,19033
0.11308,0.14236,14.845,22.952,14882,19032
0.11309,0.14246,14.86,22.949,14894,19047
0.11326,0.14259,14.87,22.984,14907,19071
0.11319,0.1428,14.877,23.027,14907,19112
0.11332,0.14233,14.897,22.963,14929,19054
0.11311,0.14262,14.857,22.968,14887,19062
0.11317,0.14241,14.883,22.966,14916,19041
0.11321,0.14233,14.873,22.962,14909,19030
0.11306,0.14269,14.857,23.006,14886,19073
0.11314,0.14243,14.859,22.969,14892,19051
0.11313,0.14247,14.873,22.985,14898,19062
0.11297,0.14246,14.838,22.958,14871,19042
0.11317,0.14275,14.868,23.021,14896,19086
0.11315,0.14248,14.873,22.976,14905,19044
0.11306,0.14221,14.844,22.911,14878,19016
0.11308,0.14242,14.852,22.941,14887,19030
0.11304,0.14288,14.857,23.049,14887,19106
0.11304,0.14227,14.856,22.924,14887,19014
0.11295,0.14256,14.839,22.975,14873,19047
0.11304,0.14251,14.847,22.954,14878,19058
0.11317,0.14242,14.883,22.967,14905,19054
0.11309,0.14256,14.862,22.951,14885,19045
0.11314,0.14219,14.864,22.935,14890,19015
0.11334,0.14259,14.891,22.995,14925,19080
0.11313,0.14214,14.851,22.921,14894,19006
0.11306,0.14243,14.84,22.971,14874,19046
0.11306,0.14256,14.849,22.988,14879,19062
0.11308,0.14284,14.847,23.018,14881,19092
0.11322,0.14261,14.874,22.995,14903,19080
0.11306,0.14234,14.862,22.946,14892,19024
0.11314,0.14254,14.869,22.984,14898,19065
0.1132,0.14237,14.874,22.967,14904,19062
0.11311,0.14277,14.861,23.005,14890,19089
0.11313,0.14248,14.866,22.968,14900,19052
0.11315,0.14265,14.872,23.004,14909,19072
0.11324,0.14253,14.872,22.997,14911,19075
0.113,0.1425,14.844,22.965,14882,19068
0.11319,0.14254,14.866,22.97,14897,19062
0.11314,0.14261,14.867,23.01,14899,19080
0.11302,0.14255,14.843,22.978,14879,19055
0.11316,0.14242,14.874,22.967,14904,19048
0.11327,0.14223,14.881,22.945,14913,19029
0.11306,0.14229,14.85,22.922,14886,19024
0.11317,0.14256,14.868,22.979,14897,19069
0.11315,0.1423,14.872,22.946,14902,19036
0.11306,0.14292,14.85,23.029,14883,19098
0.11312,0.14234,14.849,22.945,14890,19034
0.11322,0.14268,14.873,23.029,14910,19081
0.11309,0.14232,14.854,22.925,14887,19032
0.11322,0.14323,14.867,23.103,14900,19149
0.11313,0.14267,14.874,23.011,14910,19080
0.11316,0.14262,14.87,22.998,14904,19063
0.11315,0.1425,14.87,22.97,14898,19041
0.11328,0.14268,14.877,22.996,14915,19074
0.11315,0.14246,14.861,22.984,14897,19056
0.11311,0.14224,14.859,22.93,14889,19025
0.11329,0.14248,14.885,22.994,14914,19065
0.11318,0.14242,14.882,22.943,14910,19052
0.11312,0.14244,14.868,22.982,14899,19059
0.1132,0.14222,14.865,22.948,14902,19033
0.11307,0.14225,14.847,22.915,14885,19016
0.11315,0.14254,14.875,22.969,14901,19072
0.11309,0.14259,14.861,23.004,14887,19062
0.11311,0.14274,14.856,22.985,14893,19072
0.1131,0.14274,14.86,23.002,14893,19088
0.11304,0.14222,14.85,22.911,14880,19028
0.11324,0.14263,14.888,23.01,14913,19082
0.11304,0.14226,14.853,22.92,14885,19028
0.11316,0.14246,14.855,22.973,14893,19053
0.11301,0.14235,14.839,22.946,14874,19029
0.11302,0.14291,14.84,23.014,14880,19101
0.11297,0.14245,14.849,22.948,14878,19044
0.11308,0.14222,14.843,22.909,14882,19007
0.11329,0.14252,14.896,22.991,14919,19073
0.11309,0.14262,14.861,23.003,14891,19074
0.11298,0.14227,14.835,22.94,14873,19020
0.11318,0.14259,14.883,23.013,14915,19077
0.11316,0.1425,14.867,22.981,14896,19065
0.11316,0.14243,14.857,22.971,14898,19052
0.1131,0.14214,14.851,22.922,14888,19012
0.11321,0.14243,14.884,22.972,14911,19059
0.11331,0.14292,14.887,23.034,14924,19103
0.11316,0.14227,14.86,22.927,14894,19020
0.11309,0.14219,14.846,22.921,14884,19022
0.11305,0.1424,14.845,22.933,14877,19027
0.11322,0.1423,14.866,22.953,14905,19036
0.1131,0.14239,14.865,22.974,14894,19055
0.11309,0.14257,14.856,22.954,14892,19052
0.11323,0.14289,14.88,23.044,14914,19101
0.11322,0.14287,14.872,23.027,14908,19095
0.1131,0.14261,14.857,23,14887,19066
0.1131,0.14235,14.859,22.963,14891,19044
0.1131,0.14261,14.86,22.99,14886,19082
0.11315,0.14248,14.866,22.972,14906,19058
0.11314,0.14283,14.877,23.033,14908,19098
0.11315,0.14209,14.858,22.904,14893,18998
0.11328,0.14212,14.881,22.915,14918,19020
0.11312,0.14244,14.868,22.962,14897,19052
0.1133,0.14292,14.886,23.044,14924,19111
0.11324,0.14217,14.879,22.97,14914,19034
0.11303,0.1425,14.854,22.968,14877,19061
0.1132,0.14252,14.879,23.004,14912,19074
0.11303,0.14208,14.845,22.894,14877,19011
0.1133,0.14238,14.9,22.977,14926,19054
0.11311,0.14256,14.867,22.982,14901,19053
0.11312,0.14209,14.848,22.904,14880,19006
0.11323,0.14281,14.895,23.059,14921,19120
0.11317,0.14242,14.866,22.985,14895,19044
0.11316,0.14282,14.867,23.002,14904,19099
0.11315,0.14298,14.866,23.031,14898,19102
0.11315,0.14248,14.853,22.948,14893,19041
0.11293,0.14203,14.816,22.886,14859,18984
0.11304,0.14259,14.857,22.95,14888,19051
0.11319,0.14275,14.871,23.015,14906,19085
0.11314,0.14229,14.875,22.939,14899,19029
0.11314,0.14267,14.853,22.987,14888,19080
0.11304,0.1423,14.859,22.948,14884,19038
0.11312,0.14245,14.864,22.972,14893,19057
0.11321,0.14234,14.872,22.937,14907,19033
0.11319,0.1426,14.868,22.993,14905,19080
0.11316,0.14284,14.874,23.044,14906,19101
0.11319,0.14298,14.875,23.06,14906,19121
0.11331,0.14254,14.888,22.996,14919,19066
0.11325,0.14245,14.885,22.972,14916,19048
0.11316,0.14247,14.863,22.967,14897,19043
0.11321,0.14241,14.88,22.953,14912,19049
0.11309,0.14273,14.843,22.976,14882,19075
0.11313,0.14221,14.852,22.936,14890,19026
0.11305,0.14246,14.87,22.972,14900,19045
0.1132,0.14272,14.886,23.019,14912,19094
0.11318,0.14268,14.87,22.976,14904,19068
0.11328,0.14277,14.895,22.992,14928,19085
0.11315,0.14234,14.874,22.978,14898,19052
0.11322,0.14263,14.887,22.982,14914,19078
0.11305,0.14258,14.845,23.003,14878,19060
0.11308,0.14227,14.858,22.927,14894,19025
0.11303,0.14263,14.85,22.99,14881,19069
0.11318,0.1422,14.877,22.954,14909,19035
0.11311,0.14241,14.859,22.941,14893,19030
0.11316,0.14206,14.861,22.918,14899,19008
0.11306,0.14259,14.845,22.993,14882,19063
0.11302,0.14234,14.857,22.942,14887,19035
0.1132,0.14277,14.883,23.014,14914,19098
0.11307,0.1426,14.847,22.974,14880,19055
0.11313,0.14227,14.869,22.93,14892,19020
0.11305,0.14231,14.847,22.92,14879,19018
0.11304,0.14231,14.841,22.923,14873,19019
0.11315,0.14258,14.854,22.991,14896,19074
0.11315,0.14278,14.865,22.99,14899,19075
0.11314,0.1426,14.881,23.017,14913,19074
0.11302,0.14225,14.852,22.925,14880,19022
0.11313,0.14299,14.864,23.028,14894,19114
0.11321,0.14256,14.871,22.972,14909,19054
0.11294,0.14229,14.839,22.933,14867,19021
0.11315,0.14229,14.869,22.919,14901,19034
0.11313,0.14225,14.861,22.924,14888,19021
0.11304,0.14239,14.84,22.945,14881,19039
0.11309,0.14263,14.837,22.971,14871,19072
0.11314,0.14248,14.858,22.968,14893,19057
0.11321,0.14274,14.885,23.015,14914,19092
0.11311,0.14232,14.855,22.956,14891,19037
0.11326,0.14255,14.882,23,14918,19062
0.1132,0.1429,14.873,23.032,14905,19117
0.11325,0.14238,14.889,22.977,14911,19058
0.1131,0.14255,14.846,22.987,14884,19064
0.11305,0.14264,14.844,22.997,14878,19071
0.1132,0.14275,14.872,23.025,14908,19093
0.1131,0.14203,14.86,22.906,14898,18996
0.11322,0.14256,14.882,22.98,14911,19070
0.11323,0.14278,14.888,23.021,14907,19096
0.11324,0.14229,14.88,22.935,14908,19033
0.11311,0.14286,14.863,23.025,14893,19093
0.11317,0.14276,14.871,23.019,14906,19092
0.11325,0.1429,14.875,23.054,14914,19106
0.11305,0.14242,14.84,22.982,14874,19054
0.11318,0.14227,14.87,22.937,14897,19035
0.11304,0.14261,14.831,22.966,14873,19072
0.11321,0.14228,14.874,22.941,14906,19032
0.11318,0.14255,14.859,23.01,14893,19086
0.11316,0.14203,14.864,22.889,14895,18989
0.11302,0.14293,14.839,23.035,14872,19102
0.11334,0.14244,14.907,22.968,14934,19050
0.11308,0.14228,14.851,22.944,14881,19032
0.11305,0.14263,14.863,22.981,14892,19057
0.11298,0.1423,14.826,22.921,14870,19007
0.11318,0.14272,14.86,23.009,14901,19083
0.1131,0.14242,14.865,22.957,14895,19049
0.11318,0.14266,14.876,23.027,14903,19089
0.11308,0.14245,14.862,22.987,14894,19060
0.11321,0.14252,14.888,22.976,14916,19056
0.11289,0.14235,14.831,22.911,14862,19017
0.11325,0.1425,14.875,22.969,14913,19060
0.11331,0.1425,14.889,22.993,14920,19069
0.11317,0.14258,14.863,22.987,14894,19067
0.11321,0.14273,14.875,23.02,14906,19096
0.11314,0.14243,14.874,22.982,14908,19045
0.11318,0.14285,14.877,23.029,14901,19106
0.11311,0.1424,14.857,22.949,14887,19029
0.11317,0.14235,14.87,22.948,14909,19046
0.11305,0.14237,14.845,22.95,14872,19028
0.11314,0.14258,14.874,22.975,14907,19055
0.11301,0.14269,14.848,22.995,14881,19073
0.11315,0.14271,14.86,22.987,14893,19080
0.11313,0.14255,14.867,22.957,14895,19056
0.11315,0.14241,14.862,22.967,14894,19038
0.11304,0.14213,14.846,22.913,14881,19001
0.11307,0.1421,14.844,22.934,14880,19015
0.1133,0.14246,14.9,22.996,14926,19073
0.11323,0.14259,14.887,22.977,14918,19054
0.11318,0.14227,14.878,22.968,14907,19046
0.11322,0.14259,14.882,22.985,14911,19057
0.11317,0.14249,14.872,22.977,14905,19061
0.11322,0.14243,14.882,22.97,14911,19043
0.11317,0.14255,14.868,22.992,14904,19072
0.11307,0.14262,14.844,22.964,14879,19052
0.11316,0.14264,14.865,23.01,14902,19078
0.11304,0.14227,14.847,22.952,14883,19031
0.11307,0.14241,14.847,22.941,14879,19044
0.11304,0.14241,14.849,22.964,14880,19047
0.11335,0.14243,14.896,22.969,14926,19070
0.11326,0.14299,14.876,23.046,14901,19129
0.11317,0.14238,14.863,22.951,14900,19042
0.11308,0.14248,14.862,22.964,14892,19065
0.11306,0.1431,14.86,23.04,14885,19117
0.113,0.14276,14.846,23.013,14876,19068
0.11305,0.14309,14.85,23.021,14886,19111
0.11325,0.14245,14.88,22.976,14915,19050
0.11305,0.14229,14.857,22.93,14883,19042
0.11308,0.14316,14.858,23.022,14891,19093
0.11312,0.14267,14.849,22.999,14882,19082
0.11324,0.14217,14.877,22.947,14912,19031
0.11318,0.14221,14.879,22.952,14908,19028
0.11302,0.14227,14.844,22.935,14880,19028
0.11309,0.14272,14.866,23.021,14891,19090
