RMSE,MAPE,MAE
0.21786,33.213,30552
0.16647,26.311,22462
0.14667,22.607,19696
0.13785,21.215,18448
0.12823,19.864,17027
0.12255,18.642,16214
0.11734,17.595,15510
0.11397,17.138,15044
0.11112,16.503,14596
0.10936,16.186,14376
0.10882,16.013,14244
0.1073,15.813,14026
0.10428,15.207,13606
0.10504,15.272,13669
0.10333,15.196,13500
0.10145,14.69,13174
0.099878,14.517,13009
0.099015,14.434,12861
0.099015,14.393,12874
0.098479,14.327,12843
0.097612,14.158,12717
0.097429,14.152,12694
0.097264,14.151,12668
0.096093,13.887,12486
0.095435,13.795,12411
0.095042,13.74,12367
0.09405,13.591,12261
0.094367,13.658,12294
0.093901,13.551,12223
0.093334,13.559,12169
0.09279,13.356,12084
0.092658,13.404,12087
0.093299,13.469,12143
0.092327,13.253,11997
0.092417,13.264,12029
0.091934,13.216,11953
0.091345,13.213,11912
0.091262,13.125,11881
0.091284,13.143,11894
0.091257,13.088,11874
0.090635,13.024,11798
0.090336,12.985,11762
0.089869,12.832,11698
0.089854,12.852,11697
0.090122,12.948,11733
0.089466,12.831,11642
0.089698,12.853,11670
0.089503,12.806,11654
0.089278,12.784,11632
0.089191,12.695,11565
0.089021,12.687,11587
0.088636,12.647,11545
0.088289,12.571,11475
0.088735,12.631,11536
0.088173,12.549,11469
0.088213,12.57,11471
0.088353,12.599,11496
0.088162,12.567,11471
0.087897,12.489,11433
0.087773,12.489,11416
0.087306,12.391,11358
0.087452,12.448,11385
0.087613,12.447,11373
0.087291,12.372,11345
0.087479,12.408,11360
0.087443,12.426,11363
0.087477,12.419,11347
0.086998,12.344,11310
0.087223,12.382,11342
0.086872,12.293,11295
0.087135,12.272,11309
0.086537,12.262,11240
0.087166,12.377,11327
0.08678,12.313,11254
0.086392,12.313,11233
0.086365,12.239,11209
0.086391,12.216,11210
0.086149,12.145,11158
0.086292,12.271,11220
0.086522,12.27,11229
0.086321,12.236,11218
0.086032,12.173,11169
0.086159,12.145,11176
0.085815,12.15,11136
0.086029,12.193,11182
0.085836,12.096,11120
0.085573,12.092,11119
0.085342,11.997,11065
0.085769,12.088,11127
0.085598,12.049,11088
0.085716,12.08,11117
0.085384,12.008,11056
0.085593,12.063,11099
0.085551,12.073,11093
0.085481,12.03,11080
0.085159,12.004,11040
0.08549,12.026,11063
0.085163,12.009,11035
0.085542,12.028,11073
0.084876,11.946,11028
0.08533,11.988,11054
0.084804,11.935,10997
0.085137,11.984,11023
0.084793,11.941,10986
0.084558,11.922,10978
0.084914,11.912,10999
0.085246,11.968,11032
0.085037,11.957,11013
0.084807,11.961,11011
0.084906,11.886,10988
0.085127,11.98,11023
0.084896,11.944,10991
0.084615,11.931,10987
0.084892,11.95,11009
0.084535,11.88,10943
0.085006,11.934,11003
0.084569,11.802,10921
0.084876,11.898,10988
0.084921,11.897,10975
0.084753,11.891,10974
0.084984,11.946,11004
0.084605,11.856,10951
0.084597,11.831,10949
0.084567,11.838,10939
0.084597,11.866,10934
0.084528,11.85,10949
0.084496,11.799,10922
0.084195,11.806,10910
0.084194,11.813,10913
0.0844,11.8,10905
0.084355,11.822,10904
0.084562,11.856,10942
0.084406,11.839,10913
0.08468,11.861,10953
0.084841,11.886,10969
0.084576,11.912,10963
0.084685,11.845,10950
0.08466,11.832,10935
0.08416,11.778,10891
0.08499,11.83,10941
0.084408,11.808,10922
0.084487,11.842,10922
0.08442,11.801,10900
0.083877,11.761,10865
0.084525,11.808,10914
0.084084,11.809,10890
0.084457,11.848,10936
0.084468,11.826,10929
0.084192,11.746,10877
0.084742,11.867,10953
0.08425,11.801,10905
0.084455,11.743,10890
0.084644,11.824,10929
0.084352,11.768,10883
0.084415,11.787,10897
0.084128,11.748,10865
0.084676,11.815,10926
0.084269,11.811,10895
0.08436,11.824,10921
0.084314,11.789,10917
0.084543,11.794,10923
0.084483,11.82,10919
0.084501,11.793,10920
0.084158,11.799,10889
0.084524,11.821,10913
0.084523,11.8,10915
0.084703,11.842,10927
0.084375,11.803,10918
0.084299,11.765,10879
0.084739,11.817,10929
0.084326,11.78,10891
0.084081,11.768,10858
0.08418,11.757,10877
0.084156,11.78,10890
0.084642,11.776,10909
0.084478,11.836,10926
0.084152,11.771,10892
0.084125,11.771,10889
0.084489,11.808,10909
0.084665,11.817,10928
0.084734,11.831,10939
0.084191,11.741,10863
0.084104,11.794,10882
0.084675,11.815,10917
0.084503,11.794,10914
0.084567,11.855,10936
0.08468,11.79,10917
0.084679,11.843,10927
0.085082,11.897,10959
0.084424,11.726,10885
0.084737,11.803,10930
0.085007,11.847,10964
0.084791,11.806,10921
0.084112,11.735,10855
0.084801,11.819,10938
0.084506,11.807,10913
0.084219,11.725,10851
0.084818,11.843,10948
0.084847,11.863,10958
0.084324,11.834,10906
0.084421,11.786,10900
0.084505,11.831,10915
0.084591,11.83,10913
0.084589,11.812,10922
0.08467,11.842,10935
0.084425,11.811,10915
0.08524,11.918,10997
0.085092,11.855,10977
0.084859,11.861,10942
0.085038,11.833,10960
0.085082,11.885,10990
0.085026,11.881,10977
0.084862,11.852,10956
0.08441,11.803,10910
0.084866,11.829,10945
0.085175,11.877,10985
0.084857,11.876,10961
0.084999,11.875,10974
0.084989,11.898,10973
0.08531,11.853,10979
0.085109,11.849,10956
0.084953,11.891,10981
0.085155,11.843,10974
0.084854,11.859,10961
0.084598,11.77,10900
0.085739,11.95,11031
0.084849,11.839,10964
0.084717,11.928,10981
0.085316,11.885,10993
0.085181,11.883,10979
0.085273,11.842,10984
0.08517,11.865,10987
0.085057,11.873,10977
0.085352,11.964,11029
