RMSE,MAPE,MAE
0.24516,34.106,33608
0.21165,31.265,28961
0.14813,23.296,19938
0.15304,23.466,20591
0.14118,21.348,19022
0.12682,19.096,16956
0.12315,18.588,16255
0.11621,17.436,15435
0.11374,16.928,15006
0.11265,16.608,14896
0.1089,16.06,14398
0.10623,15.562,13945
0.10586,15.457,13882
0.10385,15.173,13631
0.10053,14.734,13236
0.10154,14.702,13345
0.098825,14.321,12957
0.098824,14.303,12944
0.097751,14.138,12787
0.096202,13.762,12557
0.096098,13.869,12547
0.096002,13.887,12546
0.093997,13.526,12276
0.093774,13.525,12255
0.094007,13.546,12264
0.093113,13.381,12153
0.092172,13.283,12044
0.09136,13.156,11940
0.091075,13.079,11887
0.091289,13.103,11915
0.091214,13.009,11834
0.089843,12.888,11720
0.089585,12.971,11729
0.09001,12.957,11753
0.089333,12.83,11655
0.089406,12.862,11671
0.08863,12.656,11537
0.088163,12.7,11510
0.088,12.685,11490
0.088485,12.753,11552
0.088384,12.706,11530
0.087535,12.587,11434
0.087212,12.53,11355
0.087847,12.647,11446
0.086674,12.436,11307
0.086644,12.465,11307
0.086313,12.372,11259
0.086979,12.573,11366
0.086103,12.392,11239
0.086543,12.42,11278
0.086578,12.367,11266
0.085612,12.316,11187
0.08598,12.404,11220
0.086213,12.34,11235
0.085925,12.351,11220
0.085412,12.337,11154
0.085454,12.281,11140
0.085272,12.236,11118
0.085134,12.28,11129
0.08495,12.205,11084
0.085163,12.268,11128
0.08539,12.284,11147
0.085091,12.218,11091
0.084279,12.141,10992
0.084769,12.127,11054
0.08449,12.111,11021
0.084254,12.089,10990
0.08479,12.168,11047
0.083854,12.068,10950
0.08433,12.142,11000
0.084257,12.118,10990
0.084253,12.08,10993
0.084094,12.066,10977
0.084108,12.117,10978
0.083974,12.069,10960
0.083542,11.978,10905
0.084006,12.034,10951
0.083641,12.038,10922
0.083748,12.002,10912
0.08361,11.979,10905
0.083657,12.039,10910
0.082986,11.899,10825
0.083867,12.039,10943
0.083431,11.908,10860
0.083486,11.98,10891
0.083214,11.91,10845
0.082983,11.91,10829
0.083109,11.908,10843
0.082561,11.849,10785
0.083037,11.916,10826
0.083249,11.953,10868
0.083188,11.867,10834
0.083044,11.936,10840
0.082669,11.828,10790
0.082958,11.846,10797
0.082936,11.878,10823
0.083595,11.996,10887
0.082563,11.889,10790
0.083131,11.866,10825
0.082467,11.74,10739
0.082866,11.863,10797
0.082522,11.832,10771
0.083198,11.886,10830
0.082882,11.875,10806
0.08254,11.797,10746
0.082411,11.799,10755
0.082443,11.774,10742
0.082773,11.842,10781
0.082661,11.827,10773
0.082614,11.805,10755
0.082279,11.736,10727
0.082368,11.73,10714
0.082793,11.821,10770
0.082268,11.736,10711
0.08228,11.755,10729
0.082386,11.747,10732
0.082282,11.792,10737
0.081997,11.726,10694
0.082673,11.847,10773
0.082075,11.791,10723
0.081879,11.648,10655
0.082011,11.764,10704
0.082858,11.788,10757
0.08265,11.789,10755
0.082101,11.752,10709
0.082127,11.739,10707
0.08214,11.71,10701
0.082368,11.765,10737
0.081705,11.698,10659
0.082046,11.67,10673
0.082432,11.81,10733
0.082307,11.679,10699
0.081523,11.635,10620
0.081917,11.66,10661
0.08205,11.663,10678
0.082159,11.707,10700
0.081913,11.68,10658
0.082435,11.722,10716
0.081988,11.686,10675
0.081721,11.646,10637
0.081894,11.65,10663
0.08181,11.629,10652
0.082226,11.708,10695
0.082169,11.702,10693
0.082347,11.672,10692
0.082223,11.699,10712
0.081658,11.593,10626
0.082092,11.637,10673
0.082182,11.722,10698
0.081679,11.611,10639
0.081944,11.629,10651
0.081926,11.667,10654
0.082118,11.668,10665
0.081972,11.62,10646
0.082086,11.669,10688
0.081591,11.57,10611
0.081807,11.603,10635
0.081285,11.565,10588
0.0817,11.618,10629
0.081716,11.605,10629
0.082172,11.682,10688
0.081783,11.605,10638
0.081829,11.578,10621
0.081962,11.618,10645
0.082032,11.638,10663
0.081931,11.609,10653
0.082008,11.659,10650
0.082288,11.688,10692
0.082118,11.66,10661
0.081993,11.643,10659
0.082028,11.593,10650
0.081923,11.62,10643
0.081633,11.583,10609
0.082181,11.662,10687
0.08182,11.611,10626
0.081789,11.574,10623
0.082422,11.693,10703
0.082452,11.634,10661
0.081681,11.527,10605
0.081927,11.615,10651
0.081803,11.614,10628
0.082151,11.601,10645
0.081692,11.575,10611
0.081687,11.571,10620
0.081853,11.554,10613
0.082256,11.627,10667
0.081875,11.569,10629
0.082174,11.632,10672
0.08159,11.507,10588
0.082444,11.672,10704
0.082001,11.558,10644
0.082218,11.569,10642
0.082348,11.643,10672
0.08204,11.602,10649
0.082361,11.628,10681
0.081906,11.6,10643
0.081868,11.575,10635
0.081971,11.62,10657
0.082068,11.581,10632
0.082313,11.607,10667
0.082064,11.631,10668
0.08231,11.625,10671
0.081823,11.532,10609
0.082326,11.599,10668
0.081858,11.559,10638
0.082192,11.585,10651
0.082266,11.614,10675
0.082,11.542,10640
0.082011,11.552,10635
0.08215,11.607,10662
0.082686,11.652,10708
0.082406,11.621,10682
0.082679,11.67,10699
0.082462,11.606,10684
0.082113,11.568,10635
0.082318,11.607,10667
0.082031,11.512,10622
0.082295,11.584,10649
0.082253,11.597,10660
0.082731,11.611,10684
0.082248,11.593,10654
0.082061,11.577,10639
0.082281,11.573,10657
0.082725,11.597,10670
0.082243,11.58,10657
0.082057,11.57,10643
0.082605,11.663,10704
0.08224,11.597,10661
0.08239,11.612,10684
0.082131,11.6,10646
0.08227,11.598,10664
0.082393,11.568,10676
0.082103,11.512,10619
0.082443,11.602,10668
0.082558,11.602,10682
0.082352,11.593,10676
0.082789,11.655,10716
0.082604,11.605,10691
0.082409,11.587,10673
0.082606,11.617,10702
0.082752,11.613,10695
0.082652,11.608,10692
0.08269,11.637,10704
0.082776,11.637,10723
0.082424,11.61,10682
0.082521,11.573,10670
0.082602,11.593,10677
0.083057,11.667,10743
0.08253,11.566,10680
0.082851,11.662,10728
0.082708,11.627,10714
0.082553,11.556,10677
0.083353,11.663,10752
0.082602,11.586,10687
0.083068,11.673,10742
0.082825,11.611,10701
0.083295,11.657,10739
0.083404,11.669,10769
0.083108,11.672,10739
0.08319,11.691,10766
0.083462,11.674,10753
0.082792,11.617,10711
0.083277,11.635,10757
0.083104,11.641,10736
0.083037,11.635,10738
0.08338,11.644,10748
0.082937,11.656,10737
0.083034,11.636,10726
0.083229,11.676,10764
0.083228,11.653,10755
0.083483,11.68,10777
0.083385,11.679,10778
0.083234,11.645,10753
0.083045,11.614,10726
0.083541,11.641,10761
0.083573,11.727,10806
0.083763,11.68,10806
0.083092,11.636,10755
0.083264,11.643,10770
0.082988,11.604,10736
0.083751,11.715,10827
0.083871,11.748,10826
0.083286,11.664,10781
0.083751,11.674,10801
0.083411,11.683,10792
0.083142,11.659,10767
0.083938,11.712,10820
0.083103,11.672,10779
0.08326,11.632,10756
0.08389,11.714,10825
0.083495,11.679,10772
0.08351,11.67,10783
0.083972,11.709,10834
0.083876,11.762,10829
0.083746,11.731,10818
0.083686,11.695,10816
0.083459,11.724,10795
0.084041,11.694,10819
0.083733,11.713,10811
0.084093,11.746,10845
