RMSE,MAPE,MAE
0.21289,43.266,31204
0.14524,33.405,21590
0.1192,27.491,17757
0.11137,24.237,16178
0.11212,24.578,16184
0.10148,22.201,14543
0.10103,21.985,14503
0.097235,20.938,13806
0.093632,19.661,12969
0.083644,17.853,11955
0.082185,17.537,11739
0.082622,17.342,11628
0.079722,16.755,11250
0.079096,16.783,11207
0.077822,16.159,10847
0.07798,16.017,10823
0.070899,14.697,9984.6
0.07316,15.034,10235
0.071533,14.703,10050
0.071995,14.536,9890.2
0.069635,14.156,9702.3
0.070414,14.301,9826.4
0.074199,14.362,9800.9
0.067729,13.651,9400.3
0.066828,13.396,9262
0.067913,13.584,9339.5
0.065631,13.141,9061.5
0.066294,13.332,9216.9
0.066272,13.294,9128.2
0.065915,12.954,8943.4
0.064572,12.857,8881.9
0.067669,13.522,9285.4
0.062741,12.42,8607.2
0.062276,12.277,8559.6
0.061806,12.21,8501.1
0.063566,12.552,8687.7
0.063448,12.599,8693.3
0.063572,12.81,8789.4
0.061012,11.94,8316
0.062232,12.359,8556.9
0.060161,11.844,8242.2
0.062416,12.259,8484.4
0.06152,12.152,8451.2
0.060899,11.841,8265.6
0.059041,11.541,8068.6
0.06084,11.966,8288.1
0.060185,11.779,8189.9
0.057494,11.209,7855.9
0.058707,11.405,7970.9
0.058287,11.255,7869.7
0.058874,11.51,8012.7
0.059986,11.646,8084.2
0.057402,11.196,7826.8
0.058558,11.177,7824.5
0.057327,11.271,7848.1
0.059644,11.267,7855.2
0.055394,10.866,7596.9
0.058096,11.253,7851.3
0.058463,11.182,7809.1
0.057733,11.051,7722.5
0.056848,11.092,7751.6
0.056853,11.116,7751.2
0.055677,10.88,7589.6
0.055676,10.708,7512.4
0.056389,10.877,7620
0.05573,10.729,7512.9
0.056271,10.918,7612.5
0.056016,10.749,7545.3
0.056897,10.835,7592.5
0.054336,10.469,7357.7
0.055709,10.563,7425.5
0.055034,10.511,7382.9
0.054566,10.464,7347.3
0.054311,10.601,7416
0.055204,10.657,7468
0.054262,10.439,7317.6
0.05791,10.798,7556.4
0.054346,10.355,7274.2
0.054764,10.527,7364.2
0.05416,10.326,7261.3
0.053609,10.365,7272
0.05474,10.462,7344.9
0.054227,10.367,7282.2
0.05603,10.573,7399.8
0.05374,10.201,7177.4
0.054013,10.292,7216.6
0.054455,10.328,7260.1
0.052792,10.051,7094
0.053638,10.281,7237.1
0.052474,9.9957,7040.2
0.052283,9.9418,7007.6
0.05377,10.394,7292.7
0.053624,10.067,7085.7
0.05284,10.063,7087
0.053394,10.067,7080.3
0.053657,10.187,7148.4
0.052969,10.157,7141
0.052675,10.05,7085.9
0.052284,9.9885,7036.3
0.051629,9.7986,6919
0.052401,9.9452,7017
0.051501,9.8395,6920.3
0.0522,10.064,7064.9
0.052237,9.8632,6941.3
0.051828,9.8729,6948.2
0.051935,9.9516,7000.7
0.052109,9.8792,6965.2
0.052291,9.9319,6980
0.052161,9.9819,7029.5
0.05148,9.6891,6854.2
0.052222,9.9062,6976.9
0.051983,9.8165,6922.3
0.050998,9.72,6855.2
0.051507,9.8901,6931.7
0.051338,9.7292,6860.5
0.052967,9.8276,6929.4
0.051103,9.7231,6837.5
0.051179,9.7017,6846.4
0.051442,9.6524,6818.7
0.051787,9.8687,6936.1
0.051162,9.7227,6854.4
0.050886,9.6676,6820
0.051498,9.6937,6831.3
0.052085,9.8982,6960.8
0.051329,9.7397,6846.3
0.05167,9.7025,6844.1
0.051367,9.7061,6827.2
0.051245,9.6378,6789.4
0.051229,9.5993,6779.7
0.051552,9.6179,6783.2
0.051186,9.6488,6795.5
0.050185,9.4461,6688
0.051722,9.7994,6898.4
0.051259,9.5057,6713.4
0.051046,9.6938,6814.1
0.050662,9.6216,6771.4
0.050129,9.4402,6679.8
0.050696,9.5722,6737.6
0.050852,9.6309,6784.5
0.050801,9.5583,6737.6
0.050327,9.5522,6719.4
0.05321,9.5955,6778.7
0.050792,9.4841,6685.5
0.050918,9.5428,6737.5
0.050526,9.46,6674.5
0.050414,9.4603,6679.2
0.050762,9.6384,6776.1
0.050418,9.5582,6718.1
0.050453,9.5582,6742.3
0.050638,9.4848,6709.4
0.050235,9.4816,6702.6
0.052012,9.6981,6824.7
0.050519,9.5034,6699.2
0.050098,9.4148,6647.8
0.050899,9.5106,6701.7
0.049969,9.3703,6629.2
0.050195,9.4481,6668.9
0.049607,9.4142,6629.9
0.050982,9.4822,6690.3
0.049986,9.3948,6627.9
0.051475,9.607,6743.4
0.050022,9.2993,6582
0.05109,9.4828,6672.5
0.04983,9.3721,6614.7
0.050412,9.4795,6675.2
0.051156,9.4932,6687.2
0.049928,9.2903,6565.2
0.049686,9.3529,6597.7
0.050694,9.6263,6743.3
0.050946,9.5866,6740.7
0.049783,9.3235,6584.7
0.049406,9.2884,6574.1
0.05015,9.3096,6589.9
0.05042,9.4805,6662.6
0.049798,9.3628,6602.8
0.05014,9.3295,6589.5
0.049944,9.4248,6623.1
0.050103,9.3805,6611.5
0.050847,9.3576,6602
0.049736,9.2919,6577.9
0.049932,9.338,6583.4
0.049852,9.2672,6554.9
0.050939,9.404,6634.2
0.050125,9.3891,6610
0.052558,9.4401,6660
0.050447,9.4721,6666.8
0.049908,9.3623,6593.7
0.050106,9.3097,6575.3
0.050382,9.4517,6648.8
0.050563,9.4519,6648.8
0.050896,9.2755,6564.3
0.049953,9.3199,6586
0.049851,9.4568,6631.3
0.050384,9.3577,6613.3
0.049603,9.255,6540.5
0.050076,9.321,6583.1
0.051265,9.3911,6610
0.050506,9.3043,6566
0.05048,9.4294,6642.9
0.049488,9.3763,6578.7
0.049817,9.2672,6552.2
0.049971,9.2894,6558.1
0.051841,9.463,6658.4
0.049945,9.3535,6583.7
0.050576,9.4622,6656
0.05051,9.432,6645.6
0.050713,9.319,6575.2
0.049912,9.2857,6544.3
0.050741,9.4174,6637.8
0.049701,9.3382,6576.9
0.051241,9.4341,6631.3
0.049483,9.3209,6551.2
0.04984,9.2829,6551
0.0522,9.3801,6617.6
0.049645,9.2268,6514.8
0.050094,9.4313,6628
0.050071,9.3086,6571
0.050664,9.3686,6589.9
0.049484,9.2504,6535.3
0.049933,9.3331,6565.5
0.050202,9.2249,6535.6
0.049468,9.1661,6486.6
0.050352,9.2609,6552.4
0.05162,9.5346,6685.5
0.049998,9.2192,6505.1
0.05028,9.2866,6555.8
0.049138,9.2167,6504.8
0.049596,9.2472,6516.3
0.051212,9.3388,6578.1
0.0501,9.2853,6548.6
0.050467,9.2595,6545
0.050332,9.2797,6560.5
0.051765,9.3279,6571.9
0.049557,9.2674,6531.6
0.050335,9.3398,6581.7
0.049744,9.2845,6556.9
0.050712,9.367,6591.1
0.04958,9.1514,6467
0.049894,9.3068,6555.5
0.04974,9.3097,6553.4
0.050697,9.4411,6619.6
