RMSE,MAPE,MAE
0.22453,33.872,30792
0.17855,27.857,24556
0.15494,23.739,20812
0.14272,21.726,19067
0.12859,19.446,17099
0.12605,18.805,16623
0.12028,17.907,15788
0.11745,17.268,15342
0.11575,17.132,15119
0.11197,16.65,14606
0.11132,16.345,14509
0.10941,16.126,14225
0.10799,15.831,14017
0.10768,15.693,13937
0.10698,15.653,13887
0.10545,15.385,13646
0.10388,15.126,13432
0.10432,15.207,13489
0.1031,15.104,13350
0.10272,14.934,13285
0.10261,14.989,13286
0.10187,14.923,13207
0.10151,14.803,13158
0.10105,14.781,13075
0.10026,14.721,12984
0.10025,14.642,12993
0.10019,14.678,12991
0.099647,14.516,12924
0.099382,14.456,12869
0.099132,14.434,12830
0.098923,14.413,12826
0.098643,14.371,12776
0.098576,14.408,12792
0.098334,14.345,12745
0.097994,14.294,12704
0.09832,14.308,12731
0.097688,14.268,12668
0.097976,14.266,12704
0.09728,14.171,12624
0.097003,14.081,12570
0.096949,14.073,12571
0.096991,14.021,12552
0.096593,14.016,12529
0.097058,14.103,12580
0.097252,14.072,12585
0.096498,13.931,12482
0.096003,13.922,12452
0.095727,13.867,12420
0.096125,13.964,12470
0.095595,13.855,12407
0.095748,13.833,12400
0.095811,13.919,12418
0.095478,13.877,12404
0.094677,13.662,12286
0.095266,13.746,12349
0.095252,13.723,12353
0.094952,13.693,12299
0.094795,13.68,12290
0.094708,13.649,12280
0.094841,13.682,12294
0.094445,13.604,12237
0.094599,13.537,12236
0.09501,13.658,12297
0.094486,13.55,12246
0.094526,13.582,12253
0.094283,13.592,12237
0.093827,13.458,12155
0.094356,13.512,12227
0.093601,13.415,12123
0.094385,13.489,12212
0.093569,13.397,12119
0.093612,13.409,12123
0.093262,13.333,12082
0.093625,13.345,12107
0.093773,13.41,12145
0.093465,13.357,12111
0.093432,13.363,12101
0.093387,13.333,12080
0.093161,13.299,12053
0.093213,13.314,12068
0.092956,13.324,12045
0.093013,13.227,12026
0.092734,13.238,12007
0.093228,13.299,12054
0.09282,13.224,12009
0.092695,13.205,11991
0.09284,13.238,12021
0.0923,13.142,11951
0.092284,13.115,11942
0.092548,13.135,11971
0.09264,13.146,11981
0.092222,13.099,11926
0.09261,13.114,11960
0.092772,13.179,11999
0.091931,13.061,11882
0.09234,13.077,11933
0.092344,13.145,11958
0.092421,13.146,11953
0.092271,13.06,11925
0.092331,13.036,11925
0.092393,13.09,11937
0.091748,12.997,11871
0.092082,13.054,11906
0.092111,13.037,11897
0.091987,13.008,11887
0.091977,13.029,11890
0.091696,12.989,11874
0.092027,13.045,11908
0.091793,12.953,11854
0.092033,13.021,11893
0.092001,12.971,11873
0.09182,12.94,11859
0.092241,13.026,11915
0.091546,12.896,11815
0.092008,12.998,11885
0.091904,12.946,11864
0.0919,12.959,11877
0.091897,12.928,11857
0.092167,12.996,11895
0.09222,12.964,11882
0.091805,12.939,11839
0.091852,12.951,11852
0.091725,12.92,11842
0.091566,12.886,11823
0.091868,12.909,11848
0.091601,12.901,11828
0.091677,12.878,11830
0.09151,12.867,11810
0.091657,12.918,11823
0.091968,12.946,11860
0.091797,12.889,11842
0.091342,12.846,11789
0.091707,12.882,11832
0.091594,12.881,11827
0.091574,12.889,11808
0.09187,12.869,11848
0.091555,12.85,11825
0.091633,12.886,11821
0.091584,12.862,11815
0.091841,12.849,11827
0.091168,12.791,11745
0.092338,12.911,11902
0.091756,12.846,11819
0.091796,12.879,11843
0.092034,12.847,11844
0.092077,12.899,11864
0.091517,12.806,11793
0.092104,12.886,11874
0.091563,12.853,11804
0.091838,12.846,11841
0.091822,12.814,11802
0.091713,12.84,11816
0.091862,12.846,11839
0.091998,12.864,11861
0.09189,12.798,11811
0.092041,12.887,11861
0.091518,12.782,11787
0.091654,12.836,11820
0.092239,12.922,11887
0.092043,12.859,11860
0.091949,12.817,11834
0.091768,12.822,11817
0.092271,12.891,11872
0.091655,12.786,11800
0.091941,12.778,11817
0.091638,12.797,11795
0.091757,12.806,11808
0.091814,12.819,11822
0.092009,12.816,11834
