RMSE,MAPE,MAE
0.17393,29.238,23881
0.1605,26.998,21708
0.15438,25.688,20792
0.15076,24.874,20266
0.14879,24.375,19975
0.14754,24.134,19826
0.1461,23.889,19667
0.14531,23.744,19570
0.14491,23.655,19518
0.1445,23.591,19474
0.14415,23.542,19432
0.14386,23.477,19394
0.14369,23.426,19364
0.14355,23.396,19342
0.14337,23.349,19310
0.14333,23.327,19304
0.14321,23.295,19291
0.14312,23.236,19251
0.14303,23.207,19232
0.14303,23.197,19234
0.14306,23.16,19220
0.14312,23.187,19231
0.14298,23.12,19186
0.14284,23.083,19161
0.14311,23.139,19198
0.14289,23.102,19169
0.14295,23.1,19173
0.14305,23.128,19191
0.14294,23.097,19165
0.14293,23.093,19159
0.14286,23.073,19145
0.1429,23.082,19151
0.14289,23.073,19143
0.14283,23.07,19139
0.14283,23.07,19135
0.14279,23.06,19130
0.14276,23.055,19122
0.14275,23.046,19118
0.1427,23.038,19106
0.14273,23.045,19113
0.14264,23.033,19101
0.14268,23.034,19103
0.14265,23.027,19098
0.14265,23.025,19096
0.14259,23.015,19087
0.1425,22.997,19074
0.14253,22.996,19072
0.14252,22.99,19067
0.14249,22.981,19062
0.1425,22.981,19061
0.14257,22.984,19066
0.14248,22.972,19055
0.14248,22.968,19053
0.1425,22.963,19052
0.14263,22.975,19059
0.14259,22.974,19058
0.1426,22.97,19057
0.14249,22.949,19041
0.14253,22.959,19045
0.14244,22.941,19036
0.14258,22.956,19049
0.14257,22.954,19045
0.14269,22.976,19062
0.14259,22.947,19044
0.14267,22.96,19055
0.14264,22.951,19047
0.1428,22.966,19059
0.14273,22.96,19054
0.14271,22.954,19048
0.1428,22.962,19052
0.14288,22.969,19062
0.14278,22.962,19056
0.14283,22.964,19061
0.14341,22.997,19090
0.14293,22.977,19072
0.14298,22.975,19070
0.14295,22.984,19077
0.14312,22.985,19081
0.14322,22.995,19087
0.14345,22.995,19096
0.14337,23.002,19100
0.14363,23.013,19104
0.14351,23.011,19104
0.14345,22.999,19100
0.14353,23.015,19113
0.14376,23.017,19114
0.14373,23.029,19125
0.14337,23.001,19100
0.14426,23.047,19140
0.14457,23.07,19160
0.14474,23.065,19165
0.14483,23.082,19170
0.14516,23.094,19184
0.14473,23.075,19171
0.14453,23.067,19165
0.14565,23.104,19199
0.1445,23.055,19158
0.14503,23.098,19189
0.14498,23.078,19185
0.14568,23.114,19212
0.14523,23.099,19198
0.14688,23.18,19262
0.14658,23.156,19248
0.14636,23.141,19229
0.14753,23.181,19267
0.14806,23.197,19293
0.1481,23.198,19288
0.14825,23.213,19305
0.14897,23.22,19325
0.14993,23.235,19327
0.1497,23.252,19346
0.14997,23.263,19352
0.14837,23.222,19320
0.14995,23.229,19331
0.1517,23.305,19399
0.14964,23.237,19330
0.15265,23.33,19401
0.15054,23.288,19367
0.15062,23.279,19376
0.15116,23.288,19388
0.15332,23.309,19417
0.15308,23.351,19437
0.15024,23.294,19383
0.15155,23.331,19413
0.15299,23.376,19452
0.15385,23.368,19458
0.15093,23.296,19388
0.15502,23.406,19494
0.15664,23.428,19514
0.15821,23.439,19516
0.15509,23.414,19499
0.15293,23.366,19457
0.15822,23.476,19544
0.15634,23.42,19518
0.15524,23.44,19515
0.15613,23.454,19535
0.15797,23.473,19541
0.15787,23.489,19558
0.16671,23.664,19715
0.16605,23.644,19702
0.162,23.572,19630
0.15905,23.54,19605
0.15936,23.524,19592
0.16306,23.592,19650
0.16535,23.646,19694
0.16226,23.599,19661
0.17291,23.746,19775
0.17468,23.791,19843
0.17115,23.772,19809
0.16546,23.698,19731
0.16366,23.666,19714
0.17118,23.799,19822
0.18221,23.9,19936
0.17444,23.819,19873
0.1819,23.883,19915
0.16716,23.739,19798
0.17583,23.827,19866
0.18653,24.036,20042
0.17971,23.927,19955
0.18153,23.95,19967
0.19233,24.145,20131
0.18919,24.082,20065
0.18438,24.049,20048
0.20053,24.236,20269
0.19933,24.168,20182
0.18933,24.075,20084
0.19691,24.193,20218
0.21403,24.382,20387
0.20231,24.256,20312
0.20282,24.258,20274
0.19761,24.205,20227
0.20374,24.272,20259
0.21547,24.503,20478
0.23386,24.57,20556
0.21203,24.372,20323
0.22106,24.388,20409
0.22436,24.494,20508
0.23944,24.716,20693
0.24622,24.718,20720
0.23704,24.678,20690
0.25127,24.802,20778
0.25086,24.817,20791
0.24967,24.795,20817
0.25881,24.895,20888
0.25954,24.93,20867
0.25282,24.899,20863
