RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.062363,0.08258,7.6723,11.412,8165.9,10612
0.062419,0.083341,7.6504,11.513,8149.8,10711
0.062384,0.084119,7.6672,11.568,8153.2,10781
0.062194,0.083677,7.649,11.649,8129.3,10810
0.062599,0.083266,7.7004,11.604,8186.2,10756
0.06229,0.084457,7.6578,11.625,8138.6,10793
0.062373,0.084771,7.6797,11.618,8164.4,10876
0.062298,0.084559,7.6565,11.599,8142.2,10790
0.062135,0.084825,7.6508,11.64,8132.6,10871
0.062611,0.083846,7.6901,11.587,8181.2,10778
0.062618,0.084912,7.7062,11.951,8188.2,11019
0.062439,0.083536,7.679,11.581,8166.8,10769
0.062151,0.084131,7.6551,11.62,8135.6,10820
0.062346,0.083901,7.6702,11.588,8152.3,10780
0.062444,0.084181,7.6736,11.694,8175.9,10794
0.062647,0.084663,7.6812,11.855,8168.1,10904
0.062249,0.083763,7.6652,11.588,8143.6,10799
0.062349,0.084273,7.6432,11.641,8142.3,10839
0.062324,0.083469,7.6753,11.579,8157,10810
0.062314,0.083297,7.6605,11.614,8156.1,10755
0.062428,0.084891,7.677,11.745,8156,10878
0.062324,0.084078,7.6486,11.583,8144.3,10797
0.062459,0.085783,7.6888,11.875,8172.4,11005
0.062484,0.083977,7.6885,11.752,8166.1,10849
0.062263,0.082909,7.656,11.447,8133.2,10682
0.062028,0.083266,7.6073,11.539,8107.1,10750
0.062358,0.08416,7.6726,11.441,8158.5,10754
0.061947,0.084255,7.6205,11.648,8100.5,10812
0.062154,0.083647,7.646,11.535,8125.2,10721
0.062312,0.084493,7.6502,11.597,8135.9,10807
0.062423,0.084915,7.6801,11.714,8158.4,10887
0.0624,0.082811,7.6626,11.544,8145.6,10718
0.062518,0.084145,7.6789,11.731,8164.8,10820
0.062471,0.084681,7.6723,11.731,8159.2,10876
0.062208,0.084377,7.6697,11.695,8144.3,10899
0.062468,0.084726,7.6754,11.72,8158.2,10909
0.062458,0.083676,7.6851,11.557,8172.8,10766
0.062484,0.083897,7.6898,11.674,8176.7,10819
0.06228,0.084539,7.6552,11.667,8141.4,10846
0.062144,0.083933,7.6221,11.526,8111.4,10747
0.062259,0.084219,7.652,11.631,8132.3,10802
0.062111,0.083541,7.6478,11.488,8133.6,10722
0.062434,0.083424,7.6764,11.614,8165.2,10769
0.062403,0.08293,7.6428,11.553,8147.3,10697
0.062436,0.085395,7.7047,11.817,8172.8,10976
0.062624,0.083938,7.6858,11.657,8175,10808
0.062513,0.083741,7.6946,11.748,8177.7,10850
0.062386,0.083001,7.6695,11.601,8147.8,10752
0.062537,0.08427,7.6863,11.705,8183.5,10871
0.062526,0.083263,7.6778,11.629,8174.9,10798
0.062403,0.08516,7.665,11.775,8160.9,10939
0.062204,0.08406,7.6587,11.619,8146.2,10792
0.062488,0.083642,7.6959,11.637,8168.3,10744
0.062387,0.082968,7.6574,11.574,8142.3,10733
0.062534,0.0846,7.6883,11.766,8178.7,10914
0.062532,0.08448,7.681,11.667,8172,10864
0.062572,0.084393,7.6937,11.7,8174.6,10874
0.062335,0.082997,7.6503,11.503,8137.9,10672
0.06244,0.083179,7.6726,11.584,8167.2,10739
0.062345,0.084317,7.6609,11.737,8162,10876
0.06238,0.084242,7.6689,11.604,8146.7,10779
0.062456,0.083321,7.6852,11.59,8166.8,10795
0.062121,0.08334,7.6161,11.617,8112,10801
0.062382,0.084126,7.6825,11.76,8164.4,10863
0.062439,0.083754,7.687,11.598,8163.4,10771
0.062598,0.084717,7.7159,11.801,8201.6,10900
0.06253,0.084446,7.6766,11.663,8169.1,10870
0.062397,0.083373,7.6582,11.434,8142.8,10697
0.062487,0.083437,7.6558,11.564,8151.8,10808
0.062218,0.083414,7.6511,11.57,8129.7,10745
0.06215,0.0842,7.6473,11.772,8129.1,10899
0.062678,0.084999,7.7035,11.821,8189.7,10929
0.062261,0.084541,7.6474,11.748,8134.9,10905
0.062453,0.084496,7.6759,11.785,8165.5,10860
0.062173,0.083631,7.6409,11.544,8132.5,10803
0.062212,0.083176,7.6576,11.399,8137.7,10698
0.062493,0.085374,7.6862,11.763,8174.8,10902
0.062539,0.084191,7.6854,11.69,8173.7,10861
0.062336,0.082321,7.6707,11.363,8154.7,10644
0.062191,0.083962,7.6318,11.713,8128,10814
0.062375,0.084469,7.6785,11.723,8156.1,10900
0.062354,0.083845,7.6619,11.615,8151.9,10818
0.062515,0.083994,7.6875,11.751,8177.2,10855
0.06249,0.083732,7.6795,11.605,8158.4,10781
0.062549,0.083622,7.7029,11.626,8178.5,10809
0.062383,0.084528,7.6527,11.587,8138.2,10836
0.062332,0.083751,7.658,11.681,8144.9,10839
0.06254,0.085617,7.6798,11.668,8171.4,10910
0.06237,0.083621,7.6506,11.503,8147.3,10735
0.062634,0.083987,7.6874,11.664,8189.9,10831
0.062389,0.084082,7.6794,11.611,8148.9,10814
0.062251,0.083291,7.657,11.538,8137.7,10711
0.062442,0.085203,7.6727,11.67,8162.9,10908
0.062414,0.084831,7.6813,11.702,8163.6,10857
0.062621,0.084731,7.711,11.689,8197,10858
0.062507,0.082696,7.6943,11.554,8179.2,10715
0.062363,0.083918,7.6636,11.615,8151.3,10798
0.062277,0.084342,7.6575,11.731,8143.1,10865
0.062362,0.084479,7.6422,11.59,8132.1,10822
0.062617,0.08411,7.684,11.681,8175.7,10811
0.062397,0.083955,7.7012,11.64,8178.8,10839
0.062642,0.08478,7.7115,11.791,8193.8,10906
0.062564,0.084745,7.6864,11.746,8173,10905
0.062412,0.084145,7.6662,11.563,8165.4,10831
0.062544,0.083174,7.6946,11.539,8180.3,10728
0.062461,0.083322,7.6815,11.52,8162.1,10721
0.062597,0.083716,7.7037,11.748,8195,10822
0.062213,0.084334,7.66,11.687,8145.7,10852
0.0626,0.084847,7.6965,11.717,8186.2,10899
0.06249,0.085125,7.6953,11.793,8184.1,10969
0.062075,0.084161,7.6427,11.678,8135.2,10833
0.062492,0.084704,7.6899,11.827,8171.2,10876
0.062473,0.084127,7.6806,11.719,8162.4,10871
0.062419,0.084177,7.6753,11.692,8159.2,10851
0.062522,0.084128,7.6799,11.588,8166.3,10821
0.062274,0.083493,7.6688,11.59,8151.6,10778
0.06253,0.083285,7.6606,11.626,8165.4,10793
0.062496,0.083907,7.6706,11.647,8152.7,10797
0.062329,0.084327,7.6684,11.648,8147,10853
0.062287,0.084206,7.6553,11.603,8138.6,10757
0.062208,0.08313,7.6381,11.516,8138.2,10706
0.062567,0.084331,7.708,11.699,8191.6,10877
0.062446,0.084767,7.6906,11.753,8167.6,10916
0.06236,0.084342,7.6535,11.699,8152.6,10870
0.062447,0.083902,7.6745,11.479,8162.3,10742
0.062497,0.084726,7.675,11.728,8181.4,10905
0.06234,0.084471,7.6703,11.649,8145.5,10843
0.062521,0.08346,7.687,11.582,8181,10768
0.06233,0.085258,7.6607,11.638,8148.8,10877
0.062573,0.084719,7.689,11.64,8169.8,10850
0.062571,0.084556,7.6937,11.816,8175.6,10914
0.062218,0.083797,7.6625,11.637,8133.1,10842
0.06264,0.085017,7.7077,11.772,8197.9,10973
0.062342,0.08301,7.6459,11.426,8141,10646
0.062594,0.084142,7.7011,11.628,8200.4,10820
0.062488,0.083417,7.6877,11.502,8166.2,10780
0.062221,0.084983,7.6393,11.656,8117.7,10872
0.062427,0.084775,7.6804,11.855,8159.1,10909
0.062475,0.083349,7.6774,11.483,8159.3,10701
0.062467,0.085874,7.6982,11.944,8173.6,11032
0.062366,0.084159,7.6797,11.706,8160.3,10850
0.062218,0.083205,7.6401,11.603,8134.1,10739
0.062417,0.083232,7.6613,11.611,8156,10758
0.062492,0.082807,7.6801,11.592,8169.5,10748
