RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.062809,0.079737,7.717,11.443,8150,10365
0.063103,0.079997,7.7319,11.411,8179.5,10359
0.062486,0.080234,7.6633,11.364,8114.7,10368
0.062878,0.079847,7.7448,11.429,8173.7,10366
0.062963,0.08059,7.7323,11.4,8165.1,10411
0.062861,0.080137,7.7118,11.532,8169.1,10382
0.062917,0.080999,7.7145,11.457,8169.4,10495
0.062622,0.080493,7.6791,11.539,8133.9,10479
0.06265,0.079408,7.6999,11.233,8144.4,10296
0.062722,0.080651,7.7011,11.526,8149.3,10397
0.062818,0.081004,7.7269,11.465,8171.6,10527
0.062695,0.079985,7.699,11.395,8150.2,10319
0.062656,0.079166,7.6744,11.192,8136.2,10273
0.062794,0.080326,7.7447,11.462,8179.8,10405
0.062546,0.079892,7.6745,11.266,8130.8,10322
0.063041,0.081165,7.7709,11.508,8190.7,10501
0.062619,0.07924,7.7218,11.287,8144.4,10317
0.062747,0.07985,7.7354,11.309,8186.3,10382
0.062894,0.080038,7.7095,11.306,8154.2,10377
0.063043,0.078902,7.7492,11.217,8187.8,10220
0.062995,0.080797,7.748,11.564,8188.8,10500
0.062743,0.080675,7.7058,11.346,8155.7,10452
0.062612,0.08032,7.6888,11.539,8135.7,10479
0.062559,0.08065,7.6575,11.398,8113.8,10453
0.062638,0.079904,7.7086,11.276,8148.3,10335
0.062818,0.079504,7.7255,11.301,8169.5,10304
0.062492,0.080126,7.6778,11.398,8123.7,10413
0.06281,0.080128,7.7018,11.388,8158.4,10381
0.062571,0.080176,7.6716,11.378,8118.2,10435
0.062823,0.080436,7.7085,11.397,8162.9,10387
0.06269,0.079779,7.6849,11.26,8132.2,10289
0.062552,0.079988,7.661,11.33,8121.6,10385
0.062598,0.08034,7.684,11.55,8130,10437
0.062904,0.079086,7.7346,11.213,8175.8,10232
0.062599,0.079778,7.7117,11.41,8150.8,10339
0.063088,0.080313,7.7306,11.482,8181,10448
0.062668,0.080497,7.7015,11.347,8141.2,10443
0.06287,0.080235,7.707,11.342,8167.2,10366
0.062673,0.079233,7.6959,11.203,8150.8,10284
0.062839,0.079713,7.7269,11.287,8166.9,10279
0.062823,0.08032,7.7247,11.463,8161,10431
0.062724,0.080229,7.7123,11.378,8156,10365
0.062814,0.079355,7.7252,11.269,8171.2,10314
0.062567,0.080812,7.6976,11.377,8131.2,10406
0.06289,0.080341,7.7365,11.459,8185,10436
0.062676,0.080826,7.6721,11.469,8130.6,10438
0.062658,0.080296,7.6845,11.497,8123.6,10404
0.06307,0.081574,7.7637,11.458,8203.7,10502
0.062761,0.080778,7.7128,11.482,8147.2,10462
0.062686,0.079416,7.706,11.335,8150.5,10306
0.062865,0.08015,7.7258,11.641,8170,10476
0.062735,0.080748,7.7184,11.498,8159.2,10438
0.062644,0.079762,7.6931,11.34,8138.5,10382
0.062412,0.080505,7.6941,11.424,8130,10416
0.062849,0.080601,7.7448,11.359,8178.2,10401
0.062623,0.08041,7.7303,11.443,8153.1,10440
0.062968,0.079148,7.7338,11.291,8180.6,10290
0.062785,0.079965,7.7089,11.463,8149.1,10385
0.062758,0.079396,7.7339,11.178,8165,10280
0.062669,0.080498,7.7056,11.415,8145.7,10445
0.062736,0.080847,7.7209,11.3,8170,10413
0.062722,0.080213,7.7055,11.383,8151.4,10380
0.062662,0.079628,7.699,11.327,8142.6,10309
0.062645,0.080389,7.6981,11.417,8151.3,10429
0.062533,0.079826,7.6808,11.276,8127.7,10376
0.062829,0.081234,7.7273,11.558,8181.8,10538
0.062611,0.081191,7.6743,11.49,8130.9,10514
0.06248,0.079794,7.6733,11.404,8114,10356
0.062812,0.081011,7.7258,11.589,8163.8,10519
0.062978,0.080169,7.7374,11.37,8174.9,10386
0.062678,0.080748,7.7168,11.521,8153.6,10486
0.06283,0.079334,7.6999,11.237,8159.7,10284
0.062834,0.079972,7.7225,11.356,8170.5,10361
0.062453,0.079125,7.6805,11.213,8132.8,10271
0.063038,0.079764,7.7617,11.251,8198.2,10325
0.062551,0.078656,7.695,11.089,8140.3,10161
0.062783,0.080155,7.7293,11.322,8162.5,10397
0.062515,0.080457,7.6754,11.418,8129.5,10445
0.062877,0.080014,7.7189,11.38,8154.3,10339
0.062695,0.080209,7.6999,11.412,8145.6,10376
0.06282,0.079606,7.7201,11.298,8168.6,10320
