RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.072227,0.091005,8.8681,12.89,9283.3,11780
0.072261,0.092411,8.8593,12.879,9281.3,11889
0.072204,0.090019,8.8612,12.764,9281,11646
0.071986,0.090759,8.8364,12.819,9271.6,11733
0.072331,0.091366,8.8691,12.844,9306,11793
0.072163,0.092559,8.8526,12.907,9271.8,11900
0.072068,0.091357,8.8306,12.98,9265.9,11818
0.072203,0.09127,8.8766,12.829,9289.7,11768
0.072159,0.0915,8.8412,12.708,9264.4,11764
0.072079,0.091477,8.8321,12.846,9259,11786
0.072177,0.089566,8.8441,12.606,9270.5,11586
0.072264,0.091809,8.864,12.905,9288.7,11813
0.072196,0.089729,8.8369,12.568,9266.2,11551
0.072217,0.090924,8.8609,12.766,9297.7,11735
0.071817,0.09033,8.8158,12.765,9246.4,11658
0.072315,0.090189,8.8473,12.691,9278,11643
0.072026,0.091588,8.8326,12.833,9265.1,11812
0.072199,0.091123,8.8516,12.823,9283.8,11753
0.071916,0.090629,8.8188,12.802,9248.4,11762
0.072105,0.090633,8.8595,12.718,9285.9,11685
0.071982,0.090845,8.8294,12.824,9253.4,11789
0.072012,0.091242,8.8271,12.792,9248.2,11768
0.071825,0.090667,8.8265,12.738,9241.5,11696
0.072214,0.092453,8.8483,12.775,9277.1,11831
0.071999,0.091342,8.8157,12.721,9244.2,11746
0.072266,0.09157,8.8637,12.748,9292.2,11735
0.072135,0.091451,8.8705,12.866,9272.1,11814
0.07221,0.091236,8.864,12.865,9301,11762
0.07214,0.090595,8.8626,12.635,9283.9,11656
0.071938,0.091298,8.8408,12.852,9257.7,11772
0.072066,0.089806,8.8192,12.646,9260.1,11586
0.072305,0.090154,8.8587,12.656,9299.2,11695
0.072188,0.091067,8.8346,12.719,9275.6,11740
0.072337,0.091598,8.864,12.8,9299,11738
0.072141,0.090907,8.8279,12.765,9265.4,11718
0.072161,0.091307,8.8424,12.754,9273.5,11773
0.071988,0.0934,8.8408,13.157,9272.6,11968
0.072209,0.091147,8.8523,12.793,9270,11759
0.072037,0.090326,8.8172,12.656,9250.4,11660
0.072092,0.089314,8.8362,12.441,9262.9,11506
0.071963,0.090545,8.844,12.787,9263.9,11699
