RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.14141,0.16078,18.839,26.909,18983,21661
0.14153,0.16065,18.857,26.907,19003,21630
0.14146,0.1607,18.851,26.915,18996,21639
0.14162,0.16053,18.874,26.915,19022,21628
0.14152,0.16042,18.862,26.863,19008,21613
0.14144,0.16054,18.848,26.879,18992,21630
0.14163,0.16076,18.876,26.945,19022,21646
0.14172,0.16058,18.889,26.918,19037,21627
0.1415,0.16053,18.855,26.893,18999,21627
0.14216,0.16032,18.984,26.931,19126,21628
0.14165,0.16063,18.881,26.936,19028,21644
0.14163,0.16039,18.879,26.874,19023,21614
0.14172,0.16037,18.904,26.894,19049,21620
0.14155,0.16058,18.863,26.906,19009,21632
0.14148,0.16029,18.854,26.841,18997,21600
0.14161,0.16049,18.871,26.9,19019,21621
0.14145,0.16065,18.847,26.909,18993,21642
0.14171,0.16068,18.893,26.929,19039,21631
0.14143,0.16053,18.85,26.878,18992,21615
0.14167,0.16048,18.89,26.913,19036,21626
0.14147,0.16043,18.849,26.865,18992,21602
0.14165,0.16044,18.879,26.888,19025,21616
0.14168,0.16042,18.888,26.903,19035,21627
0.14153,0.16049,18.86,26.887,19006,21619
0.14171,0.16051,18.898,26.923,19042,21639
0.14161,0.16048,18.871,26.895,19018,21626
0.14148,0.16065,18.853,26.901,18999,21621
0.14164,0.16031,18.883,26.876,19029,21615
0.14152,0.16056,18.858,26.905,19004,21636
0.14153,0.16039,18.861,26.885,19007,21619
0.14157,0.16064,18.865,26.898,19013,21623
0.14153,0.16043,18.864,26.891,19010,21615
0.14169,0.16047,18.89,26.903,19036,21637
0.1417,0.16048,18.888,26.902,19034,21629
0.14144,0.16042,18.845,26.849,18989,21615
0.14161,0.16043,18.874,26.895,19021,21619
0.14141,0.16051,18.842,26.874,18986,21618
0.14155,0.16056,18.862,26.89,19005,21621
0.14142,0.16049,18.846,26.865,18989,21624
0.1419,0.16057,18.932,26.954,19074,21654
0.14134,0.16042,18.833,26.848,18977,21604
0.14148,0.16043,18.852,26.861,18994,21613
0.14149,0.16068,18.851,26.919,18997,21653
0.14153,0.16036,18.863,26.873,19006,21609
0.14147,0.16049,18.854,26.858,18998,21614
0.14135,0.16041,18.837,26.859,18978,21614
0.14157,0.16043,18.865,26.879,19010,21622
