RMSE,MAPE,MAE
0.16282,27.268,21908
0.16236,27.647,21899
0.13664,21.626,18403
0.1265,19.656,17026
0.11334,17.147,15016
0.11138,16.718,14712
0.10904,16.382,14352
0.10675,15.974,14017
0.10437,15.486,13657
0.10313,15.335,13526
0.1004,14.909,13170
0.10023,14.792,13120
0.098885,14.517,12914
0.098348,14.352,12839
0.097148,14.336,12730
0.09645,14.159,12621
0.096097,14.083,12565
0.096053,14.014,12545
0.095208,13.961,12467
0.094907,13.856,12396
0.094338,13.834,12338
0.094375,13.741,12316
0.093812,13.559,12212
0.093716,13.656,12228
0.093676,13.57,12193
0.093777,13.656,12247
0.092882,13.487,12115
0.09257,13.373,12047
0.092281,13.37,12025
0.092556,13.31,12013
0.092074,13.307,11989
0.09194,13.236,11956
0.091824,13.27,11964
0.091416,13.192,11894
0.091232,13.108,11853
0.091008,13.148,11854
0.091204,13.09,11844
0.090524,13.017,11770
0.090732,12.979,11775
0.090485,12.991,11752
0.090381,12.952,11727
0.090461,12.911,11729
0.090053,12.789,11648
0.089527,12.834,11629
0.089901,12.834,11662
0.089195,12.799,11589
0.089346,12.782,11593
0.089549,12.764,11616
0.089202,12.689,11555
0.089342,12.717,11581
0.0885,12.647,11488
0.088714,12.673,11518
0.088578,12.62,11495
0.088761,12.644,11504
0.089075,12.691,11534
0.088004,12.553,11415
0.088176,12.567,11443
0.088231,12.567,11444
0.088108,12.557,11432
0.087827,12.521,11395
0.088062,12.496,11402
0.08785,12.486,11391
0.087472,12.378,11332
0.087654,12.455,11364
0.087744,12.451,11370
0.087424,12.401,11332
0.087558,12.427,11348
0.087086,12.361,11291
0.08712,12.4,11309
0.087248,12.341,11309
0.086952,12.331,11272
0.086995,12.343,11268
0.086743,12.304,11246
0.086998,12.35,11279
0.086857,12.297,11245
0.086865,12.326,11252
0.08709,12.337,11284
0.087008,12.337,11277
0.086794,12.272,11238
0.08658,12.244,11207
0.086437,12.213,11197
0.086571,12.304,11217
0.086716,12.296,11234
0.08649,12.229,11196
0.086312,12.187,11172
0.086569,12.187,11186
0.086018,12.217,11151
0.086144,12.198,11159
0.085858,12.114,11106
0.086123,12.154,11138
0.086126,12.197,11151
0.085728,12.129,11117
0.085838,12.176,11125
0.086005,12.157,11137
0.085898,12.148,11125
0.085531,12.103,11086
0.08563,12.079,11084
0.085911,12.121,11115
0.085576,12.088,11089
0.085661,12.108,11100
0.085744,12.083,11101
0.085389,12.052,11056
0.085754,12.102,11102
0.085694,12.086,11088
0.085554,12.052,11072
0.085681,12.098,11094
0.085394,12.068,11062
0.085293,12.044,11050
0.085438,12.08,11063
0.085418,12.046,11063
0.085086,12.021,11024
0.085337,12.043,11054
0.085353,12.022,11041
0.085077,11.97,11010
0.085117,12.009,11028
0.085451,12.047,11065
0.085191,12,11023
0.085321,11.995,11032
0.085531,12.005,11045
0.084764,11.931,10977
0.084981,11.923,10993
0.084967,11.936,11005
0.085051,11.946,11001
0.084968,11.96,11002
0.08491,11.905,10980
0.084864,11.93,10979
0.084804,11.94,10976
0.084473,11.854,10935
0.085149,11.959,11003
0.085013,11.907,10987
0.08488,11.912,10976
0.084699,11.932,10973
0.084624,11.889,10953
0.084872,11.895,10964
0.084577,11.895,10952
0.084497,11.872,10944
0.084602,11.879,10946
0.084631,11.885,10951
0.084733,11.9,10962
0.084352,11.826,10926
0.084799,11.882,10960
0.084657,11.872,10941
0.084506,11.826,10923
0.084326,11.819,10910
0.084664,11.845,10938
