RMSE,MAPE,MAE
0.15928,26.496,21561
0.161,27.189,21569
0.13538,21.143,18487
0.12295,18.812,16540
0.11558,17.445,15537
0.10563,15.741,14061
0.10138,14.983,13451
0.097479,14.241,12890
0.09558,13.965,12621
0.093674,13.623,12350
0.093027,13.572,12259
0.091783,13.395,12080
0.090942,13.139,11933
0.090066,13.072,11826
0.089746,12.938,11762
0.089342,12.993,11744
0.088852,12.771,11635
0.088158,12.827,11571
0.087949,12.714,11514
0.087523,12.695,11476
0.087199,12.59,11417
0.087307,12.722,11462
0.08684,12.572,11375
0.086365,12.492,11303
0.086135,12.486,11275
0.086093,12.437,11270
0.085759,12.355,11210
0.085802,12.357,11207
0.085397,12.299,11161
0.08543,12.319,11172
0.085244,12.345,11165
0.084714,12.187,11074
0.084856,12.263,11112
0.084544,12.096,11028
0.084491,12.144,11041
0.084252,12.087,10997
0.084441,12.059,11010
0.084388,12.116,11019
0.084152,12.132,10988
0.084075,12.11,10981
0.08386,12.103,10968
0.08395,12.078,10967
0.083578,11.99,10908
0.083787,12.034,10938
0.083512,11.978,10893
0.083437,11.979,10888
0.083277,11.942,10870
0.083284,11.952,10857
0.082996,11.91,10822
0.083098,11.927,10849
0.0831,11.918,10844
0.082555,11.874,10779
0.082836,11.906,10817
0.082276,11.793,10737
0.082273,11.787,10738
0.082367,11.855,10758
0.082261,11.814,10738
0.08217,11.791,10723
0.081895,11.744,10683
0.081954,11.769,10696
0.082048,11.768,10706
0.082121,11.8,10708
0.082017,11.71,10684
0.081873,11.737,10672
0.081865,11.704,10664
0.081626,11.712,10651
0.081602,11.654,10625
0.081568,11.638,10632
0.081243,11.67,10605
0.081296,11.688,10611
0.081061,11.625,10574
0.081515,11.634,10601
0.081148,11.617,10574
0.081176,11.618,10589
0.081217,11.63,10587
0.081242,11.623,10581
0.081082,11.598,10567
0.080749,11.541,10522
0.081132,11.611,10571
0.08086,11.594,10540
0.080903,11.598,10553
0.080793,11.559,10516
0.080882,11.551,10535
0.080839,11.557,10526
0.080807,11.566,10524
0.080624,11.543,10510
0.08063,11.556,10512
0.080418,11.525,10480
0.08064,11.488,10486
0.080604,11.542,10494
0.080643,11.52,10500
0.080614,11.525,10504
0.080592,11.528,10490
0.08055,11.527,10496
0.080449,11.492,10471
0.080631,11.535,10500
0.08029,11.498,10456
0.080326,11.511,10473
0.080555,11.497,10477
0.080565,11.52,10476
0.080487,11.519,10480
0.080273,11.482,10452
0.080064,11.456,10430
0.080107,11.457,10425
0.080166,11.476,10440
0.080362,11.491,10459
0.080304,11.449,10436
0.08022,11.465,10436
0.080295,11.464,10442
0.080277,11.468,10446
0.080162,11.47,10440
0.080268,11.447,10438
0.080026,11.38,10392
0.080244,11.438,10434
0.080236,11.471,10436
0.079835,11.386,10382
0.080355,11.463,10445
0.080058,11.439,10402
0.080424,11.497,10457
0.080036,11.415,10407
0.080139,11.392,10400
0.080055,11.425,10409
0.079956,11.411,10394
0.08019,11.444,10419
0.08014,11.422,10407
0.080068,11.404,10397
0.080026,11.404,10397
0.080199,11.421,10410
0.080165,11.41,10408
0.080235,11.459,10427
0.079965,11.434,10398
0.079937,11.39,10386
0.079874,11.4,10381
0.079904,11.387,10381
0.079933,11.355,10369
0.080072,11.388,10387
0.079972,11.373,10380
0.080217,11.42,10394
0.07994,11.388,10376
0.079963,11.363,10379
0.080013,11.403,10395
0.080046,11.407,10386
0.080156,11.412,10403
0.079962,11.381,10376
0.080174,11.397,10397
0.080034,11.37,10374
0.080118,11.399,10393
0.079925,11.375,10373
0.080066,11.382,10379
0.080056,11.381,10380
0.080196,11.388,10394
0.080067,11.383,10381
0.080219,11.426,10405
0.08004,11.388,10380
0.079919,11.34,10364
0.079731,11.311,10332
0.080067,11.399,10392
0.080094,11.368,10385
0.07999,11.348,10368
0.080056,11.352,10372
0.080231,11.394,10396
0.079872,11.361,10356
0.080011,11.366,10373
0.080395,11.397,10409
0.080011,11.351,10367
0.080024,11.379,10376
0.080164,11.376,10389
0.080036,11.363,10371
0.079755,11.282,10335
0.080036,11.353,10368
0.080173,11.341,10366
0.080324,11.385,10395
0.080088,11.386,10376
0.080242,11.38,10388
0.080169,11.385,10385
0.080158,11.346,10369
0.080156,11.356,10373
0.08022,11.352,10379
0.079931,11.328,10346
0.080073,11.355,10360
0.080407,11.417,10416
0.080133,11.348,10365
0.079914,11.314,10344
0.080407,11.38,10392
0.08029,11.343,10382
0.080184,11.36,10369
0.080151,11.327,10361
0.080336,11.367,10380
0.080351,11.345,10387
0.07997,11.316,10344
0.080062,11.332,10360
0.08018,11.369,10381
0.080292,11.324,10363
0.080545,11.378,10404
0.080203,11.35,10365
0.080531,11.397,10420
0.08037,11.371,10383
0.080415,11.353,10391
0.080256,11.349,10369
0.079997,11.325,10343
0.080588,11.386,10409
0.080345,11.348,10390
0.080159,11.299,10361
0.080682,11.371,10399
0.080377,11.35,10390
0.080438,11.389,10403
0.080533,11.339,10390
0.080532,11.386,10401
0.080477,11.331,10391
0.080602,11.355,10398
0.080505,11.355,10393
0.080558,11.39,10411
0.080432,11.342,10384
0.080384,11.337,10373
0.080309,11.329,10379
0.080494,11.347,10387
0.080648,11.348,10403
0.080533,11.357,10395
0.080894,11.38,10424
0.080443,11.321,10374
0.080467,11.351,10391
0.080267,11.331,10366
0.080513,11.34,10375
0.080504,11.336,10369
0.080417,11.313,10375
0.080661,11.346,10393
0.080235,11.297,10357
0.080856,11.379,10428
0.080752,11.382,10423
0.080741,11.367,10402
0.080666,11.377,10404
0.080416,11.316,10373
0.080486,11.326,10371
0.080695,11.358,10407
0.081001,11.392,10438
0.080756,11.372,10419
0.080303,11.31,10360
0.080875,11.381,10417
0.081031,11.4,10440
0.081102,11.397,10437
0.081025,11.368,10433
0.080827,11.371,10419
0.080851,11.368,10411
0.080875,11.36,10417
0.080924,11.381,10438
0.081056,11.384,10442
0.080856,11.355,10413
0.08103,11.382,10432
0.080941,11.377,10424
0.080885,11.361,10420
0.081311,11.385,10436
0.080858,11.355,10414
0.080848,11.378,10422
0.081036,11.372,10428
0.081092,11.377,10436
0.081046,11.377,10437
0.080996,11.364,10429
0.080905,11.356,10416
0.080793,11.38,10424
0.081268,11.399,10447
0.081058,11.366,10427
0.080823,11.355,10411
0.081375,11.394,10466
0.081351,11.419,10457
0.08124,11.397,10453
0.08115,11.356,10425
0.081129,11.379,10432
0.081325,11.385,10450
0.081493,11.417,10462
0.081191,11.393,10449
0.080995,11.355,10429
0.081483,11.46,10495
0.081383,11.401,10464
0.080822,11.353,10405
0.081382,11.406,10463
0.081577,11.388,10460
0.081544,11.438,10489
0.081658,11.444,10503
0.08166,11.407,10476
0.081462,11.392,10460
0.081434,11.405,10462
0.081701,11.423,10498
0.081065,11.361,10437
0.081648,11.429,10498
0.081563,11.415,10475
0.081459,11.398,10474
0.081886,11.46,10523
0.081745,11.429,10493
0.081494,11.38,10465
0.081672,11.422,10490
0.081749,11.432,10492
0.081751,11.427,10494
0.082212,11.478,10536
0.081455,11.401,10468
0.082174,11.458,10532
0.082093,11.455,10517
