RMSE,MAPE,MAE
0.16132,27.058,21895
0.16418,27.665,21990
0.14484,22.828,19410
0.12983,20.22,17261
0.11852,17.618,15590
0.11287,16.624,14763
0.11103,16.265,14466
0.1077,15.751,14002
0.10753,15.788,13942
0.1057,15.553,13717
0.10497,15.404,13598
0.10341,15.188,13397
0.10325,15.208,13393
0.10295,15.216,13348
0.10203,15.088,13232
0.10234,15.059,13256
0.10152,14.906,13150
0.10102,14.764,13070
0.1007,14.798,13034
0.10028,14.747,12985
0.10033,14.779,12988
0.10007,14.658,12941
0.10053,14.73,13004
0.099878,14.624,12912
0.099395,14.533,12852
0.099132,14.496,12812
0.099479,14.527,12871
0.098736,14.396,12764
0.09859,14.33,12719
0.098496,14.356,12732
0.098548,14.366,12729
0.098093,14.275,12681
0.097987,14.258,12667
0.097745,14.201,12632
0.097676,14.19,12638
0.098225,14.274,12697
0.097411,14.168,12610
0.0974,14.15,12611
0.09726,14.152,12597
0.097154,14.102,12569
0.09682,14.032,12520
0.096839,14.007,12514
0.096632,14.015,12505
0.09656,13.969,12486
0.09652,13.983,12492
0.096613,13.987,12509
0.096828,14.021,12527
0.096492,13.993,12491
0.096214,13.907,12448
0.096077,13.78,12412
0.09603,13.859,12438
0.096169,13.857,12429
0.095843,13.82,12402
0.095821,13.802,12401
0.095614,13.787,12381
0.095806,13.833,12388
0.095541,13.726,12348
0.095639,13.727,12364
0.095522,13.723,12353
0.095673,13.777,12376
0.095265,13.681,12321
0.095435,13.711,12332
0.094964,13.618,12282
0.094848,13.611,12274
0.094837,13.605,12265
0.095196,13.665,12306
0.095051,13.643,12282
0.09466,13.547,12219
0.094914,13.581,12263
0.094841,13.653,12285
0.095087,13.605,12278
0.094742,13.548,12238
0.094123,13.478,12168
0.094498,13.503,12213
0.09444,13.456,12191
0.094303,13.463,12178
0.094047,13.431,12145
0.09439,13.519,12197
0.094089,13.423,12154
0.09392,13.423,12143
0.093957,13.385,12125
0.09374,13.371,12105
0.093921,13.404,12136
0.093881,13.382,12126
0.093684,13.36,12108
0.093462,13.297,12069
0.093674,13.337,12093
0.093932,13.359,12115
0.093516,13.327,12074
0.093263,13.29,12038
0.094021,13.41,12140
0.093549,13.328,12084
0.093312,13.259,12041
0.093232,13.228,12025
0.093442,13.3,12072
0.093302,13.261,12041
0.093368,13.235,12045
0.093391,13.274,12054
0.093166,13.238,12024
0.093194,13.236,12029
0.093099,13.214,11994
0.093056,13.226,12012
0.093351,13.262,12041
0.092809,13.203,11983
0.092573,13.149,11955
0.092734,13.149,11961
0.093026,13.231,12011
0.092643,13.121,11946
0.092558,13.146,11950
0.092952,13.21,12001
0.092564,13.116,11940
0.092999,13.213,12009
0.092286,13.105,11916
0.092642,13.152,11961
0.092225,13.112,11911
0.092464,13.097,11931
0.092466,13.111,11942
0.092444,13.087,11924
0.092305,13.053,11900
0.092466,13.107,11927
0.092429,13.085,11920
0.092233,13.08,11907
0.092206,13.006,11882
0.091861,13.014,11860
0.092149,13.028,11884
0.092096,13.033,11886
0.091934,12.983,11854
0.091913,12.992,11847
0.0919,13.007,11857
0.091955,12.984,11861
0.092056,13.008,11873
0.091587,12.935,11807
0.091943,12.985,11859
0.091637,12.951,11832
0.091626,12.937,11822
0.091841,12.976,11858
0.091669,12.92,11816
0.091589,12.944,11809
0.091842,12.962,11848
0.09169,12.959,11834
0.091716,12.928,11825
0.091496,12.922,11812
0.091499,12.929,11813
0.091413,12.885,11781
0.091799,12.94,11830
0.091584,12.92,11808
0.091585,12.91,11810
0.09134,12.874,11782
0.091327,12.872,11772
0.091349,12.868,11777
0.091612,12.907,11819
0.091098,12.871,11765
0.091244,12.877,11768
0.091236,12.862,11774
0.091266,12.876,11764
0.091341,12.85,11778
0.091185,12.865,11760
0.091361,12.872,11787
0.091415,12.839,11775
0.091207,12.843,11763
0.091072,12.834,11753
0.091143,12.838,11756
0.090975,12.828,11743
0.09114,12.808,11761
0.091179,12.829,11755
0.091335,12.877,11784
0.090975,12.786,11732
0.091141,12.792,11753
0.090961,12.825,11743
0.091195,12.839,11763
0.09123,12.85,11766
0.091053,12.84,11760
0.090852,12.816,11733
0.091062,12.798,11744
0.091027,12.828,11747
0.091057,12.794,11745
0.091109,12.82,11753
0.091013,12.775,11732
0.09071,12.761,11701
0.090987,12.779,11737
0.090871,12.796,11732
0.090966,12.813,11748
0.09118,12.79,11753
0.09091,12.798,11733
0.090863,12.796,11735
0.091011,12.804,11750
0.09092,12.747,11722
0.091022,12.786,11740
0.090859,12.768,11725
0.090967,12.798,11734
0.09092,12.769,11737
0.091014,12.809,11762
0.091048,12.799,11743
0.091051,12.797,11749
0.091116,12.815,11758
0.090889,12.784,11736
0.090733,12.695,11694
0.090905,12.759,11723
0.090984,12.791,11736
0.091038,12.805,11747
0.091248,12.804,11767
0.091013,12.778,11728
0.091122,12.793,11757
0.090688,12.739,11703
0.091051,12.799,11761
0.090796,12.751,11725
0.090948,12.775,11735
0.091381,12.871,11787
0.091108,12.783,11744
0.091025,12.799,11746
0.091136,12.802,11755
0.091043,12.792,11759
0.090948,12.757,11730
0.091238,12.801,11770
0.090958,12.77,11741
0.091014,12.785,11748
0.09125,12.85,11782
0.090954,12.803,11742
0.090981,12.78,11744
0.091243,12.791,11761
0.091255,12.816,11776
0.091263,12.792,11769
0.091158,12.83,11779
0.091174,12.822,11762
0.09135,12.803,11781
0.091359,12.839,11799
0.091317,12.819,11782
0.09136,12.826,11785
0.091011,12.8,11752
0.091212,12.794,11770
0.090779,12.759,11724
0.091298,12.821,11788
0.091155,12.798,11756
0.091207,12.801,11779
0.091192,12.805,11775
0.091183,12.821,11776
0.090982,12.784,11752
0.091453,12.835,11804
0.091487,12.839,11806
0.091367,12.84,11808
0.091449,12.85,11806
0.091602,12.875,11818
0.091768,12.863,11836
0.091407,12.861,11806
0.09134,12.833,11793
0.091504,12.853,11801
0.091569,12.85,11824
0.091431,12.83,11798
0.091616,12.879,11821
0.091482,12.835,11813
0.091914,12.892,11862
0.091273,12.825,11787
0.091385,12.835,11803
0.091705,12.884,11852
