RMSE,MAPE,MAE
0.167,28.677,22743
0.16534,28.518,22478
0.16278,27.744,22206
0.16197,27.509,22017
0.16144,27.406,21932
0.16155,27.357,21910
0.16163,27.34,21896
0.16138,27.254,21834
0.16123,27.232,21816
0.16111,27.188,21787
0.1611,27.17,21778
0.16085,27.116,21739
0.16079,27.093,21724
0.16076,27.083,21717
0.16055,27.033,21682
0.16048,27.021,21674
0.16042,27.003,21662
0.16048,27.005,21663
0.16048,27.006,21665
0.16043,26.99,21656
0.16043,26.986,21654
0.1605,26.988,21654
0.16048,26.983,21652
0.16054,26.978,21648
0.16058,26.98,21653
0.16057,26.994,21661
0.16056,26.978,21654
0.16048,26.968,21648
0.16055,26.971,21649
0.16063,26.985,21657
0.16052,26.969,21649
0.1606,26.978,21654
0.16056,26.967,21653
0.1606,26.974,21655
0.1606,26.971,21650
0.16062,26.974,21657
0.16058,26.968,21651
0.16067,26.979,21659
0.16065,26.978,21658
0.16062,26.968,21651
0.16063,26.959,21650
0.16052,26.952,21649
0.16053,26.948,21644
0.16066,26.974,21659
0.1606,26.966,21650
0.16068,26.961,21653
0.16057,26.951,21645
0.16055,26.958,21646
0.16057,26.944,21644
0.1607,26.975,21660
0.16056,26.948,21643
0.16056,26.942,21643
0.16057,26.949,21646
0.16058,26.95,21648
0.16055,26.935,21638
0.1606,26.954,21648
0.16055,26.938,21643
0.16055,26.933,21636
0.16058,26.942,21646
0.16055,26.935,21637
0.16058,26.937,21642
0.16053,26.922,21635
0.16058,26.931,21641
0.16056,26.934,21642
0.16053,26.925,21635
0.16052,26.924,21637
0.16054,26.92,21634
0.16058,26.937,21644
0.16056,26.929,21636
0.16056,26.93,21641
0.16053,26.928,21637
0.16056,26.927,21638
0.16052,26.918,21634
0.16057,26.936,21640
0.16057,26.923,21638
0.16054,26.922,21632
0.16057,26.92,21637
0.16056,26.921,21635
0.16056,26.926,21639
0.16061,26.933,21641
0.16058,26.92,21635
0.16058,26.924,21637
0.16057,26.919,21635
0.16056,26.924,21633
0.16055,26.912,21632
0.16055,26.918,21634
0.16053,26.918,21633
0.16056,26.925,21633
0.16055,26.916,21634
0.16056,26.913,21634
0.16057,26.914,21635
0.16052,26.898,21627
0.16052,26.909,21631
0.1605,26.9,21628
0.1605,26.906,21627
0.16056,26.917,21635
0.16047,26.905,21627
0.16056,26.907,21631
0.16052,26.905,21628
0.1605,26.912,21630
0.1605,26.907,21628
0.16048,26.901,21628
0.16055,26.906,21631
0.16055,26.907,21632
0.16059,26.917,21635
0.1605,26.907,21629
0.16056,26.924,21636
0.16056,26.921,21633
0.16057,26.921,21636
0.16052,26.906,21628
0.16051,26.898,21627
0.16047,26.899,21624
0.16048,26.896,21627
0.16056,26.909,21631
0.16046,26.897,21623
0.1605,26.901,21628
0.16051,26.905,21627
0.16047,26.899,21625
0.16051,26.898,21626
0.16051,26.901,21625
0.16057,26.907,21631
0.1605,26.902,21626
0.16052,26.898,21625
0.1605,26.891,21626
0.16047,26.88,21619
0.1605,26.898,21626
0.16049,26.888,21622
0.16044,26.89,21621
0.16053,26.904,21630
0.16048,26.903,21627
0.16053,26.896,21626
0.16054,26.898,21629
0.16054,26.905,21630
0.16049,26.895,21626
0.16049,26.9,21626
0.16051,26.895,21624
0.16059,26.901,21632
0.16053,26.902,21629
0.16052,26.897,21627
0.16051,26.893,21624
0.16051,26.893,21625
0.1605,26.881,21623
0.16052,26.892,21626
0.16048,26.889,21624
0.16049,26.886,21623
0.1605,26.889,21623
0.16055,26.889,21628
0.16053,26.893,21627
0.16048,26.891,21623
0.1605,26.894,21626
0.1605,26.895,21625
0.16047,26.888,21620
0.16056,26.907,21632
0.16049,26.883,21622
0.16048,26.882,21622
0.16049,26.887,21622
0.1605,26.898,21623
0.16049,26.892,21625
0.16051,26.882,21621
0.16047,26.877,21619
0.16047,26.878,21621
0.1605,26.889,21622
0.16048,26.887,21622
0.16045,26.88,21619
0.16053,26.893,21625
0.16049,26.879,21621
